"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",8
"8",9
"9",10
"10",12
"11",14
"12",15
"13",16
"14",18
"15",19
"16",20
"17",21
"18",22
"19",24
"20",25
"21",26
"22",27
"23",28
"24",29
"25",30
"26",31
"27",32
"28",33
"29",34
"30",35
"31",36
"32",37
"33",38
"34",39
"35",40
"36",41
"37",42
"38",43
"39",44
"40",45
"41",46
"42",47
"43",48
"44",49
"45",50
"46",51
"47",53
"48",54
"49",55
"50",59
"51",61
"52",62
"53",63
"54",64
"55",65
"56",66
"57",67
"58",70
"59",71
"60",72
"61",76
"62",77
"63",78
"64",79
"65",80
"66",81
"67",82
"68",83
"69",84
"70",85
"71",86
"72",88
"73",89
"74",90
"75",91
"76",92
"77",94
"78",95
"79",96
"80",97
"81",100
"82",101
"83",103
"84",104
"85",105
"86",106
"87",107
"88",108
"89",109
"90",110
"91",111
"92",112
"93",113
"94",115
"95",116
"96",117
"97",118
"98",119
"99",120
"100",122
"101",123
"102",124
"103",126
"104",127
"105",129
"106",130
"107",132
"108",133
"109",135
"110",137
"111",138
"112",139
