"Slide_number","scl_gloms_hc1_feat1","scl_gloms_hc1_feat2","scl_gloms_hc1_feat3","scl_gloms_hc1_feat4","scl_gloms_hc1_feat5","scl_gloms_hc1_feat6","scl_gloms_hc1_feat7","scl_gloms_hc1_feat8","scl_gloms_hc1_feat9","scl_gloms_hc1_feat10","scl_gloms_hc1_feat11","scl_gloms_hc1_feat12","scl_gloms_hc1_feat13","scl_gloms_hc1_feat14","scl_gloms_hc1_feat15","scl_gloms_hc1_feat16","scl_gloms_hc1_feat17","scl_gloms_hc1_feat18","scl_gloms_hc1_feat19","scl_gloms_hc1_feat20","scl_gloms_hc1_feat21","scl_gloms_hc1_feat22","scl_gloms_hc1_feat23","scl_gloms_hc1_feat24","scl_gloms_hc1_feat25","scl_gloms_hc1_feat26","scl_gloms_hc1_feat27","scl_gloms_hc1_feat46","scl_gloms_hc1_feat47","scl_gloms_hc1_feat48","scl_gloms_hc1_feat49","scl_gloms_hc1_feat50","scl_gloms_hc1_feat51","scl_gloms_hc1_feat52","scl_gloms_hc1_feat53","scl_gloms_hc1_feat54","scl_gloms_hc1_feat55","scl_gloms_hc1_feat56","scl_gloms_hc1_feat57","scl_gloms_hc1_feat58","scl_gloms_hc1_feat59","scl_gloms_hc2_feat1","scl_gloms_hc2_feat2","scl_gloms_hc2_feat3","scl_gloms_hc2_feat4","scl_gloms_hc2_feat5","scl_gloms_hc2_feat6","scl_gloms_hc2_feat7","scl_gloms_hc2_feat8","scl_gloms_hc2_feat9","scl_gloms_hc2_feat10","scl_gloms_hc2_feat11","scl_gloms_hc2_feat12","scl_gloms_hc2_feat13","scl_gloms_hc2_feat14","scl_gloms_hc2_feat15","scl_gloms_hc2_feat16","scl_gloms_hc2_feat17","scl_gloms_hc2_feat18","scl_gloms_hc2_feat19","scl_gloms_hc2_feat20","scl_gloms_hc2_feat21","scl_gloms_hc2_feat22","scl_gloms_hc2_feat23","scl_gloms_hc2_feat24","scl_gloms_hc2_feat25","scl_gloms_hc2_feat26","scl_gloms_hc2_feat27","scl_gloms_hc2_feat46","scl_gloms_hc2_feat47","scl_gloms_hc2_feat48","scl_gloms_hc2_feat49","scl_gloms_hc2_feat50","scl_gloms_hc2_feat51","scl_gloms_hc2_feat52","scl_gloms_hc2_feat53","scl_gloms_hc2_feat54","scl_gloms_hc2_feat55","scl_gloms_hc2_feat56","scl_gloms_hc2_feat57","scl_gloms_hc2_feat58","scl_gloms_hc2_feat59","scl_gloms_hc3_feat1","scl_gloms_hc3_feat2","scl_gloms_hc3_feat3","scl_gloms_hc3_feat4","scl_gloms_hc3_feat5","scl_gloms_hc3_feat6","scl_gloms_hc3_feat7","scl_gloms_hc3_feat8","scl_gloms_hc3_feat9","scl_gloms_hc3_feat10","scl_gloms_hc3_feat11","scl_gloms_hc3_feat12","scl_gloms_hc3_feat13","scl_gloms_hc3_feat14","scl_gloms_hc3_feat15","scl_gloms_hc3_feat16","scl_gloms_hc3_feat17","scl_gloms_hc3_feat18","scl_gloms_hc3_feat19","scl_gloms_hc3_feat20","scl_gloms_hc3_feat21","scl_gloms_hc3_feat22","scl_gloms_hc3_feat23","scl_gloms_hc3_feat24","scl_gloms_hc3_feat25","scl_gloms_hc3_feat26","scl_gloms_hc3_feat27","scl_gloms_hc3_feat46","scl_gloms_hc3_feat47","scl_gloms_hc3_feat48","scl_gloms_hc3_feat49","scl_gloms_hc3_feat50","scl_gloms_hc3_feat51","scl_gloms_hc3_feat52","scl_gloms_hc3_feat53","scl_gloms_hc3_feat54","scl_gloms_hc3_feat55","scl_gloms_hc3_feat56","scl_gloms_hc3_feat57","scl_gloms_hc3_feat58","scl_gloms_hc3_feat59","scl_gloms_hc4_feat1","scl_gloms_hc4_feat2","scl_gloms_hc4_feat3","scl_gloms_hc4_feat4","scl_gloms_hc4_feat5","scl_gloms_hc4_feat6","scl_gloms_hc4_feat7","scl_gloms_hc4_feat8","scl_gloms_hc4_feat9","scl_gloms_hc4_feat10","scl_gloms_hc4_feat11","scl_gloms_hc4_feat12","scl_gloms_hc4_feat13","scl_gloms_hc4_feat14","scl_gloms_hc4_feat15","scl_gloms_hc4_feat16","scl_gloms_hc4_feat17","scl_gloms_hc4_feat18","scl_gloms_hc4_feat19","scl_gloms_hc4_feat20","scl_gloms_hc4_feat21","scl_gloms_hc4_feat22","scl_gloms_hc4_feat23","scl_gloms_hc4_feat24","scl_gloms_hc4_feat25","scl_gloms_hc4_feat26","scl_gloms_hc4_feat27","scl_gloms_hc4_feat46","scl_gloms_hc4_feat47","scl_gloms_hc4_feat48","scl_gloms_hc4_feat49","scl_gloms_hc4_feat50","scl_gloms_hc4_feat51","scl_gloms_hc4_feat52","scl_gloms_hc4_feat53","scl_gloms_hc4_feat54","scl_gloms_hc4_feat55","scl_gloms_hc4_feat56","scl_gloms_hc4_feat57","scl_gloms_hc4_feat58","scl_gloms_hc4_feat59"
"H11-02415 - 1",0.271655938035199,2.37452803069847,15068.7548828125,4.2807426198186e-05,0.000374177108605953,2.37452793121338,0.000191038381694479,0.00166985487434491,10.5968990325928,0.365732321525149,2.14338847068146,20287.171875,3.86404995448056e-05,0.000226454147886991,2.14338850975037,0.000129744003802049,0.000760369771885859,7.19689989089966,6.13795914458266,8.5850019856779,340472.59375,0.000154768378321536,0.000216470459302948,8.58500194549561,0.000615934623304264,0.000861491554368176,34.1658935546875,96,2.63243616808164,1.48191211557814,66.1041666666667,55470,885.435641587182,1.01659726376284,268.952359147037,264.561364400624,55433.5,124.486947106916,55433.5,1806,0.0325795773313971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H11-11431 - 1",0.146499014816028,1.30377291318177,12860.416015625,1.48518872965833e-05,0.000132174870876984,1.30377292633057,7.50777430392319e-05,0.0006681569011252,6.59069967269897,1.71822367858974,3.01873805437698,150834.265625,3.43878570528829e-05,6.04158434012594e-05,3.01873803138733,0.000150332054611409,0.000264117588241254,13.1968994140625,1.70286798000797,5.34738921928099,149486.265625,6.09146120771363e-05,0.000191285609772542,5.34738922119141,0.000257341211393604,0.000808109398754695,22.5906982421875,342,2.41275205224297,1.17154552769919,28.8421052631579,87785,1156.77373670381,1.46340415263914,405.647708222957,277.194585987337,87755.5,137.091210513293,87755.5,46027,0.524491342422982,0.160662381249556,1.42359512588231,20370.22265625,1.12280645074804e-05,9.94894870947605e-05,1.42359507083893,4.88756902483627e-05,0.00043307707672791,6.19689989089966,1.50758950401849,2.88074036780553,191145.765625,2.27207439456816e-05,4.34153754032075e-05,2.88074040412903,0.000116631550499255,0.000222862533061806,14.78759765625,2.36740840096538,6.50728084961086,300161.34375,5.13237017924946e-05,0.000141073142119986,6.5072808265686,0.00020661807738891,0.000567929833157641,26.1968994140625,394,2.43465645594767,1.17421853534271,36.3172588832487,126789,1337.89357775095,1.15828778352676,432.572021213346,373.45815726058,126725,185.698680663057,126725,44732,0.352984809627145,0.157112327157162,1.3954683940963,13171.826171875,1.66450177633403e-05,0.000147840698614806,1.39546835422516,8.34953540799408e-05,0.000741603983472825,7,1.36520113061655,2.69025872479081,114454.3671875,3.20891580254396e-05,6.32347391260527e-05,2.69025874137878,0.000152603247332983,0.00030071921884767,12.7937984466553,2.2315659777306,5.87329054043448,187087.796875,7.00560675929225e-05,0.000184381570251392,5.87329053878784,0.000319519993037084,0.00084094925774628,26.78759765625,302,2.30746246177275,1.02134030809972,31.2549668874172,83837,1112.17070632348,1.35767473475288,382.043163385751,281.395207266112,83753.5,140.890028036054,83753.5,30020,0.358432781913592,0.15127628386575,1.32356713249602,22446.375,8.92011829103191e-06,7.80451177559594e-05,1.32356715202331,3.50242612946466e-05,0.000306439052473593,5.19689989089966,1.40466591269039,2.80042361708274,208424.328125,1.88733226993621e-05,3.76269532439114e-05,2.80042362213135,0.000119899562594543,0.00023903873777683,17.7906970977783,2.15507333367031,5.6104883103781,319769.78125,3.78116216118372e-05,9.84382562464147e-05,5.6104884147644,0.000183292218722621,0.00047718044414532,27.1968994140625,479,2.59018075893136,1.27840264089579,35.4050104384134,148380,1452.33722856485,1.11156864333611,458.810896968691,412.759841436045,148313.5,201.405064484486,148313.5,56383,0.380160942867642
"H11-15201 - 2",0.186935401114443,1.66074929145016,17579.03125,1.76604066038784e-05,0.000156896487124753,1.66074931621551,8.93255877254969e-05,0.000793575778793602,8.39999961853027,1.74031907314065,2.93864583146289,163656.125,3.12495569843166e-05,5.27669792191047e-05,2.93864583969116,0.000135983321248842,0.000229616985933071,12.7875995635986,0.998607776909335,3.38257611573374,93907.078125,3.59703122906496e-05,0.000121841950406603,3.38257622718811,0.000191411982390098,0.000648368273179166,18,247,2.70794586270582,1.53733848094563,42.8542510121458,94038,1164.12907576313,1.33953521765164,400.962941517587,299.329899082848,94000.5,152.013157325279,94000.5,37263,0.396412785038378,0.230915918865194,2.04164121271721,19269.009765625,2.44666159594416e-05,0.000216321385394317,2.04164123535156,0.000119763670033252,0.00105888951150612,9.99379920959473,0.59062265005213,1.96308044516251,49285.09765625,2.35251588594896e-05,7.81916835094784e-05,1.96308040618897,9.82299860276406e-05,0.000326491651958197,8.1968994140625,3.50217356134506,5.97608226657396,292242.375,7.16161628476103e-05,0.000122205274323784,5.97608232498169,0.000366592745514315,0.000625551066258793,30.5906982421875,127,2.56484645244307,1.5127367656645,74.3149606299213,83446,1111.70266889194,1.29615818983486,372.79669969934,287.616667952265,83365.5,142.555252446201,83365.5,12915,0.15492020080249,0.180251888311766,1.57952416124683,17425.310546875,1.63390036352973e-05,0.000143176591681604,1.57952415943146,7.44145098445984e-05,0.000652084798377177,7.19379949569702,0.984582208395399,2.27315464391479,95181.53125,2.35140964867302e-05,5.42881814951563e-05,2.27315473556519,0.000107516124918539,0.000248227904760341,10.393798828125,1.64387923855925,3.63089685957777,158917.09375,3.75589292320105e-05,8.29577958032562e-05,3.63089680671692,0.000173559018374673,0.000383346221538942,16.7782974243164,289,2.72551028409016,1.54579383000213,38.1730103806228,96672,1170.12907576313,1.16556834473724,379.217769707991,325.350093300174,96635.5,162.197410583523,96635.5,15804,0.163542383492609,0.167348391196224,1.53880965487054,16314.4599609375,1.57846058704339e-05,0.000145143336832377,1.53880965709686,7.78629131041664e-05,0.000715968654282114,7.59069967269897,1.62154524787666,2.8367075766684,158081.203125,2.90980181356731e-05,5.09036479984657e-05,2.8367075920105,0.000131234597557189,0.000229579888503872,12.7937984466553,1.11942775969863,3.50238369130909,109130.7734375,3.59263058935854e-05,0.000112403597963794,3.50238370895386,0.000202815696638675,0.000634554916201134,19.7720966339111,330,2.5880003358116,1.39250344740408,32.1272727272727,97488,1176.12907576313,1.28410519209654,399.626800455758,311.210329897734,97456.5,156.678013773471,97456.5,27538,0.282567094036827
"H12-05837 - 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H12-05837 - 2",0.14536679992551,1.30483440396592,27028.33984375,7.01780417488505e-06,6.29928727355763e-05,1.30483436584473,2.36312188423688e-05,0.000212117397982008,4.39379978179932,0.979018791144074,2.42307281128534,182030.921875,1.30320375994525e-05,3.22543104060141e-05,2.42307281494141,6.98513349998357e-05,0.000172882147105978,12.9875984191894,3.17711481885851,6.55678860412458,590727.3125,3.52644431540512e-05,7.27771932039763e-05,6.55678844451904,0.000179518834296611,0.000370483005510217,33.3782958984375,521,2.86667256207032,1.66390248360762,39.7581573896353,185932,1610.10173055266,1.08945696560709,508.722029986016,466.950091693192,185862.5,230.67076104266,185862.5,47127,0.253558410115004,0.153733313779915,1.37166528154316,15937.37890625,1.32311996771851e-05,0.000118053639670721,1.37166523933411,6.35744501509513e-05,0.000567234673612099,6.59069967269897,2.00473607708187,3.25439602222013,207828.984375,3.13921805145364e-05,5.09606169925537e-05,3.25439596176148,0.00013878399557939,0.000225295533075269,14.3875980377197,2.40115988144961,8.83060214090603,248925.84375,8.51807357281319e-05,0.000313264099194711,8.83060169219971,0.000331466426499243,0.00121901425977332,34.36279296875,312,2.44950092993832,1.08324473310776,37.2403846153846,103669,1205.74429945228,1.15468132832521,391.25931850691,338.846146472644,103606.5,170.07351351695,103606.5,59555,0.574819147447313,0.152513923786297,1.35315344257465,28414.869140625,7.2629137844364e-06,6.44389479107741e-05,1.35315346717834,3.10976323180009e-05,0.00027590837073988,5.79379987716675,1.40779530755193,2.91079974863497,262286.34375,1.5623421940556e-05,3.23034552064744e-05,2.910799741745,8.47383267470882e-05,0.000175207502732832,15.78759765625,3.80335495947614,9.4225371660705,708603.0625,5.05745094196532e-05,0.000125294693695406,9.42253684997559,0.000284472116365198,0.000704759118652181,53,580,2.66491285653901,1.47660066197787,36.2051724137931,186310,1621.29054737062,1.14397063823216,521.97352976332,456.282278861592,186241,225.568171513625,186241,67346,0.361606735359024,0.139338462945892,1.26623324757788,11827.884765625,1.49168673962171e-05,0.000135556493501262,1.26623320579529,5.17611830195712e-05,0.000470377880505226,4.39379978179932,2.10341277566383,3.28495229191964,178550.296875,3.86984002322511e-05,6.04362586399321e-05,3.28495240211487,0.000204725134954953,0.000319724358939289,17.3782978057861,1.92211613222439,7.69953046104478,163160.75,9.07043635169694e-05,0.000363339653697393,7.69953060150146,0.00039339583474454,0.0015758481821587,33.393798828125,302,2.39722109766049,1.13835369429965,30.9304635761589,84886,1090.22958082652,1.12974540295348,349.664426990573,309.50728020353,84819,154.159008818817,84819,53933,0.635859889883163
"H12-06008 - 1",0.193873818099955,1.67062128528975,60713.71875,5.33470411673802e-06,4.59694369022562e-05,1.67062127590179,3.38385017054894e-05,0.000291588218386241,10.5968990325928,5.32958925281245,6.62201586249856,1669019.5,2.11457236152138e-05,2.62735664160353e-05,6.62201595306396,0.000146790290427687,0.000182386969344769,45.968994140625,0.198976325276775,2.51479639196061,62311.625,8.03036296166388e-06,0.000101493118711664,2.51479649543762,4.91066825236416e-05,0.000620643224061108,15.3782978057861,640,2.55624360546639,1.32392155192838,56.784375,313161,2122.47640559575,1.15773020895066,681.645075269031,588.777134775516,313097.5,296.863605044472,313097.5,200300,0.639736823194053,0.182292572257057,1.55326505061885,50324.234375,5.62648777546096e-06,4.79417603863416e-05,1.55326509475708,2.96921333683344e-05,0.000252998531252894,8.1968994140625,0.871151750234548,2.37528411055033,240492.765625,8.60413816754251e-06,2.34600603957242e-05,2.37528419494629,4.85171820494778e-05,0.000132287045947821,13.393798828125,2.45492423830792,4.75869108807999,677713.75,1.72377004918536e-05,3.34140216751107e-05,4.75869131088257,9.0446731535822e-05,0.000175324374002736,24.9689960479736,620,2.4553940968407,1.16917977085668,52.2564516129032,276063,2008.32503525603,1.10520955993311,627.153220456998,567.451859984773,275956.5,268.268522193716,275956.5,50204,0.181927224037122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H12-09036 - 1",0.147319691708285,1.33930249969596,16518.95703125,1.1944194594002e-05,0.00010858622829783,1.33930253982544,5.7021312599655e-05,0.000518388177541699,6.39379978179932,3.25417428431285,4.31333115631945,364890.5625,3.84672355941028e-05,5.09874122555056e-05,4.31333112716675,0.000258490119239387,0.000342622547996507,28.9844970703125,0.443968252530545,3.27514211554276,49782.16015625,2.92084383558421e-05,0.000215469881107933,3.27514219284058,0.000151554421673469,0.00111801298041093,16.9937973022461,339,2.48668850980412,1.21935640928707,36.3834808259587,112130,1276.39610306789,1.28358360950577,429.519374688912,334.625163104331,112088,166.739317498903,112088,71389,0.636901363214617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H12-12801 - 2",0.165433238848068,1.4975591734687,13874.8857421875,1.78557194443359e-05,0.000161636178067614,1.49755918979645,8.57732144473235e-05,0.000776448947188022,7.19379949569702,1.11528649248837,2.54521177995157,93539.078125,3.03471061403623e-05,6.92555792221215e-05,2.54521179199219,0.000143078573983546,0.000326521727299937,12,2.56913899487302,5.69223034553812,215473.6875,6.78696819435957e-05,0.000150373282205563,5.69223022460938,0.000414779988747466,0.000918993967777514,34.78759765625,286,2.65832823453264,1.21983012787769,32.3951048951049,83870,1088.38896039296,1.16811062965882,353.613470999578,302.722586389664,83826.5,150.801193629228,83826.5,20964,0.250087979338276,0.168506086552821,1.57188178574897,14161.0830078125,1.87041941370988e-05,0.00017447905106978,1.57188177108765,8.79805778483718e-05,0.000820712596492321,7.39379978179932,0.493156637097062,1.94574603873239,41444.390625,2.31528940633051e-05,9.13495804782205e-05,1.9457460641861,9.98798151072635e-05,0.000394075107126729,8.39379978179932,3.92330755661062,6.13643855853341,329710.84375,7.30189360862335e-05,0.00011420879154571,6.13643836975098,0.000439718359463315,0.000687762724938349,36.9534912109375,270,2.71473114164681,1.3212336718712,33.3666666666667,84039,1087.82756057297,1.14101511942657,349.599183189854,306.393120684982,83962.5,151.029798384292,83962.5,2488,0.0296322763138306,0.19633256260227,1.67161271889512,12958.341796875,2.53266982752491e-05,0.000215636318313079,1.67161273956299,0.000139342738311907,0.0011863905332898,9.1968994140625,0.214756468672351,1.48174330392144,14174.3564453125,2.24499762995648e-05,0.000154896857173727,1.48174333572388,8.77821865574793e-05,0.000605665887222115,5.79379987716675,3.20236721046332,4.34152166266124,211362.640625,6.57786391315372e-05,8.91775889400977e-05,4.34152173995972,0.000342272934792696,0.000464027159686704,22.5906982421875,199,2.82928441525556,1.45200967282009,38.9547738693467,66002,964.489465456345,1.17085113313979,313.90466659714,268.099554001681,65967,133.375410027486,65967,231,0.00350175087543772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H12-15143 - 1",0.18770786196325,1.73199894033331,23955.27734375,1.35715320517213e-05,0.000125225863671511,1.73199892044067,7.20647188063195e-05,0.000664948262169221,9.1968994140625,0.857169967481586,2.20215463009562,109392.03125,1.7255560542102e-05,4.43312458255271e-05,2.20215463638306,7.9900481226003e-05,0.000205272257957977,10.1968994140625,2.19729592736248,4.37375465966872,280418.90625,3.4271701154543e-05,6.82184000583769e-05,4.37375450134277,0.000205272679940938,0.000408598736844722,26.1968994140625,460,2.52966480323365,1.27003199579012,30.0673913043478,127620,1400.37885912519,1.54853817405206,503.359361917399,325.05453875913,127560,165.38742394753,127560,26650,0.208921291941047,0.173955862963167,1.56139541842744,17365.83984375,1.56406996636551e-05,0.00014038800635884,1.56139540672302,8.00438727029862e-05,0.00071845888941435,7.99069976806641,0.740119354095503,2.1649488689639,73885.375,2.16865734433591e-05,6.3436150383178e-05,2.1649489402771,9.80436502779616e-05,0.000286790892041685,9.78759956359863,2.87624807170261,5.26086899265285,287132.96875,5.26988052187649e-05,9.63899856388736e-05,5.26086902618408,0.000272434857747373,0.000498303366021043,27.1968994140625,326,2.59481927138357,1.19173490552783,34.1165644171779,99829,1189.9869401394,1.01644154881326,360.084115533497,354.259540013799,99781,169.941166289984,99781,13894,0.139244946432688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H13-03641 - 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
