"feature_name","variable_importance","module_membership"
"A_cluster2_feat71",0.0102653033876743,"cyan"
"A_cluster2_feat64",0.00948031934827885,"midnightblue"
"A_cluster2_feat26",0.00859834876130196,"grey"
"A_cluster2_feat23",0.00787423385305712,"grey"
"A_cluster1_feat48",0.00768690986772303,"magenta"
"A_cluster2_feat58",0.00725117053764629,"grey"
"A_cluster2_feat48",0.00707725731953126,"cyan"
"A_cluster2_feat66",0.00643411061506358,"cyan"
"A_cluster2_feat67",0.00603130148398896,"cyan"
"A_cluster2_feat73",0.00554277389201866,"midnightblue"
"A_cluster2_feat16",0.00536502560507872,"grey"
"A_cluster2_feat1",0.00527137986806509,"cyan"
"A_cluster2_feat69",0.00493860995802637,"cyan"
"A_cluster2_feat5",0.00474553108525002,"grey"
"A_cluster2_feat13",0.00453554704111731,"grey"
"A_cluster2_feat68",0.00443544635747373,"midnightblue"
"A_cluster2_feat20",0.00434457047324981,"cyan"
"A_cluster2_feat17",0.00417112281092778,"grey"
"A_cluster2_feat25",0.00391812267017762,"grey"
"A_cluster2_feat4",0.00361881210868731,"grey"
"A_cluster2_feat6",0.00357865795174082,"cyan"
"A_cluster2_feat24",0.00357479730106709,"cyan"
"A_cluster2_feat7",0.00345300250825764,"grey"
"A_cluster2_feat22",0.00319805257902398,"grey"
"A_cluster2_feat74",0.00315861462471783,"red"
"A_cluster2_feat14",0.0028590149717056,"grey"
"A_cluster1_feat56",0.00278617324960116,"magenta"
"A_cluster5_feat21",0.00258908496642364,"green"
"A_cluster5_feat63",0.00235092739854796,"green"
"A_cluster1_feat2",0.0022761769275239,"magenta"
"A_cluster1_feat49",0.00220773444688394,"magenta"
"A_cluster1_feat1",0.00178721668628515,"magenta"
"A_cluster2_feat8",0.00176552909196161,"grey"
"A_cluster1_feat20",0.00173946071275696,"magenta"
"A_cluster1_feat51",0.00165931814376999,"magenta"
"A_cluster1_feat55",0.00141899560463656,"magenta"
"V_cluster6_feat23",0.0013449851678394,"grey"
"A_cluster1_feat22",0.00134197725951807,"grey"
"A_cluster1_feat67",0.00119826215288419,"magenta"
"A_cluster1_feat53",0.00118569346369644,"magenta"
"V_cluster6_feat18",0.00118048887631831,"yellow"
"A_cluster1_feat23",0.00115693912726623,"grey"
"A_cluster1_feat26",0.00113820478232151,"grey"
"A_cluster1_feat16",0.0011147565919321,"grey"
"A_cluster1_feat57",0.00101372075564767,"magenta"
"A_cluster1_feat13",0.00092276920995315,"grey"
"Donor_BMI",0.000888889074743585,"grey"
"A_cluster1_feat5",0.000807549674148502,"grey"
"V_cluster6_feat67",0.000784839246377867,"yellow"
"V_cluster6_feat48",0.000782805310053914,"yellow"
"V_cluster6_feat7",0.000730778886758112,"grey"
"V_cluster6_feat4",0.000517173605376575,"grey"
"V_cluster5_feat8",0.000509101136918477,"grey"
"V_cluster6_feat17",0.000476587195451535,"grey"
"V_cluster6_feat58",0.0004067884876617,"grey"
"V_cluster6_feat2",0.00030870859283372,"yellow"
"V_cluster6_feat70",0.000296618160758084,"yellow"
"A_cluster5_feat73",0.000277991239369171,"green"
"Donor_Sex_0_Male_1_Female",0.000194787224528411,"grey"
"A_cluster5_feat69",8.39948005381831e-05,"green"
"A_cluster5_feat22",4.27350427350428e-05,"grey"
"A_cluster3_feat1",0,"grey"
"A_cluster3_feat2",0,"tan"
"A_cluster3_feat3",0,"tan"
"A_cluster3_feat4",0,"grey"
"A_cluster3_feat5",0,"grey"
"A_cluster3_feat6",0,"tan"
"A_cluster3_feat7",0,"grey"
"A_cluster3_feat8",0,"grey"
"A_cluster3_feat9",0,"tan"
"A_cluster3_feat10",0,"tan"
"A_cluster3_feat11",0,"tan"
"A_cluster3_feat12",0,"tan"
"A_cluster3_feat15",0,"tan"
"A_cluster3_feat18",0,"tan"
"A_cluster3_feat19",0,"tan"
"A_cluster3_feat20",0,"tan"
"A_cluster6_feat2",0,"red"
"A_cluster6_feat3",0,"red"
"A_cluster6_feat6",0,"red"
"A_cluster6_feat9",0,"red"
"A_cluster6_feat10",0,"red"
"A_cluster6_feat11",0,"red"
"A_cluster6_feat12",0,"red"
"A_cluster6_feat15",0,"red"
"A_cluster6_feat18",0,"red"
"A_cluster6_feat19",0,"red"
"A_cluster6_feat20",0,"red"
"V_cluster4_feat2",0,"salmon"
"V_cluster4_feat3",0,"salmon"
"V_cluster4_feat6",0,"salmon"
"V_cluster4_feat9",0,"salmon"
"V_cluster4_feat10",0,"salmon"
"A_cluster5_feat23",-1.96052631578948e-05,"grey"
"A_cluster5_feat4",-2.12765957446809e-05,"grey"
"A_cluster5_feat57",-4.73087274125337e-05,"green"
"A_cluster5_feat25",-6.56717414529915e-05,"grey"
"V_cluster3_feat50",-8.33007854261959e-05,"turquoise"
"V_cluster5_feat25",-0.000152559928782461,"grey"
"A_cluster4_feat59",-0.000399335173844158,"black"
