"feature_name","variable_importance","module_membership"
"A_cluster2_feat64",0.0108277240815241,"black"
"A_cluster2_feat66",0.0100353864729924,"red"
"A_cluster2_feat23",0.00933144491840459,"grey"
"A_cluster2_feat58",0.00915941974449895,"grey"
"A_cluster2_feat71",0.00896165830788732,"red"
"A_cluster2_feat26",0.00763956078507227,"grey"
"A_cluster2_feat68",0.00718921729302325,"black"
"A_cluster1_feat48",0.00679623998171341,"yellow"
"A_cluster2_feat73",0.00672963175399631,"black"
"A_cluster2_feat48",0.0065867691607718,"red"
"A_cluster2_feat1",0.00588873477490728,"red"
"A_cluster2_feat67",0.00582124338262086,"red"
"A_cluster2_feat13",0.00580907518231247,"grey"
"A_cluster2_feat8",0.00579912169161698,"grey"
"A_cluster2_feat20",0.00560679414743583,"red"
"A_cluster2_feat4",0.00521748399293218,"grey"
"A_cluster2_feat2",0.0049566230430296,"red"
"A_cluster2_feat9",0.00492211293037678,"red"
"A_cluster2_feat7",0.00469814107417523,"grey"
"A_cluster2_feat16",0.0045555885091499,"grey"
"A_cluster2_feat5",0.00454371623677336,"grey"
"A_cluster2_feat22",0.00447264767096352,"grey"
"A_cluster2_feat6",0.0042402055920898,"red"
"A_cluster2_feat25",0.00409391868590643,"grey"
"A_cluster2_feat75",0.0038040625180384,"blue"
"A_cluster2_feat17",0.00354144098283295,"grey"
"A_cluster2_feat14",0.00346183358542741,"grey"
"A_cluster1_feat49",0.00317688212393876,"yellow"
"A_cluster2_feat74",0.00300509796266222,"blue"
"A_cluster1_feat1",0.00276805958147109,"yellow"
"A_cluster1_feat51",0.00235989629134173,"yellow"
"A_cluster1_feat2",0.00230805600319661,"yellow"
"A_cluster1_feat56",0.00212176904280027,"yellow"
"A_cluster1_feat6",0.00209656067666935,"yellow"
"A_cluster1_feat53",0.0020491849871429,"yellow"
"A_cluster5_feat21",0.00203965123142572,"turquoise"
"A_cluster1_feat4",0.00172755337676008,"grey"
"A_cluster1_feat57",0.0016217229345853,"yellow"
"A_cluster5_feat63",0.00154107184167339,"turquoise"
"A_cluster1_feat75",0.00151785161548094,"blue"
"A_cluster1_feat23",0.00151425451410192,"grey"
"A_cluster1_feat20",0.00145490632396694,"yellow"
"A_cluster1_feat25",0.00120629108857383,"grey"
"A_cluster1_feat67",0.00110507394666955,"yellow"
"A_cluster1_feat22",0.00110218103334337,"grey"
"A_cluster1_feat7",0.00100210218034094,"grey"
"A_cluster1_feat16",0.000991967032113848,"grey"
"A_cluster1_feat5",0.000982455299244943,"grey"
"A_cluster1_feat26",0.000953172546421468,"grey"
"Donor_Sex_0_Male_1_Female",0.000729586584810711,"grey"
"A_cluster1_feat17",0.00062453444923178,"grey"
"A_cluster1_feat14",0.000372865481450852,"grey"
"A_cluster5_feat76",0.000203616592706933,"turquoise"
"A_cluster5_feat46",0.000125991302527236,"turquoise"
"A_cluster5_feat12",0.000110341415141019,"turquoise"
"A_cluster4_feat59",8.99433289348403e-05,"brown"
"A_cluster5_feat27",5.32046929877332e-05,"turquoise"
"A_cluster5_feat74",4.95434073230792e-05,"turquoise"
"A_cluster5_feat24",4.1351606805293e-05,"turquoise"
"A_cluster5_feat50",3.94722106327234e-05,"turquoise"
"A_cluster4_feat73",3.83274632541523e-05,"brown"
"A_cluster4_feat3",2.47554609351974e-05,"brown"
"A_cluster3_feat2",0,"green"
"A_cluster3_feat3",0,"green"
"A_cluster3_feat6",0,"green"
"A_cluster3_feat9",0,"green"
"A_cluster3_feat10",0,"green"
"A_cluster3_feat11",0,"green"
"A_cluster3_feat12",0,"green"
"A_cluster3_feat15",0,"green"
"A_cluster3_feat18",0,"green"
"A_cluster3_feat19",0,"green"
"A_cluster3_feat20",0,"green"
"A_cluster6_feat2",0,"blue"
"A_cluster6_feat3",0,"blue"
"A_cluster6_feat6",0,"blue"
"A_cluster6_feat9",0,"blue"
"A_cluster6_feat10",0,"blue"
"A_cluster6_feat11",0,"blue"
"A_cluster6_feat12",0,"blue"
"A_cluster6_feat15",0,"blue"
"A_cluster6_feat18",0,"blue"
"A_cluster5_feat73",-6.11847396044488e-07,"turquoise"
"A_cluster4_feat65",-4.14442881447559e-05,"brown"
"A_cluster4_feat63",-9.90048152694669e-05,"brown"
"A_cluster4_feat9",-0.0001017131623425,"brown"
"A_cluster4_feat21",-0.000105726242788394,"brown"
"A_cluster4_feat68",-0.000147881293088056,"brown"
"A_cluster5_feat69",-0.000370729164059623,"turquoise"
