"feature_name","variable_importance","module_membership"
"G_cluster6_feat70",0.00585461923507469,"turquoise"
"G_cluster5_feat54",0.00534974518662801,"blue"
"A_cluster2_feat26",0.00491461398552478,"grey"
"G_cluster2_feat7",0.00451558401134893,"grey"
"G_cluster2_feat8",0.00439683559550688,"grey"
"A_cluster2_feat48",0.00433173880425282,"turquoise"
"A_cluster2_feat66",0.00429034502733966,"turquoise"
"G_cluster1_feat6",0.00420984419955502,"turquoise"
"A_cluster2_feat64",0.00416214806474152,"lightyellow"
"G_cluster1_feat71",0.00406574336779614,"turquoise"
"A_cluster2_feat23",0.00401616860728231,"grey"
"G_cluster6_feat71",0.00383604606469284,"turquoise"
"G_cluster6_feat74",0.00379786502217593,"turquoise"
"G_cluster6_feat72",0.00352551766161096,"turquoise"
"A_cluster2_feat71",0.00341090766845783,"turquoise"
"G_cluster7_feat65",0.00332922363631962,"yellow"
"G_cluster1_feat53",0.00311183623047161,"turquoise"
"G_cluster1_feat9",0.00296698994648866,"turquoise"
"A_cluster2_feat68",0.00289011117514439,"lightyellow"
"A_cluster2_feat1",0.00288421612609429,"turquoise"
"G_cluster6_feat75",0.00287572384629848,"turquoise"
"A_cluster2_feat13",0.00286066309528969,"grey"
"G_cluster1_feat73",0.0025986682303024,"turquoise"
"A_cluster2_feat73",0.00250758817230319,"lightyellow"
"A_cluster2_feat69",0.0024307190549169,"turquoise"
"G_cluster8_feat26",0.00238260720307488,"grey"
"G_cluster8_feat50",0.00234152329570238,"turquoise"
"G_cluster7_feat66",0.00234038288066838,"yellow"
"G_cluster1_feat75",0.00230365692861824,"turquoise"
"A_cluster2_feat58",0.00230364191079712,"grey"
"A_cluster5_feat21",0.00225849003065922,"purple"
"A_cluster2_feat16",0.00224788211923141,"grey"
"G_cluster6_feat73",0.00221453776065308,"turquoise"
"G_cluster1_feat56",0.0022090683844093,"turquoise"
"G_cluster1_feat69",0.00214076953329462,"turquoise"
"G_cluster8_feat48",0.00213384630655637,"turquoise"
"G_cluster8_feat77",0.00209481597451344,"turquoise"
"G_cluster6_feat50",0.00205281962467237,"turquoise"
"G_cluster1_feat21",0.00203751630604708,"turquoise"
"A_cluster2_feat22",0.00202052228281713,"grey"
"G_cluster7_feat6",0.00201775823507618,"yellow"
"G_cluster1_feat3",0.00195635525563682,"turquoise"
"A_cluster2_feat67",0.00188785158674803,"turquoise"
"G_cluster6_feat58",0.00180564584995425,"grey"
"G_cluster6_feat69",0.00180375729263603,"turquoise"
"G_cluster1_feat17",0.00180335690632367,"grey"
"G_cluster6_feat14",0.00178676550221108,"grey"
"G_cluster1_feat51",0.00175688772643673,"turquoise"
"G_cluster8_feat73",0.00175558639739331,"turquoise"
"A_cluster2_feat4",0.00169622214613984,"grey"
"G_cluster1_feat74",0.00167561693199473,"turquoise"
"A_cluster5_feat63",0.00166861112181196,"purple"
"G_cluster1_feat14",0.00164560688918988,"grey"
"G_cluster7_feat2",0.0015784310409546,"yellow"
"G_cluster6_feat17",0.00156316326865865,"grey"
"G_cluster8_feat68",0.00154633892699385,"turquoise"
"G_cluster8_feat53",0.00152981860690703,"turquoise"
"G_cluster1_feat23",0.00149417455536129,"grey"
"G_cluster6_feat26",0.00147461167586924,"grey"
"A_cluster2_feat8",0.00143763622274124,"grey"
"G_cluster7_feat67",0.00142041343916234,"yellow"
"G_cluster6_feat64",0.00142013112520564,"turquoise"
"G_cluster8_feat3",0.00136432681188773,"turquoise"
"G_cluster7_feat50",0.00132237816755598,"yellow"
"G_cluster1_feat16",0.00131668886476721,"grey"
"G_cluster1_feat59",0.00129486864642296,"turquoise"
"A_cluster2_feat75",0.00129406004729469,"magenta"
"G_cluster1_feat4",0.00128621102795891,"grey"
"G_cluster7_feat1",0.00120613717264801,"yellow"
"G_cluster8_feat8",0.0011814774839552,"grey"
"A_cluster2_feat5",0.00115397621578054,"grey"
"G_cluster2_feat73",0.00108160254595684,"brown"
"A_cluster2_feat74",0.00107373335853431,"magenta"
"G_cluster2_feat51",0.00106955072798226,"brown"
"G_cluster2_feat68",0.00104734253745661,"brown"
"Donor_Sex_0_Male_1_Female",0.00104326494214256,"grey"
"G_cluster6_feat3",0.00103008434657314,"turquoise"
"G_cluster2_feat21",0.000968718150740375,"brown"
"G_cluster2_feat49",0.000944428665482564,"brown"
"G_cluster8_feat13",0.000904684420272509,"grey"
"G_cluster6_feat25",0.000880808982538521,"grey"
"A_cluster2_feat25",0.000853722600411857,"grey"
"G_cluster5_feat55",0.000787840025672399,"blue"
"G_cluster6_feat4",0.000784006459904209,"grey"
"G_cluster7_feat4",0.000768065131381546,"grey"
"G_cluster3_feat54",0.000707404818721333,"greenyellow"
"G_cluster6_feat16",0.000691081191813534,"grey"
"G_cluster6_feat13",0.000642766000219046,"grey"
"G_cluster7_feat47",0.000603433135227298,"yellow"
"G_cluster6_feat7",0.000602284381139388,"grey"
"G_cluster5_feat13",0.000585873164314128,"grey"
"G_cluster1_feat7",0.000578873471352667,"grey"
"G_cluster7_feat17",0.000535307019972977,"grey"
"G_cluster8_feat58",0.000444088395642641,"grey"
"G_cluster2_feat27",0.000402407794237353,"brown"
"G_cluster6_feat8",0.000395128816028377,"grey"
"G_cluster6_feat23",0.000285874463370885,"grey"
"G_cluster2_feat54",0.000244498199834164,"brown"
"G_cluster1_feat22",0.000105048451204702,"grey"
"A_cluster1_feat8",9.7880644918843e-05,"grey"
