"feature_name","variable_importance","module_membership"
"G_cluster6_feat70",0.00760632146352174,"turquoise"
"G_cluster5_feat54",0.0068968062108811,"blue"
"G_cluster1_feat65",0.00649326570446369,"turquoise"
"A_cluster2_feat48",0.00479097778263016,"turquoise"
"G_cluster2_feat8",0.00476458863991497,"grey"
"G_cluster2_feat7",0.00470395493601449,"grey"
"A_cluster2_feat76",0.0042457302309574,"greenyellow"
"A_cluster2_feat23",0.00411855418032697,"grey"
"G_cluster1_feat2",0.0040790396937829,"turquoise"
"A_cluster2_feat26",0.00400727418807761,"grey"
"G_cluster1_feat71",0.00386536986544666,"turquoise"
"G_cluster1_feat69",0.00376478654938123,"turquoise"
"G_cluster6_feat75",0.0033344444390785,"turquoise"
"G_cluster1_feat67",0.00327882809685309,"turquoise"
"G_cluster7_feat2",0.0032544630186492,"yellow"
"G_cluster1_feat9",0.00322337908236662,"turquoise"
"A_cluster2_feat59",0.0032167215312021,"greenyellow"
"G_cluster6_feat72",0.00310575237282515,"turquoise"
"A_cluster2_feat71",0.00301975936284048,"turquoise"
"A_cluster2_feat68",0.00299273491580306,"greenyellow"
"G_cluster6_feat74",0.00291947530818388,"turquoise"
"G_cluster1_feat6",0.00284361977442131,"turquoise"
"G_cluster1_feat53",0.00274036598518588,"turquoise"
"G_cluster6_feat63",0.00270402514388609,"turquoise"
"G_cluster1_feat56",0.00265890640286952,"turquoise"
"G_cluster1_feat72",0.00265773090897582,"turquoise"
"A_cluster2_feat13",0.00263867977924765,"grey"
"G_cluster1_feat63",0.00261434224992649,"turquoise"
"G_cluster1_feat21",0.00260059002651931,"turquoise"
"G_cluster1_feat58",0.00257258347463336,"grey"
"G_cluster8_feat77",0.00251721735514003,"turquoise"
"A_cluster2_feat67",0.00248615128911199,"turquoise"
"G_cluster6_feat73",0.00247130816773446,"turquoise"
"A_cluster2_feat66",0.00228754766556334,"turquoise"
"G_cluster6_feat59",0.00223654654609298,"turquoise"
"G_cluster7_feat1",0.00218024010275605,"yellow"
"A_cluster2_feat16",0.00217201506614207,"grey"
"A_cluster2_feat58",0.00217172835727804,"grey"
"G_cluster6_feat68",0.00215722469943103,"turquoise"
"A_cluster2_feat1",0.00209355065897284,"turquoise"
"G_cluster6_feat71",0.00208817279214673,"turquoise"
"A_cluster2_feat18",0.00206371632621651,"turquoise"
"A_cluster5_feat21",0.00206215685361974,"red"
"A_cluster5_feat63",0.00204782910539056,"red"
"G_cluster2_feat54",0.00196603951662646,"brown"
"G_cluster8_feat75",0.00194235373230893,"turquoise"
"A_cluster2_feat2",0.00191332592116391,"turquoise"
"G_cluster8_feat21",0.00189559965365754,"turquoise"
"G_cluster7_feat6",0.00188409561539767,"yellow"
"A_cluster2_feat22",0.00186532408996919,"grey"
"G_cluster2_feat21",0.00184656835401644,"brown"
"G_cluster7_feat65",0.00183735428555639,"yellow"
"G_cluster2_feat73",0.00180128945968448,"brown"
"G_cluster6_feat76",0.00178835934266637,"turquoise"
"G_cluster2_feat27",0.00176864787601051,"brown"
"G_cluster1_feat52",0.00170824769613454,"turquoise"
"G_cluster8_feat25",0.00170481239551053,"grey"
"G_cluster6_feat54",0.00169476056957868,"turquoise"
"A_cluster2_feat7",0.00167194539246396,"grey"
"G_cluster8_feat48",0.00166971415553365,"turquoise"
"G_cluster6_feat49",0.00164709673859821,"turquoise"
"G_cluster7_feat67",0.00162351001560596,"yellow"
"G_cluster8_feat53",0.00159038858575045,"turquoise"
"G_cluster1_feat59",0.00158415031773085,"turquoise"
"G_cluster6_feat69",0.00158144950308519,"turquoise"
"G_cluster6_feat14",0.00153061815025503,"grey"
"G_cluster2_feat69",0.00147692095518411,"brown"
"G_cluster8_feat16",0.00145317758237226,"grey"
"G_cluster2_feat19",0.00140278278024698,"brown"
"G_cluster1_feat8",0.00132963054834767,"grey"
"G_cluster1_feat22",0.00131985161297049,"grey"
"A_cluster2_feat5",0.00131624531601105,"grey"
"G_cluster6_feat27",0.00130569293093475,"turquoise"
"G_cluster8_feat26",0.00126265539963702,"grey"
"G_cluster7_feat66",0.00123646127433608,"yellow"
"G_cluster7_feat16",0.00119120721127397,"grey"
"G_cluster6_feat58",0.00118230087531657,"grey"
"G_cluster1_feat17",0.00113758680909017,"grey"
"G_cluster8_feat63",0.00111343172929645,"turquoise"
"G_cluster2_feat51",0.00110487406173452,"brown"
"G_cluster7_feat48",0.000995377021609663,"yellow"
"G_cluster6_feat16",0.000993470445181202,"grey"
"G_cluster8_feat17",0.000991475809451575,"grey"
"G_cluster2_feat49",0.000971723076071361,"brown"
"G_cluster7_feat52",0.000968485668253708,"yellow"
"G_cluster7_feat9",0.000953019118495466,"yellow"
"G_cluster6_feat26",0.000943076979423919,"grey"
"G_cluster7_feat47",0.000902234786005318,"yellow"
"A_cluster2_feat4",0.000899732147063092,"grey"
"G_cluster8_feat23",0.000893089020372426,"grey"
"G_cluster2_feat50",0.000851582237955839,"brown"
"G_cluster2_feat13",0.000841700275353487,"grey"
"A_cluster2_feat74",0.000817341011327676,"green"
"G_cluster8_feat22",0.000784402833013645,"grey"
"G_cluster8_feat7",0.000782486944983539,"grey"
"G_cluster3_feat54",0.000667083316539693,"black"
"G_cluster6_feat25",0.000631873766631438,"grey"
"G_cluster6_feat17",0.000613241648116319,"grey"
"G_cluster8_feat58",0.000595849507840328,"grey"
"G_cluster5_feat46",0.000408290459881821,"blue"
