"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.00692898590014788,"turquoise"
"T_cluster8_feat17",0.00629572946537265,"grey"
"G_cluster1_feat65",0.00613667102972188,"turquoise"
"A_cluster2_feat23",0.00580026279529627,"grey"
"T_cluster8_feat25",0.00571425042477479,"grey"
"G_cluster5_feat54",0.00480644530982188,"blue"
"T_cluster6_feat51",0.00472148934368191,"turquoise"
"G_cluster6_feat70",0.00466215631608118,"turquoise"
"G_cluster6_feat49",0.00448797759077604,"turquoise"
"T_cluster4_feat24",0.00429696959697972,"turquoise"
"T_cluster6_feat77",0.00427754036254199,"turquoise"
"T_cluster6_feat75",0.00427417226800374,"turquoise"
"T_cluster8_feat49",0.00424790390535863,"turquoise"
"G_cluster2_feat7",0.0041542229142006,"grey"
"T_cluster6_feat17",0.00412285397882956,"grey"
"G_cluster1_feat71",0.00394032950478148,"turquoise"
"T_cluster6_feat19",0.00376473548971261,"turquoise"
"T_cluster8_feat22",0.00375633513360019,"grey"
"T_cluster8_feat75",0.00367731231468248,"turquoise"
"T_cluster4_feat20",0.00356293629019934,"turquoise"
"T_cluster8_feat4",0.0035267529619003,"grey"
"A_cluster2_feat71",0.00351634190981657,"turquoise"
"T_cluster8_feat70",0.00337883247624924,"turquoise"
"T_cluster6_feat66",0.00337646465436798,"turquoise"
"T_cluster4_feat27",0.00334691159511353,"turquoise"
"T_cluster6_feat67",0.003145291271956,"green"
"G_cluster1_feat69",0.00312924478212398,"turquoise"
"T_cluster4_feat56",0.00310780032768451,"turquoise"
"T_cluster8_feat46",0.00304703548639192,"orange"
"G_cluster1_feat67",0.00303496342952719,"turquoise"
"T_cluster6_feat48",0.00297342162860964,"turquoise"
"T_cluster8_feat76",0.00293048401289458,"turquoise"
"T_cluster8_feat67",0.00291401882663843,"green"
"G_cluster2_feat8",0.00288916311161668,"grey"
"A_cluster2_feat26",0.00272895965090733,"grey"
"T_cluster8_feat5",0.00271843240610796,"grey"
"T_cluster8_feat66",0.00267182075965101,"turquoise"
"T_cluster4_feat52",0.00266991089653091,"turquoise"
"A_cluster2_feat58",0.00263146027466337,"grey"
"T_cluster8_feat14",0.00260073020366719,"grey"
"A_cluster2_feat16",0.0025832402908141,"grey"
"T_cluster8_feat48",0.00256280624368908,"turquoise"
"T_cluster4_feat46",0.00254324271973566,"orange"
"T_cluster4_feat53",0.00252420058387562,"turquoise"
"A_cluster2_feat50",0.00251446021599095,"orange"
"G_cluster8_feat77",0.00249496126790083,"green"
"T_cluster6_feat4",0.00248884792503429,"grey"
"T_cluster6_feat58",0.00245083705100778,"grey"
"A_cluster2_feat68",0.00242447704386428,"turquoise"
"A_cluster2_feat13",0.00242121730572825,"grey"
"T_cluster8_feat51",0.00241657954154704,"turquoise"
"T_cluster8_feat65",0.002400500523847,"turquoise"
"T_cluster4_feat62",0.00236003105822013,"orange"
"A_cluster2_feat73",0.00234749775834329,"turquoise"
"T_cluster6_feat5",0.00234586000607792,"grey"
"A_cluster2_feat76",0.00233154754992489,"turquoise"
"T_cluster6_feat46",0.00232229151300572,"orange"
"T_cluster8_feat13",0.00222940784546568,"grey"
"T_cluster4_feat14",0.0022259085889697,"grey"
"T_cluster4_feat54",0.00218813321903922,"orange"
"A_cluster2_feat59",0.00218198106740888,"turquoise"
"A_cluster2_feat75",0.0021637791583431,"magenta"
"T_cluster8_feat8",0.00214799589833402,"grey"
"G_cluster6_feat73",0.00214607342142927,"turquoise"
"G_cluster5_feat55",0.00209970142362622,"blue"
"T_cluster8_feat16",0.00205057716465496,"grey"
"T_cluster8_feat7",0.00202960439666386,"grey"
"T_cluster8_feat47",0.00199677416072558,"turquoise"
"T_cluster6_feat14",0.00199572026885674,"grey"
"T_cluster4_feat75",0.00199465172543834,"turquoise"
"T_cluster4_feat25",0.00197068509284427,"grey"
"G_cluster1_feat73",0.001969444620538,"turquoise"
"A_cluster5_feat63",0.00194249342191213,"greenyellow"
"G_cluster6_feat58",0.00193736701100528,"grey"
"T_cluster6_feat72",0.00193243935025663,"turquoise"
"G_cluster8_feat50",0.00189814065198459,"turquoise"
"T_cluster6_feat22",0.00188925131965686,"grey"
"T_cluster8_feat55",0.00187240895183445,"turquoise"
"G_cluster6_feat75",0.00185528027842703,"turquoise"
"T_cluster6_feat13",0.00184647716661951,"grey"
"A_cluster2_feat63",0.00182004004336074,"turquoise"
"G_cluster7_feat2",0.00180816120264953,"yellow"
"G_cluster8_feat26",0.00180397574926145,"grey"
"T_cluster8_feat58",0.00164097978452555,"grey"
"A_cluster2_feat74",0.00164096549561361,"magenta"
"G_cluster5_feat13",0.00155780274424641,"grey"
"T_cluster4_feat65",0.00152121198914939,"turquoise"
"T_cluster6_feat56",0.00146728382038366,"turquoise"
"T_cluster5_feat21",0.00144752818295726,"darkgrey"
"A_cluster2_feat64",0.00142489231757349,"turquoise"
"G_cluster8_feat65",0.00127500623349683,"turquoise"
"A_cluster2_feat8",0.0012582489466939,"grey"
"G_cluster7_feat65",0.00111444042834628,"yellow"
"A_cluster2_feat25",0.00110754287702605,"grey"
"T_cluster6_feat23",0.00110603345518179,"grey"
"A_cluster2_feat22",0.000998141830351443,"grey"
"T_cluster6_feat16",0.000958777201594123,"grey"
"G_cluster1_feat23",0.000846399984058483,"grey"
"T_cluster6_feat2",0.000565623596607606,"turquoise"
"G_cluster2_feat69",0.000374755784378703,"brown"
