"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.00991400721684156,"turquoise"
"G_cluster1_feat65",0.00619831156713226,"turquoise"
"G_cluster2_feat7",0.00515831835751209,"grey"
"G_cluster5_feat54",0.00508058064698061,"blue"
"T_cluster6_feat77",0.00508041373648359,"turquoise"
"G_cluster1_feat71",0.00503825609461321,"turquoise"
"T_cluster8_feat75",0.0050330819665475,"turquoise"
"G_cluster2_feat8",0.00491860585182953,"grey"
"A_cluster2_feat23",0.00486644652078681,"grey"
"T_cluster6_feat17",0.0047901328614883,"grey"
"T_cluster8_feat25",0.00461364166776127,"grey"
"T_cluster8_feat17",0.00451690419331074,"grey"
"T_cluster6_feat53",0.00411852673662361,"turquoise"
"T_cluster8_feat70",0.00410024702212257,"turquoise"
"A_cluster2_feat26",0.00407864447978657,"grey"
"T_cluster4_feat27",0.00376712759139554,"turquoise"
"T_cluster6_feat51",0.0036800027623346,"turquoise"
"T_cluster6_feat75",0.00360249706486758,"turquoise"
"G_cluster1_feat69",0.00359764680721963,"turquoise"
"G_cluster6_feat49",0.00358555571830232,"turquoise"
"T_cluster6_feat66",0.00351679981359594,"turquoise"
"T_cluster8_feat19",0.00346278907018658,"turquoise"
"T_cluster6_feat67",0.00343997099514426,"yellow"
"G_cluster1_feat73",0.00342584117258504,"turquoise"
"T_cluster6_feat58",0.00340751754267265,"grey"
"A_cluster2_feat76",0.00340616391207004,"turquoise"
"T_cluster8_feat55",0.0033439107834873,"turquoise"
"T_cluster4_feat20",0.00334222398555639,"turquoise"
"T_cluster8_feat71",0.0033396860802166,"turquoise"
"T_cluster8_feat14",0.00328476150681817,"grey"
"T_cluster8_feat66",0.00325145972927015,"turquoise"
"A_cluster2_feat68",0.00316657537068972,"turquoise"
"T_cluster4_feat24",0.00315541479539809,"turquoise"
"T_cluster6_feat48",0.00313469576360955,"turquoise"
"T_cluster8_feat76",0.00306781484393361,"turquoise"
"T_cluster4_feat46",0.0029930865991914,"grey60"
"G_cluster6_feat70",0.00284320647443877,"turquoise"
"T_cluster8_feat5",0.00284122798664116,"grey"
"G_cluster6_feat58",0.00280598173493799,"grey"
"T_cluster8_feat4",0.00279856565502854,"grey"
"T_cluster4_feat17",0.0027834368424627,"grey"
"T_cluster6_feat19",0.00269436690914822,"turquoise"
"T_cluster4_feat54",0.0026309107539968,"grey60"
"G_cluster1_feat68",0.00252922697540648,"turquoise"
"A_cluster2_feat58",0.00251963862339969,"grey"
"G_cluster1_feat2",0.00251957935072174,"turquoise"
"G_cluster1_feat75",0.00247083317491156,"turquoise"
"T_cluster8_feat64",0.0024382029813695,"turquoise"
"A_cluster2_feat59",0.00242591994497023,"turquoise"
"G_cluster1_feat21",0.00241896557929984,"turquoise"
"T_cluster4_feat75",0.00238846208541186,"turquoise"
"T_cluster6_feat54",0.00236251635424749,"grey60"
"T_cluster4_feat62",0.00235913469474138,"grey60"
"T_cluster8_feat54",0.00233231437485381,"grey60"
"T_cluster6_feat56",0.00232970595432963,"turquoise"
"T_cluster4_feat57",0.00230804967116543,"yellow"
"A_cluster2_feat13",0.00230405122204517,"grey"
"T_cluster6_feat4",0.00228111853640176,"grey"
"T_cluster8_feat48",0.00227978913529252,"turquoise"
"G_cluster1_feat6",0.00226480727153579,"turquoise"
"T_cluster6_feat14",0.00226213980959313,"grey"
"A_cluster5_feat63",0.0022372816503464,"magenta"
"T_cluster4_feat19",0.00220783101070229,"turquoise"
"T_cluster6_feat76",0.00219581906469662,"turquoise"
"G_cluster5_feat55",0.00216286606195179,"blue"
"T_cluster8_feat50",0.00203895142460554,"turquoise"
"T_cluster5_feat66",0.00198876189366625,"midnightblue"
"A_cluster2_feat12",0.00197693633106808,"turquoise"
"A_cluster5_feat21",0.00193411735838575,"magenta"
"A_cluster2_feat71",0.00187383803197195,"turquoise"
"T_cluster6_feat22",0.00186299315620911,"grey"
"T_cluster6_feat18",0.00184311003812126,"yellow"
"T_cluster8_feat46",0.001785873568942,"grey60"
"T_cluster6_feat13",0.0017835132699099,"grey"
"T_cluster4_feat64",0.00177432763622776,"turquoise"
"A_cluster2_feat16",0.00174390745489547,"grey"
"T_cluster6_feat55",0.00170526253782668,"turquoise"
"A_cluster2_feat27",0.00169300665686103,"turquoise"
"G_cluster6_feat69",0.00165816113999425,"turquoise"
"T_cluster6_feat25",0.00164578559445361,"grey"
"A_cluster2_feat14",0.00161699913642005,"grey"
"T_cluster8_feat8",0.00152255035954881,"grey"
"G_cluster1_feat64",0.00147465712168446,"turquoise"
"Donor_Sex_0_Male_1_Female",0.00145343913811414,"grey"
"T_cluster8_feat47",0.00141123296703356,"turquoise"
"T_cluster8_feat67",0.00140944757099277,"yellow"
"T_cluster5_feat77",0.00140023832993384,"midnightblue"
"T_cluster4_feat65",0.00137914654859919,"turquoise"
"T_cluster6_feat26",0.00135086490853332,"grey"
"G_cluster1_feat7",0.00134703607826646,"grey"
"G_cluster2_feat54",0.00134680995307451,"brown"
"G_cluster8_feat77",0.00132887358933438,"yellow"
"G_cluster6_feat72",0.00132380950606534,"turquoise"
"T_cluster5_feat21",0.00127423866576957,"midnightblue"
"T_cluster8_feat13",0.00124341360517097,"grey"
"G_cluster1_feat3",0.00118154668108218,"turquoise"
"G_cluster7_feat2",0.0010754959512545,"green"
"T_cluster8_feat7",0.00106467828979075,"grey"
"T_cluster8_feat26",0.000703217257322294,"grey"
"G_cluster8_feat25",0.000593442536177974,"grey"
