"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.0134415356004064,"turquoise"
"G_cluster1_feat65",0.00745111338772162,"turquoise"
"T_cluster6_feat75",0.00570823139715599,"turquoise"
"T_cluster6_feat51",0.0056703763924276,"turquoise"
"T_cluster8_feat75",0.00534512042340197,"turquoise"
"T_cluster8_feat25",0.0052106921422964,"grey"
"T_cluster6_feat66",0.00494272507499104,"turquoise"
"G_cluster2_feat7",0.00482895164305457,"grey"
"T_cluster6_feat77",0.00473475157487814,"turquoise"
"G_cluster5_feat54",0.00470001744718518,"brown"
"G_cluster2_feat8",0.00469004028536373,"grey"
"T_cluster4_feat75",0.00434329371652303,"turquoise"
"T_cluster4_feat52",0.00422985638572587,"turquoise"
"G_cluster1_feat69",0.00415898348282685,"turquoise"
"T_cluster6_feat67",0.00413471825230184,"turquoise"
"G_cluster6_feat49",0.00398280976998495,"turquoise"
"G_cluster1_feat71",0.00396969741387876,"turquoise"
"T_cluster4_feat20",0.0039523554067444,"turquoise"
"T_cluster8_feat66",0.00394736931604888,"turquoise"
"T_cluster8_feat13",0.00383200333483105,"grey"
"G_cluster6_feat70",0.0037211701896659,"turquoise"
"T_cluster8_feat70",0.00360040963249836,"turquoise"
"T_cluster6_feat48",0.0035183815817854,"turquoise"
"T_cluster8_feat76",0.00334692705457895,"turquoise"
"T_cluster8_feat4",0.00331287819850446,"grey"
"T_cluster8_feat5",0.00330945546303421,"grey"
"T_cluster8_feat67",0.00330472645280889,"turquoise"
"T_cluster8_feat19",0.00323478755985453,"turquoise"
"T_cluster6_feat58",0.00317500047400523,"turquoise"
"T_cluster8_feat48",0.00313831668946173,"turquoise"
"T_cluster4_feat25",0.0030986040116386,"grey"
"T_cluster6_feat17",0.00307355588639812,"grey"
"T_cluster6_feat52",0.00299059711194686,"turquoise"
"T_cluster8_feat63",0.00298635044254803,"turquoise"
"T_cluster8_feat17",0.00297616982393234,"grey"
"T_cluster4_feat66",0.00284999950159166,"turquoise"
"T_cluster8_feat22",0.00284763096636919,"grey"
"T_cluster8_feat46",0.0028042529538951,"royalblue"
"T_cluster8_feat65",0.00279430247893809,"turquoise"
"T_cluster6_feat72",0.00259336183243951,"turquoise"
"G_cluster1_feat6",0.00259327735392209,"turquoise"
"G_cluster6_feat9",0.00258526530669195,"turquoise"
"G_cluster1_feat3",0.0025429775184911,"turquoise"
"T_cluster8_feat64",0.00251738123923169,"turquoise"
"T_cluster4_feat54",0.00246918298328321,"royalblue"
"T_cluster4_feat74",0.00230078071926885,"turquoise"
"T_cluster8_feat14",0.00223927361431929,"grey"
"G_cluster8_feat12",0.00212456512078473,"lightcyan"
"T_cluster6_feat54",0.00212242917337132,"royalblue"
"T_cluster6_feat13",0.00210584977552817,"grey"
"G_cluster1_feat15",0.00210363508014595,"lightcyan"
"T_cluster4_feat56",0.00210176524977733,"turquoise"
"T_cluster6_feat19",0.00205501601118738,"turquoise"
"T_cluster6_feat26",0.00204714269210336,"grey"
"T_cluster4_feat62",0.00202989534591992,"royalblue"
"T_cluster4_feat76",0.00202059819030222,"turquoise"
"T_cluster6_feat15",0.00201836798197636,"lightcyan"
"T_cluster8_feat60",0.0019719096165062,"lightcyan"
"T_cluster8_feat11",0.00194394064816059,"lightcyan"
"T_cluster6_feat76",0.00187701467005589,"turquoise"
"T_cluster4_feat77",0.00186756603566308,"turquoise"
"T_cluster6_feat23",0.00183951128445436,"grey"
"T_cluster6_feat4",0.00182824369155671,"grey"
"T_cluster6_feat5",0.00181779407930532,"grey"
"T_cluster4_feat17",0.00180945177549248,"grey"
"T_cluster8_feat16",0.00178228091522503,"grey"
"G_cluster8_feat25",0.00176274448445652,"grey"
"G_cluster2_feat63",0.00167837097984333,"red"
"T_cluster8_feat15",0.00167717342715027,"lightcyan"
"T_cluster4_feat48",0.0016330558628057,"turquoise"
"T_cluster6_feat53",0.00163259358852575,"turquoise"
"T_cluster6_feat11",0.00155647038316701,"lightcyan"
"G_cluster1_feat11",0.0015476734571679,"lightcyan"
"T_cluster4_feat65",0.00154487982934195,"turquoise"
"T_cluster4_feat14",0.00154035876372152,"grey"
"G_cluster7_feat6",0.00153738701289773,"magenta"
"G_cluster1_feat21",0.00153136364412339,"turquoise"
"T_cluster4_feat46",0.00152803749828821,"royalblue"
"G_cluster2_feat49",0.00144999287986527,"red"
"G_cluster8_feat26",0.00144614606767331,"grey"
"T_cluster4_feat67",0.00144597119941849,"turquoise"
"T_cluster5_feat66",0.00143834591414469,"grey60"
"G_cluster7_feat2",0.00142814358944529,"magenta"
"G_cluster2_feat69",0.00142435243596841,"red"
"T_cluster4_feat50",0.00142205216702904,"turquoise"
"T_cluster6_feat24",0.00141453251608234,"turquoise"
"G_cluster2_feat50",0.00133328507649292,"red"
"T_cluster6_feat16",0.0013151589701982,"grey"
"T_cluster8_feat23",0.00130779241926212,"grey"
"G_cluster6_feat14",0.00123414314255794,"grey"
"T_cluster4_feat22",0.00123108782467341,"grey"
"G_cluster2_feat19",0.00111900456422075,"red"
"Donor_Sex_0_Male_1_Female",0.00107881327266527,"grey"
"T_cluster5_feat53",0.00106056499499694,"grey60"
"T_cluster5_feat77",0.0010566953943845,"grey60"
"G_cluster2_feat51",0.00100940278966301,"red"
"G_cluster5_feat55",0.000778264888091274,"brown"
"G_cluster8_feat4",0.000773133062804308,"grey"
"T_cluster6_feat22",0.000755708819993084,"grey"
"G_cluster1_feat16",0.000406943691655975,"grey"
