"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.0145210402976131,"turquoise"
"T_cluster6_feat51",0.00710912934971004,"turquoise"
"G_cluster5_feat54",0.00556350625285544,"blue"
"T_cluster8_feat75",0.0055261915612555,"turquoise"
"G_cluster2_feat7",0.00549076847618432,"grey"
"T_cluster6_feat77",0.00530758778651822,"turquoise"
"G_cluster2_feat8",0.00513364800170067,"grey"
"G_cluster1_feat65",0.00448351659842455,"turquoise"
"T_cluster4_feat52",0.00418452721548325,"turquoise"
"T_cluster6_feat48",0.00391669007676934,"turquoise"
"T_cluster8_feat65",0.003880064121404,"turquoise"
"G_cluster6_feat49",0.0038710376274194,"turquoise"
"T_cluster8_feat70",0.00386521449302277,"turquoise"
"T_cluster6_feat75",0.0038049645462712,"turquoise"
"T_cluster8_feat13",0.00369780142756889,"grey"
"T_cluster8_feat25",0.00368214175851622,"grey"
"T_cluster4_feat65",0.00365873156611175,"turquoise"
"T_cluster4_feat56",0.00355317656379274,"turquoise"
"T_cluster8_feat22",0.00347683182897003,"grey"
"T_cluster8_feat66",0.00347484396246021,"turquoise"
"T_cluster8_feat5",0.00326932272204699,"grey"
"T_cluster4_feat24",0.00314535340694315,"turquoise"
"T_cluster4_feat53",0.00312799238332911,"turquoise"
"T_cluster6_feat54",0.00303254668669398,"tan"
"T_cluster8_feat14",0.00302697067682772,"grey"
"T_cluster6_feat67",0.00294479985788007,"turquoise"
"G_cluster1_feat73",0.00292255660333449,"turquoise"
"G_cluster1_feat64",0.00290702843509312,"turquoise"
"T_cluster6_feat76",0.00283208145761999,"turquoise"
"T_cluster4_feat75",0.00282020653450489,"turquoise"
"T_cluster8_feat17",0.00278387481463865,"grey"
"T_cluster8_feat46",0.00276386177563543,"tan"
"T_cluster8_feat48",0.00275898006468296,"turquoise"
"G_cluster1_feat66",0.00267444689490107,"turquoise"
"T_cluster6_feat19",0.0026649928675139,"turquoise"
"G_cluster7_feat1",0.00263005798351856,"green"
"G_cluster7_feat2",0.00262205454333935,"green"
"T_cluster8_feat74",0.00260195942123639,"turquoise"
"T_cluster6_feat56",0.00259952533121462,"turquoise"
"T_cluster6_feat66",0.0025880224692442,"turquoise"
"T_cluster4_feat51",0.00257468810476228,"turquoise"
"G_cluster8_feat77",0.00252577365987266,"turquoise"
"G_cluster6_feat70",0.00247790591796723,"turquoise"
"T_cluster8_feat49",0.00236119967130029,"turquoise"
"T_cluster4_feat76",0.00234333965290239,"turquoise"
"T_cluster4_feat21",0.00230276057805176,"turquoise"
"T_cluster8_feat58",0.00227762578424541,"turquoise"
"T_cluster8_feat76",0.002271008648556,"turquoise"
"G_cluster2_feat54",0.00226744817795531,"brown"
"T_cluster4_feat54",0.00225474663955307,"tan"
"T_cluster4_feat62",0.00219533585730316,"tan"
"T_cluster8_feat53",0.00218938827796088,"turquoise"
"G_cluster1_feat71",0.00218060521221242,"turquoise"
"T_cluster6_feat4",0.00215398786294467,"grey"
"T_cluster6_feat13",0.00214549549036759,"grey"
"T_cluster8_feat67",0.00211124913636337,"turquoise"
"T_cluster4_feat26",0.00208480325136029,"grey"
"T_cluster4_feat50",0.00207507145492212,"turquoise"
"G_cluster2_feat69",0.00205577298853695,"brown"
"T_cluster6_feat23",0.0020541270133945,"grey"
"T_cluster8_feat50",0.00205027123456299,"turquoise"
"T_cluster6_feat7",0.002036639842191,"grey"
"T_cluster4_feat13",0.00196955729568216,"grey"
"T_cluster6_feat72",0.00194752251207459,"turquoise"
"G_cluster2_feat49",0.00188915720294032,"brown"
"T_cluster6_feat16",0.00188246854013918,"grey"
"G_cluster8_feat48",0.00187265895966249,"turquoise"
"T_cluster8_feat4",0.00186708208093926,"grey"
"T_cluster5_feat21",0.00185429619477315,"magenta"
"G_cluster8_feat3",0.00176857797786519,"turquoise"
"T_cluster4_feat27",0.00176674773080958,"turquoise"
"T_cluster6_feat15",0.00176104367438685,"pink"
"T_cluster6_feat25",0.00167960319938535,"grey"
"T_cluster8_feat26",0.00167827582040747,"grey"
"G_cluster1_feat11",0.00166435634543699,"pink"
"T_cluster6_feat17",0.00163125176358078,"grey"
"T_cluster6_feat18",0.00162658623094438,"pink"
"T_cluster8_feat15",0.00159247244913442,"pink"
"T_cluster8_feat23",0.00159147720564496,"grey"
"G_cluster1_feat15",0.00150624161251272,"pink"
"T_cluster4_feat46",0.00142634904475932,"tan"
"T_cluster6_feat50",0.00142523620188971,"turquoise"
"G_cluster1_feat77",0.00135343199842992,"pink"
"T_cluster5_feat73",0.00134492320308841,"midnightblue"
"T_cluster5_feat66",0.00124639018552514,"magenta"
"T_cluster5_feat20",0.00118657202877658,"magenta"
"T_cluster5_feat61",0.00115770937020496,"midnightblue"
"T_cluster5_feat24",0.00112623520644407,"magenta"
"T_cluster8_feat60",0.00112300274053187,"pink"
"T_cluster8_feat64",0.0010942378244396,"turquoise"
"T_cluster6_feat14",0.00107932940905582,"grey"
"T_cluster6_feat26",0.001032048804629,"grey"
"T_cluster8_feat57",0.00100250226765246,"turquoise"
"G_cluster2_feat50",0.000937781009768257,"brown"
"G_cluster2_feat19",0.000935358705936404,"brown"
"G_cluster8_feat22",0.00084856050812899,"grey"
"G_cluster6_feat17",0.000757159175951114,"grey"
"T_cluster6_feat6",0.000725479779112274,"turquoise"
"G_cluster1_feat58",0.000649592838094339,"turquoise"
"G_cluster8_feat6",0.000487824503158259,"turquoise"
