"feature_name","variable_importance","module_membership"
"G_cluster6_feat70",0.00775860904899833,"turquoise"
"G_cluster5_feat54",0.00758512969599368,"salmon"
"G_cluster2_feat8",0.00625664436049084,"grey"
"G_cluster6_feat72",0.00611808303377224,"turquoise"
"G_cluster2_feat7",0.00483058079428918,"grey"
"G_cluster1_feat65",0.00446037495842399,"turquoise"
"G_cluster1_feat58",0.00409583802849795,"turquoise"
"G_cluster1_feat2",0.00392867744007074,"turquoise"
"G_cluster6_feat75",0.00372486039201276,"turquoise"
"G_cluster6_feat69",0.00317934459917467,"turquoise"
"G_cluster6_feat74",0.00314587020036398,"turquoise"
"G_cluster8_feat48",0.00297877607621079,"turquoise"
"G_cluster1_feat6",0.00291193008130469,"turquoise"
"G_cluster1_feat1",0.00271175853357576,"turquoise"
"G_cluster1_feat67",0.0024627104026287,"turquoise"
"Donor_Sex_0_Male_1_Female",0.00244465871832864,"grey"
"G_cluster6_feat46",0.00230941318502688,"turquoise"
"G_cluster1_feat66",0.00228596243729777,"turquoise"
"G_cluster1_feat9",0.00219860194828651,"turquoise"
"G_cluster8_feat3",0.0021945504622831,"turquoise"
"G_cluster7_feat65",0.00218856020108956,"tan"
"G_cluster6_feat59",0.00216498094410624,"turquoise"
"G_cluster6_feat71",0.00212559014364579,"turquoise"
"G_cluster6_feat26",0.00206048253846116,"grey"
"G_cluster8_feat50",0.0019756977039896,"turquoise"
"G_cluster1_feat74",0.0019691177288543,"cyan"
"G_cluster8_feat77",0.00195983919791841,"turquoise"
"G_cluster1_feat56",0.00184044421501547,"turquoise"
"G_cluster6_feat23",0.0018290009115156,"grey"
"G_cluster1_feat3",0.00180365207207517,"cyan"
"G_cluster1_feat11",0.00179833597975321,"blue"
"G_cluster2_feat50",0.00178028385831942,"blue"
"G_cluster6_feat17",0.00176049233072281,"grey"
"G_cluster1_feat72",0.00170673151002922,"cyan"
"G_cluster8_feat5",0.00170376624166536,"grey"
"G_cluster6_feat27",0.00167450505478955,"turquoise"
"G_cluster8_feat25",0.00167215874179047,"grey"
"G_cluster7_feat6",0.00166268882096253,"tan"
"G_cluster6_feat50",0.00163669353327372,"turquoise"
"G_cluster6_feat21",0.00162638636729916,"turquoise"
"G_cluster8_feat7",0.0016237708244677,"grey"
"G_cluster1_feat53",0.00158178331429124,"turquoise"
"G_cluster8_feat26",0.00155167682079251,"grey"
"G_cluster8_feat68",0.00153300865916773,"turquoise"
"G_cluster7_feat67",0.00150099782830026,"tan"
"G_cluster8_feat21",0.00149385802290451,"turquoise"
"G_cluster7_feat1",0.00145397408118082,"tan"
"G_cluster1_feat75",0.00145316595748738,"cyan"
"G_cluster8_feat53",0.00139886066606647,"turquoise"
"G_cluster7_feat9",0.00137951522607836,"tan"
"G_cluster2_feat22",0.00136817141628372,"grey"
"G_cluster1_feat15",0.00136808970191439,"blue"
"G_cluster2_feat54",0.00133798472830059,"blue"
"G_cluster7_feat48",0.00131698497604743,"tan"
"G_cluster7_feat66",0.00129630065983683,"tan"
"G_cluster2_feat25",0.00120526972633852,"grey"
"G_cluster7_feat11",0.00118799031650306,"tan"
"G_cluster1_feat5",0.00116658129460651,"grey"
"G_cluster7_feat2",0.0011183114766184,"tan"
"G_cluster8_feat15",0.00109500993801748,"turquoise"
"G_cluster8_feat22",0.00107840406847,"grey"
"G_cluster6_feat16",0.00107546424923101,"grey"
"G_cluster1_feat14",0.00105493351584557,"grey"
"G_cluster7_feat5",0.00102230491638437,"grey"
"G_cluster8_feat4",0.00100950429104471,"grey"
"G_cluster1_feat10",0.000999873835712539,"blue"
"G_cluster6_feat8",0.000973009519969285,"grey"
"G_cluster2_feat26",0.000964066969481547,"grey"
"G_cluster6_feat14",0.000961305042651472,"grey"
"G_cluster2_feat51",0.000953946520259837,"blue"
"G_cluster7_feat47",0.000952116302873168,"tan"
"G_cluster8_feat8",0.00087116855457724,"grey"
"G_cluster2_feat68",0.000869194523666028,"blue"
"G_cluster8_feat16",0.000836631301852324,"grey"
"G_cluster7_feat8",0.000821538441892649,"grey"
"G_cluster6_feat7",0.000806765067832118,"grey"
"G_cluster2_feat63",0.000790976664447633,"blue"
"G_cluster6_feat5",0.000732513905595726,"grey"
"G_cluster8_feat13",0.000724665333162907,"grey"
"G_cluster1_feat23",0.000720931010778397,"green"
"G_cluster5_feat46",0.000704475468793802,"salmon"
"G_cluster2_feat69",0.000686914661113558,"blue"
"G_cluster7_feat17",0.000651057769480177,"grey"
"G_cluster5_feat13",0.000645311220651351,"grey"
"G_cluster1_feat7",0.000634948571111833,"grey"
"G_cluster1_feat17",0.000630982235490912,"grey"
"G_cluster2_feat13",0.000629134901313303,"grey"
"G_cluster1_feat22",0.000607641402183172,"grey"
"G_cluster7_feat15",0.000596527935600702,"tan"
"G_cluster1_feat8",0.000553575731532524,"grey"
"G_cluster7_feat14",0.000461504393240865,"grey"
"V_cluster6_feat66",0.000453361445944731,"pink"
"V_cluster6_feat15",0.000413522080631433,"pink"
"G_cluster7_feat7",0.000366266506138014,"grey"
"G_cluster7_feat4",0.000363185382441041,"grey"
"V_cluster5_feat77",0.000287601919390374,"red"
"V_cluster6_feat47",0.000280037720911415,"pink"
"G_cluster6_feat13",0.000204417311279214,"grey"
"Donor_height",-7.37744219182497e-06,"grey"
"V_cluster2_feat24",-0.00018723488315194,"purple"
