"feature_name","variable_importance","module_membership"
"G_cluster6_feat70",0.00791569363898777,"turquoise"
"G_cluster1_feat65",0.00750029080044058,"turquoise"
"G_cluster5_feat54",0.00739508977711423,"yellow"
"G_cluster6_feat74",0.00646413024626588,"turquoise"
"G_cluster6_feat72",0.00602157589432951,"turquoise"
"G_cluster2_feat7",0.00574498879595122,"grey"
"G_cluster1_feat58",0.00556849831888645,"turquoise"
"G_cluster1_feat69",0.00491806740166325,"red"
"G_cluster6_feat75",0.00452390616055573,"turquoise"
"G_cluster2_feat8",0.00451193634632618,"grey"
"G_cluster6_feat73",0.00406312792891749,"turquoise"
"G_cluster1_feat2",0.00403634280058889,"turquoise"
"G_cluster1_feat47",0.00397299642902981,"turquoise"
"G_cluster1_feat53",0.00392582352632727,"turquoise"
"G_cluster8_feat48",0.00372183520816797,"turquoise"
"G_cluster1_feat6",0.00364006004822129,"turquoise"
"G_cluster6_feat14",0.00361226548878035,"grey"
"G_cluster6_feat71",0.00360941333284364,"turquoise"
"G_cluster1_feat9",0.00344818434471963,"turquoise"
"G_cluster6_feat3",0.00313087078631053,"turquoise"
"G_cluster6_feat49",0.00298011668899452,"turquoise"
"G_cluster1_feat66",0.00296998076174728,"turquoise"
"G_cluster6_feat69",0.00276715628038189,"turquoise"
"G_cluster8_feat54",0.00272830748354758,"turquoise"
"G_cluster1_feat67",0.00266949621065388,"turquoise"
"G_cluster6_feat23",0.00258287210436934,"grey"
"G_cluster1_feat72",0.00252477585986185,"red"
"G_cluster6_feat68",0.00251041027686247,"turquoise"
"G_cluster8_feat50",0.00249076336083966,"turquoise"
"G_cluster6_feat59",0.00249023488245538,"turquoise"
"G_cluster8_feat75",0.00243653336170376,"turquoise"
"G_cluster7_feat1",0.00237303806994885,"green"
"G_cluster7_feat47",0.00229107866267919,"green"
"G_cluster6_feat50",0.00227068666515839,"turquoise"
"G_cluster8_feat26",0.0022485016699329,"grey"
"G_cluster6_feat26",0.00223706914216323,"grey"
"G_cluster7_feat2",0.00222233429593313,"green"
"G_cluster6_feat46",0.00219571531509926,"turquoise"
"G_cluster8_feat77",0.0021925565960881,"turquoise"
"G_cluster7_feat52",0.00218934004656403,"green"
"G_cluster1_feat56",0.00211218492439578,"turquoise"
"G_cluster8_feat23",0.00202802409445393,"grey"
"G_cluster1_feat15",0.00194361216059559,"blue"
"G_cluster7_feat66",0.00191380005133275,"green"
"G_cluster8_feat25",0.00191144488278748,"grey"
"G_cluster6_feat21",0.00177860194476136,"turquoise"
"G_cluster1_feat21",0.0017605188594075,"red"
"G_cluster6_feat76",0.0017587482392486,"turquoise"
"G_cluster1_feat14",0.00173172001861761,"grey"
"G_cluster1_feat55",0.00172999365202251,"turquoise"
"G_cluster2_feat19",0.00157158237169212,"blue"
"G_cluster2_feat13",0.00153563189658604,"grey"
"G_cluster7_feat15",0.00147295853098466,"green"
"G_cluster1_feat74",0.00147084693973186,"red"
"G_cluster1_feat12",0.00145400554303517,"blue"
"G_cluster1_feat17",0.00145282848252097,"grey"
"G_cluster6_feat25",0.00144273276570112,"grey"
"G_cluster2_feat51",0.00143039535572694,"blue"
"G_cluster2_feat23",0.00142607508895631,"grey"
"G_cluster2_feat50",0.00139731825134757,"blue"
"G_cluster8_feat5",0.00138993891032662,"grey"
"G_cluster2_feat54",0.00133612847348151,"blue"
"G_cluster6_feat16",0.0013330143448271,"grey"
"G_cluster2_feat49",0.00130277257525598,"blue"
"G_cluster6_feat7",0.00128736861354891,"grey"
"G_cluster5_feat55",0.0012794456082524,"yellow"
"G_cluster2_feat68",0.00127162613368833,"blue"
"G_cluster8_feat4",0.00126224301599454,"grey"
"G_cluster8_feat22",0.0012265828069068,"grey"
"G_cluster7_feat9",0.00121868661277116,"green"
"G_cluster7_feat67",0.00116797986577596,"green"
"G_cluster7_feat14",0.00114049267861728,"grey"
"G_cluster2_feat59",0.00111378617868439,"blue"
"G_cluster6_feat17",0.00108542086270503,"grey"
"G_cluster1_feat60",0.00108232012543476,"blue"
"G_cluster2_feat63",0.000982706057354139,"blue"
"G_cluster7_feat11",0.000960555038041631,"green"
"G_cluster7_feat48",0.000938346866412267,"green"
"G_cluster7_feat7",0.000913474745279461,"grey"
"G_cluster2_feat69",0.000899573444519345,"blue"
"G_cluster7_feat8",0.000753025808718489,"grey"
"G_cluster7_feat6",0.000708676079165141,"green"
"G_cluster2_feat25",0.00063204658712685,"grey"
"G_cluster1_feat11",0.000566980498554541,"blue"
"G_cluster2_feat53",0.000561827943470033,"blue"
"G_cluster7_feat51",0.000504196648711411,"green"
"G_cluster3_feat46",0.000426607936782735,"brown"
"G_cluster5_feat48",0.000417153862923595,"yellow"
"G_cluster3_feat54",0.000378038880306604,"brown"
"G_cluster5_feat9",0.000266980932218996,"yellow"
"G_cluster5_feat49",0.000264690427037821,"yellow"
"G_cluster5_feat46",4.4866411994214e-05,"yellow"
"G_cluster3_feat65",4.17413177274184e-05,"brown"
"G_cluster3_feat47",3.48107719649223e-05,"brown"
"G_cluster3_feat53",2.79722086698831e-05,"brown"
"G_cluster3_feat56",0,"brown"
"G_cluster3_feat49",-6.92041522491375e-07,"brown"
"G_cluster3_feat1",-3.80978592069829e-06,"brown"
"G_cluster5_feat71",-3.25271720533157e-05,"yellow"
"G_cluster5_feat47",-7.23379093203228e-05,"yellow"
