"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.0129170031766392,"turquoise"
"T_cluster6_feat51",0.00866506207562039,"turquoise"
"T_cluster6_feat75",0.00642027068558058,"turquoise"
"T_cluster6_feat17",0.00641210323898521,"grey"
"T_cluster8_feat49",0.00604679127472152,"turquoise"
"T_cluster8_feat75",0.00535018361155708,"turquoise"
"T_cluster8_feat76",0.00529298400832774,"turquoise"
"T_cluster8_feat17",0.00525690702683077,"grey"
"T_cluster4_feat17",0.00519273250315569,"grey"
"T_cluster6_feat66",0.00508871941160005,"turquoise"
"T_cluster8_feat66",0.00499100720161188,"turquoise"
"T_cluster6_feat77",0.00495293145838921,"turquoise"
"T_cluster8_feat70",0.00493441502793999,"turquoise"
"A_cluster2_feat71",0.00454429437216098,"turquoise"
"T_cluster6_feat76",0.00448503517819114,"turquoise"
"T_cluster4_feat52",0.00446123921160864,"turquoise"
"T_cluster8_feat14",0.004238613096951,"grey"
"A_cluster2_feat23",0.00422303862212957,"grey"
"T_cluster6_feat19",0.00419123360269157,"turquoise"
"T_cluster6_feat54",0.00399477209220146,"darkred"
"T_cluster4_feat65",0.00392827130589522,"turquoise"
"T_cluster6_feat53",0.00390536636952088,"turquoise"
"T_cluster8_feat25",0.00389407201204471,"grey"
"T_cluster4_feat14",0.00385433351548681,"grey"
"T_cluster6_feat48",0.00383123587781128,"turquoise"
"T_cluster4_feat48",0.0038299519637165,"turquoise"
"A_cluster2_feat26",0.00382762818342311,"grey"
"T_cluster4_feat51",0.00373386720448753,"darkred"
"T_cluster4_feat53",0.00349851125812435,"darkred"
"T_cluster8_feat65",0.00345831236153852,"turquoise"
"A_cluster2_feat68",0.0034559729997744,"turquoise"
"A_cluster2_feat76",0.00338883739593427,"turquoise"
"T_cluster8_feat55",0.00333916900210076,"turquoise"
"T_cluster4_feat75",0.00328109974703638,"turquoise"
"T_cluster5_feat16",0.00324352955158368,"grey"
"A_cluster2_feat73",0.00320449328664792,"turquoise"
"T_cluster4_feat62",0.00318935205089034,"darkred"
"T_cluster8_feat63",0.00305200284875402,"turquoise"
"A_cluster2_feat64",0.00304536942740193,"turquoise"
"T_cluster4_feat46",0.00303058519871506,"darkred"
"T_cluster5_feat21",0.00297751273289095,"lightgreen"
"T_cluster8_feat48",0.00292584858414578,"turquoise"
"A_cluster2_feat58",0.00288460525554744,"grey"
"A_cluster5_feat21",0.00286625365689545,"tan"
"T_cluster8_feat15",0.00277312202715278,"royalblue"
"T_cluster4_feat60",0.00272484543247187,"royalblue"
"T_cluster4_feat76",0.00270080514759809,"turquoise"
"T_cluster5_feat58",0.00269547152551019,"grey"
"T_cluster4_feat13",0.00266899691341566,"grey"
"T_cluster8_feat4",0.00266227638657828,"grey"
"T_cluster8_feat67",0.00261383989052609,"turquoise"
"T_cluster6_feat14",0.00258858882306602,"grey"
"T_cluster6_feat4",0.00249399801389876,"grey"
"T_cluster8_feat50",0.00245633961063122,"turquoise"
"A_cluster2_feat74",0.00244547738236899,"yellow"
"T_cluster8_feat22",0.00243182703253533,"grey"
"T_cluster4_feat20",0.00234753550981053,"turquoise"
"A_cluster2_feat75",0.00231328477546353,"yellow"
"T_cluster6_feat47",0.00227306982588629,"turquoise"
"A_cluster2_feat16",0.00218460161276252,"grey"
"T_cluster6_feat58",0.00217200280089252,"grey"
"T_cluster5_feat67",0.00213946381621504,"lightgreen"
"T_cluster8_feat5",0.00209955453007442,"grey"
"T_cluster6_feat52",0.00208116417024426,"turquoise"
"T_cluster8_feat8",0.00205301254287653,"grey"
"T_cluster5_feat59",0.00201544818800487,"darkturquoise"
"A_cluster5_feat63",0.00200928506754981,"tan"
"T_cluster6_feat25",0.0019981339726174,"grey"
"T_cluster8_feat13",0.00199403928647795,"grey"
"A_cluster2_feat22",0.00197859838765188,"grey"
"T_cluster4_feat25",0.00194488163027751,"grey"
"T_cluster4_feat11",0.00193172239910627,"royalblue"
"A_cluster2_feat4",0.00187470968821315,"grey"
"T_cluster5_feat77",0.00184157740916034,"lightgreen"
"T_cluster4_feat22",0.00183003051666188,"grey"
"T_cluster5_feat66",0.0018299322026977,"lightgreen"
"T_cluster6_feat13",0.00182150852694506,"grey"
"A_cluster2_feat13",0.00177968300200086,"grey"
"T_cluster6_feat26",0.00175211963966772,"grey"
"T_cluster8_feat23",0.00173598266199234,"grey"
"T_cluster6_feat5",0.00172167551990376,"grey"
"T_cluster4_feat16",0.0017000277387376,"grey"
"T_cluster8_feat19",0.00163093215624993,"turquoise"
"T_cluster8_feat58",0.00160647282322594,"grey"
"T_cluster6_feat22",0.00156919640387078,"grey"
"A_cluster2_feat5",0.00155748573562906,"grey"
"T_cluster4_feat26",0.00155493696199213,"grey"
"A_cluster2_feat7",0.00149362994075812,"grey"
"T_cluster4_feat5",0.00146473240639812,"grey"
"T_cluster4_feat15",0.00145708414545886,"royalblue"
"T_cluster4_feat8",0.00145566435645944,"grey"
"T_cluster6_feat16",0.00144617440439026,"grey"
"T_cluster4_feat23",0.00144121677932912,"grey"
"T_cluster4_feat27",0.00143786364028039,"turquoise"
"T_cluster8_feat7",0.00126553831270867,"grey"
"T_cluster5_feat68",0.00113851799242386,"darkturquoise"
"A_cluster2_feat25",0.00108831689103238,"grey"
"T_cluster5_feat25",0.00107995937992897,"grey"
"T_cluster8_feat16",0.000887023057998797,"grey"
"T_cluster6_feat23",0.000471371245729308,"grey"
