"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.0216040676784741,"turquoise"
"T_cluster8_feat66",0.01002467514056,"turquoise"
"T_cluster6_feat48",0.00802262642533091,"turquoise"
"T_cluster6_feat77",0.00793034870772234,"turquoise"
"T_cluster8_feat76",0.00719215190604785,"turquoise"
"T_cluster8_feat65",0.00696335768096558,"turquoise"
"T_cluster8_feat49",0.00693989222356575,"turquoise"
"T_cluster6_feat51",0.00672931493226922,"turquoise"
"T_cluster4_feat65",0.0066551997538999,"turquoise"
"T_cluster6_feat76",0.00626729181812834,"turquoise"
"T_cluster8_feat75",0.00616683582949918,"turquoise"
"T_cluster4_feat66",0.00559486045492022,"turquoise"
"T_cluster6_feat75",0.00534089590018163,"turquoise"
"T_cluster8_feat48",0.00503768205611475,"turquoise"
"T_cluster6_feat66",0.00462944902404586,"turquoise"
"T_cluster4_feat76",0.00443073511282658,"turquoise"
"T_cluster4_feat52",0.00436773633753474,"turquoise"
"T_cluster8_feat22",0.00430319300882589,"grey"
"T_cluster4_feat60",0.00411322960378838,"midnightblue"
"T_cluster8_feat25",0.00406002684226169,"grey"
"T_cluster6_feat17",0.00397798022226827,"grey"
"T_cluster6_feat65",0.00391948977321501,"turquoise"
"T_cluster4_feat54",0.00382202186940738,"turquoise"
"T_cluster4_feat75",0.00375808842705967,"turquoise"
"T_cluster8_feat46",0.00374313968852494,"turquoise"
"T_cluster4_feat53",0.00368328362022464,"turquoise"
"T_cluster6_feat67",0.00352605857474083,"turquoise"
"T_cluster8_feat17",0.00348613873906044,"grey"
"T_cluster5_feat16",0.00342619505397133,"grey"
"T_cluster8_feat4",0.00342226997996238,"grey"
"T_cluster6_feat11",0.00336907463715044,"midnightblue"
"T_cluster6_feat15",0.00303888567163705,"midnightblue"
"T_cluster4_feat51",0.0030113846166589,"turquoise"
"T_cluster6_feat27",0.00297481189600609,"turquoise"
"T_cluster5_feat21",0.00289115572752855,"tan"
"T_cluster4_feat24",0.0028794379028204,"turquoise"
"T_cluster8_feat14",0.00277700991562297,"grey"
"T_cluster8_feat15",0.00276320915644519,"midnightblue"
"T_cluster4_feat11",0.00271842794344713,"midnightblue"
"T_cluster6_feat56",0.00268427468184418,"turquoise"
"T_cluster8_feat13",0.00266395822670372,"grey"
"T_cluster4_feat17",0.00262815450973163,"grey"
"T_cluster8_feat11",0.00261410974407315,"midnightblue"
"T_cluster6_feat14",0.00254296933113106,"grey"
"T_cluster4_feat21",0.00236294277424208,"turquoise"
"T_cluster4_feat13",0.00222644394595682,"grey"
"T_cluster6_feat22",0.00219513056731827,"grey"
"T_cluster4_feat5",0.00218771948037305,"grey"
"T_cluster4_feat22",0.00218577014400188,"grey"
"T_cluster5_feat66",0.00217185255789152,"tan"
"T_cluster6_feat4",0.00216325609666694,"grey"
"T_cluster6_feat5",0.00214952989925331,"grey"
"T_cluster8_feat16",0.00212531531705147,"grey"
"T_cluster8_feat5",0.00207968799099249,"grey"
"T_cluster6_feat13",0.00207022728255642,"grey"
"T_cluster4_feat50",0.00204813762241527,"turquoise"
"T_cluster4_feat26",0.00202843692822703,"grey"
"T_cluster6_feat62",0.00202105874320455,"turquoise"
"T_cluster8_feat7",0.0020017804924426,"grey"
"T_cluster4_feat15",0.00195011689797869,"midnightblue"
"T_cluster6_feat8",0.00192264064223447,"grey"
"T_cluster6_feat25",0.0019092442800878,"grey"
"T_cluster5_feat20",0.00189560797367445,"tan"
"T_cluster6_feat23",0.00181646778554062,"grey"
"T_cluster4_feat23",0.00178867861109114,"grey"
"T_cluster6_feat7",0.00178391177844737,"grey"
"T_cluster4_feat16",0.00177086332047883,"grey"
"T_cluster5_feat58",0.00172831628392133,"tan"
"T_cluster6_feat16",0.00172785120639371,"grey"
"T_cluster6_feat26",0.00169486668486245,"grey"
"T_cluster4_feat8",0.00161043291266849,"grey"
"T_cluster5_feat13",0.00159948380923816,"grey"
"T_cluster4_feat14",0.00145050517770175,"grey"
"T_cluster8_feat26",0.0013730987264385,"grey"
"T_cluster5_feat53",0.00133133339777113,"tan"
"T_cluster5_feat73",0.00129631648792445,"lightgreen"
"T_cluster4_feat25",0.00127240048143387,"grey"
"T_cluster4_feat4",0.00124688563618116,"grey"
"T_cluster5_feat14",0.0012364467756554,"grey"
"T_cluster5_feat51",0.00119961788483308,"tan"
"T_cluster5_feat67",0.00119375298656179,"tan"
"T_cluster5_feat7",0.00118132428967025,"grey"
"T_cluster5_feat24",0.00105956724021417,"tan"
"T_cluster8_feat8",0.000982874456589664,"grey"
"T_cluster5_feat77",0.000955042763223687,"tan"
"T_cluster5_feat69",0.000857892293419964,"lightgreen"
"T_cluster5_feat8",0.000810928932565841,"grey"
"V_cluster5_feat60",0.000798807400643688,"red"
"T_cluster5_feat25",0.000719241041423265,"grey"
"T_cluster5_feat17",0.000642639290914416,"grey"
"V_cluster6_feat18",0.000484038523969308,"yellow"
"V_cluster6_feat66",0.000384213734834008,"yellow"
"T_cluster5_feat22",0.000312425002941039,"grey"
"V_cluster6_feat9",0.000226648656964293,"yellow"
"V_cluster3_feat50",0.0001955906783981,"brown"
"V_cluster6_feat67",0.000153896559347246,"yellow"
"T_cluster3_feat2",0.000147431398055424,"salmon"
"V_cluster2_feat73",9.60378029973507e-05,"blue"
"V_cluster5_feat57",8.52829287123244e-05,"red"
"V_cluster2_feat68",0,"blue"
