"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.0199095169375563,"turquoise"
"T_cluster8_feat66",0.00927248425624779,"turquoise"
"T_cluster8_feat75",0.00784811166275508,"turquoise"
"T_cluster6_feat48",0.00711610141460826,"turquoise"
"T_cluster6_feat75",0.00707776033669731,"turquoise"
"T_cluster6_feat51",0.00675394716498532,"turquoise"
"T_cluster4_feat52",0.00618560414628078,"turquoise"
"T_cluster6_feat76",0.00594647993515497,"turquoise"
"T_cluster8_feat48",0.00562561678842026,"turquoise"
"T_cluster4_feat76",0.00550121737105239,"turquoise"
"T_cluster4_feat65",0.00545341796870357,"turquoise"
"T_cluster4_feat51",0.00542028021091614,"turquoise"
"T_cluster6_feat77",0.00537287541719408,"turquoise"
"T_cluster6_feat66",0.00523969072042329,"turquoise"
"T_cluster8_feat65",0.00521567807825868,"turquoise"
"T_cluster4_feat66",0.00507131219173505,"turquoise"
"T_cluster8_feat76",0.00482035076450513,"turquoise"
"T_cluster4_feat60",0.00464631701549022,"black"
"T_cluster8_feat49",0.00438278146239014,"turquoise"
"T_cluster5_feat16",0.00429749407392668,"grey"
"T_cluster8_feat25",0.00424667061654318,"grey"
"T_cluster4_feat54",0.004142195513674,"turquoise"
"T_cluster4_feat75",0.00414044954592136,"turquoise"
"T_cluster8_feat46",0.0040494238772888,"turquoise"
"T_cluster8_feat17",0.00400340937424315,"grey"
"T_cluster6_feat14",0.00393990898945638,"grey"
"T_cluster4_feat53",0.00388936799227847,"turquoise"
"T_cluster5_feat66",0.00384229911738551,"yellow"
"T_cluster6_feat13",0.00374396469762396,"grey"
"T_cluster6_feat4",0.00372546254576009,"grey"
"T_cluster4_feat62",0.00369770263072906,"turquoise"
"T_cluster8_feat5",0.00368078387348965,"grey"
"T_cluster5_feat58",0.00358849138493447,"yellow"
"T_cluster8_feat22",0.00358428607838571,"grey"
"T_cluster6_feat67",0.00348365764412491,"turquoise"
"T_cluster6_feat54",0.00347191936725414,"turquoise"
"T_cluster5_feat65",0.00336616195876703,"yellow"
"T_cluster4_feat14",0.00333511964685332,"grey"
"T_cluster5_feat21",0.0032872226075517,"yellow"
"T_cluster6_feat17",0.00307179011226482,"grey"
"T_cluster8_feat63",0.00299482945780095,"turquoise"
"T_cluster8_feat13",0.00295287976039562,"grey"
"T_cluster4_feat17",0.00291104520694816,"grey"
"T_cluster8_feat4",0.00268325839525748,"grey"
"T_cluster6_feat11",0.00267530111508527,"black"
"T_cluster5_feat73",0.00264093314433807,"purple"
"T_cluster8_feat14",0.00260602835259447,"grey"
"T_cluster4_feat22",0.00241472145037507,"grey"
"T_cluster4_feat46",0.00235904536150802,"turquoise"
"T_cluster6_feat25",0.00228756391220185,"grey"
"T_cluster4_feat27",0.00221730277566214,"turquoise"
"T_cluster8_feat15",0.00217325589211613,"black"
"T_cluster4_feat18",0.00215319882224791,"black"
"T_cluster8_feat51",0.00205919441247837,"turquoise"
"T_cluster5_feat68",0.0020220403772079,"purple"
"T_cluster4_feat26",0.00199525513630208,"grey"
"T_cluster6_feat16",0.00194054014413742,"grey"
"T_cluster8_feat11",0.00192540003488076,"black"
"T_cluster5_feat69",0.00191717219806831,"purple"
"T_cluster6_feat5",0.0019141887337146,"grey"
"T_cluster5_feat20",0.00190435802591649,"yellow"
"T_cluster6_feat46",0.00186620670943076,"turquoise"
"T_cluster4_feat16",0.00178107682229187,"grey"
"T_cluster8_feat16",0.00171920876792305,"grey"
"T_cluster4_feat10",0.00154718588072277,"black"
"T_cluster6_feat8",0.0015374059938018,"grey"
"T_cluster6_feat22",0.00144647894074417,"grey"
"T_cluster5_feat77",0.0014325312040721,"yellow"
"T_cluster5_feat67",0.0014249411594081,"yellow"
"T_cluster8_feat26",0.00137454529919754,"grey"
"T_cluster6_feat26",0.00136402479069993,"grey"
"T_cluster4_feat15",0.0013104106635134,"black"
"T_cluster5_feat24",0.0012527756262137,"yellow"
"T_cluster5_feat59",0.00103217120915625,"purple"
"T_cluster5_feat17",0.000976354392680561,"grey"
"T_cluster6_feat23",0.0007861309248296,"grey"
"T_cluster4_feat25",0.000708223609916381,"grey"
"T_cluster5_feat51",0.000654811961400459,"yellow"
"T_cluster3_feat76",0.000472638000297292,"green"
"T_cluster3_feat61",0.000320215419011502,"magenta"
"T_cluster3_feat9",0.000318891345589009,"green"
"T_cluster3_feat48",0.000301381715406106,"green"
"T_cluster3_feat6",0.000299456265698749,"green"
"T_cluster3_feat67",0.00022674396744254,"green"
"T_cluster3_feat74",0.000178437448324589,"green"
"T_cluster3_feat11",0.000123865379913198,"magenta"
"T_cluster3_feat1",0.000110613913661662,"green"
"T_cluster3_feat3",7.81646811127062e-05,"magenta"
"T_cluster3_feat2",4.98537449601357e-05,"green"
"T_cluster1_feat76",0,"blue"
"T_cluster1_feat77",0,"brown"
"T_cluster7_feat2",0,"brown"
"T_cluster7_feat3",0,"brown"
"T_cluster2_feat70",-8.26400128725704e-06,"red"
"T_cluster2_feat74",-5.73040559924129e-05,"pink"
"T_cluster2_feat60",-7.53759159397635e-05,"pink"
"T_cluster1_feat20",-0.000164679444588229,"blue"
"T_cluster1_feat50",-0.000264059106793697,"blue"
"T_cluster2_feat72",-0.000359198745637838,"pink"
"T_cluster1_feat67",-0.000435395465827062,"blue"
