"feature_name","variable_importance","module_membership"
"V_cluster6_feat18",0.0111845593279973,"blue"
"V_cluster6_feat48",0.00741546424997624,"blue"
"V_cluster6_feat17",0.00564380917496936,"grey"
"Donor_final_creatinine",0.00532191654371044,"grey"
"V_cluster5_feat67",0.0041315647210158,"brown"
"V_cluster5_feat63",0.00391584855764621,"brown"
"V_cluster6_feat22",0.00368865423232641,"grey"
"V_cluster6_feat1",0.0035845634826284,"blue"
"Donor_Hypertension_History",0.00347324082748933,"grey"
"V_cluster5_feat58",0.00344428148840862,"brown"
"V_cluster6_feat12",0.00318207802969038,"blue"
"V_cluster5_feat70",0.00316479369932816,"turquoise"
"V_cluster6_feat47",0.00309657626876937,"blue"
"V_cluster6_feat58",0.00303326975126343,"blue"
"V_cluster6_feat16",0.00298629702702081,"grey"
"V_cluster6_feat25",0.00285331313340884,"grey"
"V_cluster6_feat15",0.00281904496419824,"blue"
"V_cluster5_feat10",0.00275324657509152,"brown"
"V_cluster5_feat6",0.00262755707513681,"brown"
"V_cluster5_feat60",0.00256988122798037,"brown"
"V_cluster6_feat4",0.00241387155750812,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",0.00239324271200921,"grey"
"V_cluster5_feat77",0.002377086400741,"brown"
"V_cluster6_feat67",0.00230490892077156,"blue"
"V_cluster6_feat66",0.00228625508895865,"blue"
"V_cluster6_feat49",0.00217094396954031,"blue"
"V_cluster6_feat2",0.00216984622053169,"blue"
"V_cluster5_feat7",0.00200848961144022,"grey"
"V_cluster6_feat5",0.00173545181737714,"grey"
"V_cluster5_feat57",0.00171130115242129,"brown"
"V_cluster6_feat8",0.00169304103653182,"grey"
"V_cluster6_feat6",0.00163076434535447,"blue"
"V_cluster5_feat26",0.00151329223829444,"grey"
"V_cluster6_feat7",0.00149237937962672,"grey"
"V_cluster6_feat14",0.00147617134722502,"grey"
"V_cluster6_feat13",0.00147574574428494,"grey"
"V_cluster5_feat55",0.00137064136165241,"brown"
"Donor_Sex_0_Male_1_Female",0.0012993169111516,"grey"
"V_cluster5_feat5",0.00129719208916156,"grey"
"V_cluster5_feat8",0.00125270240031318,"grey"
"V_cluster6_feat23",0.00124969674919276,"grey"
"V_cluster5_feat66",0.00124350718643004,"brown"
"V_cluster5_feat16",0.00110752599645406,"grey"
"V_cluster5_feat65",0.000981838117268541,"brown"
"V_cluster5_feat13",0.000730252912535922,"grey"
"V_cluster2_feat46",0.000581325882229654,"black"
"V_cluster5_feat25",0.000580106720433609,"grey"
"V_cluster2_feat22",0.000531421625340451,"grey"
"V_cluster2_feat3",0.00049127464612393,"black"
"V_cluster2_feat20",0.000369674033113645,"black"
"V_cluster2_feat24",0.000247770829263815,"black"
"V_cluster3_feat21",0.000190228029063681,"turquoise"
"V_cluster2_feat25",0.000168356429896546,"grey"
"V_cluster3_feat57",0.00014918802357808,"turquoise"
"V_cluster3_feat10",0.000119924003403053,"turquoise"
"V_cluster2_feat56",0.000102142991352968,"black"
"V_cluster1_feat71",0.000100389813388499,"yellow"
"V_cluster3_feat69",8.84569860905233e-05,"turquoise"
"V_cluster2_feat63",7.05798520632975e-05,"black"
"V_cluster7_feat62",4.19536173762627e-05,"green"
"V_cluster1_feat60",2.7894489138304e-05,"yellow"
"V_cluster1_feat58",1.80790986144882e-05,"yellow"
"V_cluster8_feat2",1.3334879406308e-05,"red"
"V_cluster8_feat24",7.83475783475779e-06,"red"
"V_cluster8_feat69",4.45009535918627e-06,"red"
"V_cluster2_feat54",3.75595595759117e-06,"black"
"V_cluster4_feat1",0,"pink"
"V_cluster4_feat2",0,"pink"
"V_cluster4_feat3",0,"pink"
"V_cluster4_feat6",0,"pink"
"V_cluster4_feat9",0,"pink"
"V_cluster4_feat10",0,"pink"
"V_cluster4_feat11",0,"pink"
"V_cluster4_feat12",0,"pink"
"V_cluster4_feat15",0,"pink"
"V_cluster4_feat18",0,"pink"
"V_cluster4_feat19",0,"pink"
"V_cluster4_feat20",0,"pink"
"V_cluster8_feat11",0,"red"
"V_cluster8_feat19",0,"red"
"V_cluster8_feat21",0,"red"
"V_cluster8_feat46",0,"red"
"V_cluster8_feat55",0,"red"
"V_cluster8_feat70",0,"red"
"V_cluster8_feat72",-2.29318838117887e-06,"red"
"V_cluster8_feat68",-1.01836471022517e-05,"red"
"V_cluster3_feat11",-2.61911786361366e-05,"turquoise"
"V_cluster2_feat21",-2.76478976061128e-05,"black"
"V_cluster3_feat56",-3.87145270267399e-05,"turquoise"
"V_cluster1_feat75",-3.99015206537173e-05,"yellow"
"V_cluster1_feat64",-4.13633393674453e-05,"yellow"
"V_cluster1_feat59",-4.98416176972756e-05,"yellow"
"V_cluster7_feat12",-0.000101525972741398,"green"
"V_cluster3_feat6",-0.000103215316504148,"turquoise"
"V_cluster7_feat66",-0.000110063562623709,"green"
"V_cluster7_feat50",-0.000134344612544005,"green"
"V_cluster3_feat3",-0.000138204917040813,"turquoise"
"V_cluster7_feat46",-0.000222249718992388,"green"
"V_cluster1_feat76",-0.000227702579088772,"yellow"
"V_cluster1_feat18",-0.00024560737489924,"yellow"
