"feature_name","variable_importance","module_membership"
"arteries_hc1_feat53",0.00981239434137503,"pink"
"scl_gloms_hc1_feat17",0.00776767340549003,"grey"
"arteries_hc1_feat25",0.00692975205286684,"grey"
"arteries_hc1_feat48",0.00644635894375586,"turquoise"
"arteries_hc1_feat24",0.00617590166711219,"pink"
"arteries_hc1_feat20",0.00607243884712726,"pink"
"arteries_hc1_feat49",0.00547912824011574,"turquoise"
"arteries_hc1_feat1",0.00537590334992111,"turquoise"
"arteries_hc1_feat52",0.00523716721664632,"turquoise"
"arteries_hc2_feat10",0.00510570265076367,"turquoise"
"arteries_hc1_feat22",0.00493878537790629,"grey"
"arteries_hc1_feat6",0.00466195868214047,"turquoise"
"scl_gloms_hc1_feat54",0.00420664986827037,"yellow"
"arteries_hc1_feat23",0.0041627769665558,"grey"
"arteries_hc2_feat12",0.00370238207828289,"green"
"arteries_hc2_feat26",0.0036931542900735,"grey"
"arteries_hc3_feat16",0.00345029518684595,"grey"
"arteries_hc1_feat8",0.00335003452930768,"grey"
"arteries_hc3_feat23",0.00332704781277055,"grey"
"scl_gloms_hc1_feat5",0.00324294682853841,"grey"
"arteries_hc1_feat9",0.00307139609721579,"turquoise"
"arteries_hc2_feat50",0.00293979430848524,"green"
"arteries_hc1_feat2",0.002905587731687,"turquoise"
"arteries_hc1_feat54",0.0028150033015306,"pink"
"arteries_hc2_feat54",0.00273688422316936,"green"
"arteries_hc2_feat56",0.00272124550822706,"green"
"arteries_hc2_feat46",0.00249497764544165,"green"
"arteries_hc2_feat17",0.00240759807470595,"grey"
"scl_gloms_hc1_feat14",0.00229593431626929,"grey"
"arteries_hc2_feat23",0.00228183859078953,"grey"
"scl_gloms_hc2_feat52",0.00216697212153107,"blue"
"arteries_hc1_feat4",0.00208971917197417,"grey"
"arteries_hc3_feat1",0.00198829843722845,"turquoise"
"arteries_hc2_feat18",0.00192548554126157,"turquoise"
"arteries_hc3_feat2",0.00191992521437635,"turquoise"
"scl_gloms_hc1_feat16",0.00191122449617768,"grey"
"scl_gloms_hc1_feat6",0.00189213726354859,"yellow"
"arteries_hc2_feat14",0.00187910283959501,"grey"
"arteries_hc1_feat13",0.00186796636216715,"grey"
"arteries_hc2_feat8",0.00183702740586151,"grey"
"arteries_hc3_feat3",0.00182698836593134,"magenta"
"scl_gloms_hc1_feat1",0.00181629133040504,"yellow"
"scl_gloms_hc2_feat56",0.0017697685447832,"brown"
"arteries_hc4_feat18",0.00175430041839293,"turquoise"
"arteries_hc4_feat52",0.00170361922073727,"grey"
"arteries_hc3_feat26",0.00166169726334025,"grey"
"arteries_hc4_feat20",0.00162647567888284,"black"
"scl_gloms_hc1_feat2",0.00162199244212685,"yellow"
"arteries_hc2_feat7",0.00158838104238929,"grey"
"scl_gloms_hc1_feat27",0.00158817540898331,"yellow"
"arteries_hc2_feat5",0.00154885720031165,"grey"
"scl_gloms_hc2_feat51",0.00133521030969036,"brown"
"scl_gloms_hc1_feat13",0.00130476779180689,"grey"
"arteries_hc4_feat50",0.00119686460204247,"black"
"arteries_hc1_feat14",0.0011848383355769,"grey"
"arteries_hc4_feat24",0.00115453292197152,"black"
"scl_gloms_hc1_feat9",0.00114876918332645,"yellow"
"arteries_hc1_feat26",0.00104098218524206,"grey"
"scl_gloms_hc2_feat57",0.00102680492624922,"brown"
"arteries_hc1_feat16",0.000980217278053869,"grey"
"arteries_hc2_feat25",0.000966941684622063,"grey"
"scl_gloms_hc3_feat10",0.000939280304793157,"purple"
"arteries_hc4_feat19",0.00092978845331433,"black"
"arteries_hc3_feat12",0.000904003244515799,"magenta"
"scl_gloms_hc2_feat48",0.000895817609026629,"brown"
"scl_gloms_hc2_feat53",0.000866114906622442,"brown"
"arteries_hc3_feat51",0.000838392235796454,"magenta"
"arteries_hc2_feat4",0.000762084888901177,"grey"
"scl_gloms_hc2_feat26",0.000761466783941537,"grey"
"scl_gloms_hc2_feat3",0.00074326548916769,"brown"
"scl_gloms_hc3_feat11",0.000678428436334546,"purple"
"arteries_hc2_feat21",0.000638744435013434,"green"
"scl_gloms_hc1_feat49",0.000623261195769322,"yellow"
"scl_gloms_hc2_feat1",0.000575359034428215,"brown"
"scl_gloms_hc2_feat49",0.000550321817480391,"brown"
"scl_gloms_hc3_feat15",0.000437152592481368,"purple"
"scl_gloms_hc3_feat12",0.000435037360852516,"red"
"scl_gloms_hc4_feat18",0.000373644618005778,"blue"
"scl_gloms_hc3_feat54",0.000357958800514535,"red"
"scl_gloms_hc4_feat11",0.000307503659968936,"blue"
"scl_gloms_hc3_feat56",0.000149547450404706,"red"
"arteries_hc3_feat46",0.00014482504163201,"magenta"
"scl_gloms_hc4_feat10",6.42601604091532e-06,"blue"
