"feature_name","variable_importance","module_membership"
"arteries_hc1_feat49",0.0125451531957569,"turquoise"
"arteries_hc1_feat25",0.0122400657769041,"grey"
"arteries_hc1_feat24",0.0105799522490246,"yellow"
"arteries_hc1_feat22",0.0104787334269408,"grey"
"arteries_hc1_feat20",0.0101962477334297,"yellow"
"arteries_hc1_feat48",0.00988590681908901,"turquoise"
"arteries_hc1_feat2",0.00685690735008175,"turquoise"
"arteries_hc1_feat52",0.00673025968565103,"turquoise"
"arteries_hc1_feat6",0.00668938293083417,"turquoise"
"arteries_hc2_feat6",0.00655394059259617,"turquoise"
"arteries_hc1_feat1",0.00629287030933853,"turquoise"
"arteries_hc2_feat56",0.00621984295020906,"blue"
"arteries_hc1_feat9",0.00538935007211199,"turquoise"
"arteries_hc2_feat26",0.00534661010431825,"grey"
"arteries_hc3_feat1",0.0053133352763181,"turquoise"
"arteries_hc2_feat46",0.00525716244237735,"blue"
"arteries_hc1_feat3",0.00522223434051963,"yellow"
"arteries_hc2_feat23",0.00513903107828534,"grey"
"arteries_hc1_feat54",0.00490671396562939,"yellow"
"arteries_hc2_feat52",0.00490166580354909,"grey"
"arteries_hc3_feat6",0.00488229687969386,"turquoise"
"arteries_hc2_feat16",0.00486264095055684,"grey"
"arteries_hc3_feat2",0.00481630826405421,"turquoise"
"arteries_hc1_feat14",0.00465845444873604,"grey"
"arteries_hc1_feat5",0.00463972497965496,"grey"
"arteries_hc2_feat12",0.00456035749206291,"blue"
"arteries_hc2_feat55",0.00452547443544025,"blue"
"arteries_hc1_feat23",0.00419150188108425,"grey"
"arteries_hc2_feat50",0.00408904064044246,"blue"
"arteries_hc2_feat14",0.0040860161314337,"grey"
"arteries_hc2_feat7",0.00405998060149632,"grey"
"arteries_hc1_feat8",0.00400976274443561,"grey"
"arteries_hc1_feat26",0.00392298086410976,"grey"
"arteries_hc4_feat55",0.00362560597608243,"brown"
"arteries_hc4_feat21",0.00338434855675257,"brown"
"arteries_hc4_feat20",0.00337615236076812,"brown"
"arteries_hc2_feat5",0.00298039310340535,"grey"
"arteries_hc4_feat24",0.00280728012092866,"brown"
"arteries_hc2_feat21",0.00243106444905642,"blue"
"arteries_hc3_feat3",0.00179650263394877,"green"
"arteries_hc2_feat22",0.00177440090336821,"grey"
"arteries_hc3_feat50",0.00117123953183585,"green"
