"feature_name","variable_importance","module_membership"
"arteries_hc1_feat53",0.0072219137941843,"tan"
"glomeruli_hc3_feat47",0.0066169540045388,"turquoise"
"glomeruli_hc2_feat4",0.00603483837143441,"grey"
"arteries_hc1_feat25",0.00551661925863441,"grey"
"glomeruli_hc2_feat26",0.00527524213532231,"grey"
"glomeruli_hc1_feat25",0.00513649989538525,"grey"
"glomeruli_hc2_feat5",0.00451854324433058,"grey"
"glomeruli_hc2_feat23",0.00439062462291103,"grey"
"arteries_hc1_feat24",0.00414453252971437,"tan"
"arteries_hc1_feat49",0.00411310748734318,"turquoise"
"arteries_hc1_feat20",0.00399042517560474,"tan"
"glomeruli_hc2_feat8",0.00372248179358022,"grey"
"glomeruli_hc4_feat54",0.0037012172477438,"red"
"arteries_hc1_feat48",0.003474298403685,"turquoise"
"arteries_hc1_feat1",0.00346691806524211,"turquoise"
"glomeruli_hc3_feat50",0.00343149751037801,"green"
"glomeruli_hc2_feat13",0.00342178076500024,"grey"
"glomeruli_hc3_feat49",0.0033826763504938,"green"
"arteries_hc1_feat52",0.00328863330054072,"turquoise"
"glomeruli_hc1_feat47",0.00319448676207135,"turquoise"
"glomeruli_hc2_feat7",0.00293720852032289,"grey"
"glomeruli_hc2_feat47",0.00284419651709052,"turquoise"
"glomeruli_hc3_feat52",0.00268489933004216,"grey"
"arteries_hc1_feat54",0.00263880690062844,"tan"
"glomeruli_hc3_feat22",0.0025923835635201,"grey"
"glomeruli_hc2_feat53",0.00255645164407105,"greenyellow"
"arteries_hc2_feat10",0.00251072105797425,"turquoise"
"glomeruli_hc3_feat19",0.00250098269781795,"green"
"glomeruli_hc2_feat14",0.00248276028324277,"grey"
"glomeruli_hc4_feat55",0.00246374307626011,"red"
"arteries_hc1_feat14",0.0024332601784748,"grey"
"glomeruli_hc4_feat26",0.00240824146751819,"grey"
"glomeruli_hc2_feat54",0.00237230576929698,"greenyellow"
"arteries_hc1_feat6",0.00235678661315078,"turquoise"
"glomeruli_hc4_feat1",0.002331454657244,"turquoise"
"arteries_hc1_feat2",0.00229887547245106,"turquoise"
"glomeruli_hc3_feat55",0.0022689796897832,"green"
"glomeruli_hc2_feat25",0.00212999916391895,"grey"
"glomeruli_hc2_feat16",0.00205863382125875,"grey"
"glomeruli_hc1_feat56",0.0020247533262702,"pink"
"glomeruli_hc4_feat6",0.00201408476837159,"turquoise"
"glomeruli_hc4_feat53",0.00199360700343968,"red"
"glomeruli_hc4_feat7",0.00189021591183677,"grey"
"glomeruli_hc4_feat23",0.00183227824108632,"grey"
"arteries_hc4_feat49",0.00182762423965621,"turquoise"
"glomeruli_hc1_feat8",0.00179223248555625,"grey"
"arteries_hc1_feat17",0.00176686590106122,"grey"
"glomeruli_hc4_feat57",0.00175526082018424,"red"
