"feature_name","variable_importance","module_membership"
"glomeruli_hc2_feat5",0.0092094837523732,"grey"
"glomeruli_hc3_feat47",0.00769618654025633,"turquoise"
"glomeruli_hc2_feat26",0.00741668628172923,"grey"
"arteries_hc1_feat25",0.00639273839681955,"grey"
"glomeruli_hc3_feat50",0.00623220948621184,"blue"
"arteries_hc1_feat49",0.00592484391876681,"turquoise"
"arteries_hc1_feat24",0.00571928813134826,"pink"
"glomeruli_hc2_feat4",0.00555971630715664,"grey"
"glomeruli_hc1_feat25",0.00541823024080338,"grey"
"arteries_hc1_feat20",0.00507429377428495,"pink"
"glomeruli_hc2_feat23",0.00487848908433436,"grey"
"arteries_hc1_feat1",0.0044446953287959,"turquoise"
"arteries_hc1_feat22",0.00419735871607402,"grey"
"arteries_hc1_feat50",0.00407487396638874,"pink"
"arteries_hc1_feat48",0.00344162998733636,"turquoise"
"glomeruli_hc2_feat47",0.00330721297865962,"turquoise"
"glomeruli_hc3_feat19",0.00328035954753999,"blue"
"glomeruli_hc2_feat7",0.00325864787779168,"grey"
"arteries_hc1_feat6",0.00318720508363799,"turquoise"
"glomeruli_hc4_feat54",0.00316428512670378,"brown"
"arteries_hc2_feat15",0.00314539946500468,"turquoise"
"glomeruli_hc2_feat8",0.00314206418408495,"grey"
"arteries_hc1_feat14",0.00313348941101697,"grey"
"glomeruli_hc3_feat49",0.00308513365208011,"blue"
"arteries_hc1_feat52",0.00307665395548675,"turquoise"
"glomeruli_hc2_feat13",0.00290599051664058,"grey"
"glomeruli_hc1_feat56",0.00287347246103182,"green"
"arteries_hc1_feat23",0.0028705656276378,"grey"
"glomeruli_hc1_feat47",0.00282226642285114,"turquoise"
"glomeruli_hc2_feat53",0.00278337164577578,"black"
"arteries_hc4_feat49",0.0027441151315047,"turquoise"
"glomeruli_hc2_feat17",0.00271941847116467,"grey"
"arteries_hc3_feat52",0.00270372749493043,"turquoise"
"glomeruli_hc2_feat57",0.00269521137126286,"black"
"arteries_hc1_feat5",0.00255705311115004,"grey"
"glomeruli_hc2_feat19",0.0025549380433606,"purple"
"glomeruli_hc4_feat26",0.00253247743199277,"grey"
"glomeruli_hc4_feat55",0.00245224042341724,"brown"
"glomeruli_hc4_feat50",0.0024225326533789,"brown"
"arteries_hc1_feat9",0.00232188131212083,"turquoise"
"glomeruli_hc3_feat20",0.00224196746361295,"blue"
"glomeruli_hc3_feat52",0.00222843192853116,"grey"
"glomeruli_hc2_feat27",0.00216658581840876,"purple"
"arteries_hc3_feat21",0.00215632570943589,"red"
"arteries_hc4_feat2",0.00201179263191219,"turquoise"
"arteries_hc2_feat52",0.00200359217992427,"grey"
"glomeruli_hc4_feat53",0.0019931677155479,"brown"
"glomeruli_hc3_feat6",0.0019610856056524,"blue"
"glomeruli_hc4_feat57",0.00194987163908619,"brown"
"glomeruli_hc2_feat12",0.00192192198749472,"black"
"glomeruli_hc1_feat8",0.00191084713867442,"grey"
"glomeruli_hc4_feat5",0.00190730179335764,"grey"
"arteries_hc1_feat54",0.00190099435426627,"pink"
"arteries_hc4_feat20",0.00187962661779493,"magenta"
"glomeruli_hc2_feat20",0.00185944431887498,"purple"
"glomeruli_hc4_feat56",0.00185423977621896,"brown"
"arteries_hc1_feat47",0.00179674741472641,"turquoise"
"glomeruli_hc2_feat50",0.00178506875964781,"black"
"arteries_hc4_feat51",0.00177589575700344,"magenta"
"glomeruli_hc3_feat56",0.00167809490579852,"blue"
"glomeruli_hc1_feat7",0.00167287161053445,"grey"
"glomeruli_hc1_feat51",0.00161664037775938,"green"
"arteries_hc2_feat54",0.00160846646541231,"yellow"
"glomeruli_hc3_feat4",0.00159895595820372,"grey"
"arteries_hc2_feat56",0.00155729754432905,"yellow"
"glomeruli_hc4_feat4",0.0015119882245202,"grey"
"arteries_hc2_feat12",0.00149421394133488,"yellow"
"arteries_hc2_feat46",0.00147194229047954,"yellow"
"glomeruli_hc3_feat24",0.00142429764097015,"blue"
"arteries_hc2_feat49",0.00141270835450242,"turquoise"
"arteries_hc3_feat51",0.00136794907057899,"red"
"arteries_hc2_feat18",0.00136211758212912,"turquoise"
"arteries_hc4_feat55",0.00117221653517249,"magenta"
"glomeruli_hc1_feat50",0.00112556086946979,"green"
"arteries_hc4_feat24",0.00110641218668214,"magenta"
"arteries_hc3_feat27",0.00110283350717912,"red"
"glomeruli_hc4_feat8",0.00110000479669937,"grey"
"arteries_hc3_feat26",0.000990493312815006,"grey"
"arteries_hc3_feat50",0.000983258625633157,"red"
"arteries_hc3_feat3",0.000944119719408291,"red"
"arteries_hc1_feat18",0.000715613577912234,"turquoise"
"glomeruli_hc1_feat4",0.000703391678674081,"grey"
"arteries_hc2_feat50",0.000641201811197474,"yellow"
