"feature_name","variable_importance","module_membership"
"glomeruli_hc2_feat26",0.00703421758553306,"grey60"
"arteries_hc1_feat25",0.0068006990586652,"grey"
"glomeruli_hc3_feat47",0.00548651993224196,"turquoise"
"glomeruli_hc2_feat4",0.00515880427573625,"grey"
"tubules_hc2_feat47",0.00443713932463085,"turquoise"
"glomeruli_hc3_feat50",0.00399335440886613,"green"
"glomeruli_hc3_feat49",0.00377722262484303,"green"
"arteries_hc1_feat20",0.00377449541326253,"salmon"
"glomeruli_hc2_feat5",0.00374157040655834,"grey"
"glomeruli_hc2_feat23",0.00362837874831758,"grey60"
"tubules_hc1_feat58",0.0035144350317812,"turquoise"
"tubules_hc2_feat12",0.00346929896202531,"lightcyan"
"glomeruli_hc4_feat53",0.00342100843891229,"purple"
"tubules_hc3_feat59",0.00339130150324502,"black"
"arteries_hc1_feat53",0.00336343082985062,"salmon"
"arteries_hc1_feat52",0.0033624288183755,"turquoise"
"tubules_hc3_feat58",0.00327160380637918,"turquoise"
"glomeruli_hc2_feat8",0.00324574794553236,"grey"
"tubules_hc1_feat16",0.00311434460694966,"grey"
"glomeruli_hc2_feat53",0.00308108898398165,"lightgreen"
"arteries_hc1_feat49",0.00307825282459313,"turquoise"
"glomeruli_hc4_feat54",0.00307064181261838,"purple"
"arteries_hc1_feat6",0.00306014258826579,"turquoise"
"arteries_hc1_feat24",0.00303993679424456,"salmon"
"glomeruli_hc3_feat55",0.00299634015782979,"green"
"glomeruli_hc1_feat25",0.002961390568992,"grey"
"arteries_hc1_feat9",0.00295644693840733,"turquoise"
"glomeruli_hc2_feat47",0.00291242911802768,"turquoise"
"tubules_hc3_feat54",0.00285540429166243,"black"
"tubules_hc3_feat49",0.00284757659241058,"turquoise"
"glomeruli_hc4_feat50",0.00284005514174423,"purple"
"glomeruli_hc2_feat13",0.00266136117488436,"grey"
"tubules_hc4_feat58",0.00262448632832722,"magenta"
"tubules_hc1_feat59",0.00261175610546239,"turquoise"
"arteries_hc3_feat16",0.00258814053907804,"grey"
"glomeruli_hc4_feat55",0.00246627552209524,"purple"
"glomeruli_hc3_feat57",0.00246442261829145,"green"
"glomeruli_hc2_feat7",0.00244073604559863,"grey"
"tubules_hc3_feat25",0.00233988570977004,"grey"
"tubules_hc1_feat25",0.00233124088673159,"grey"
"tubules_hc2_feat3",0.00224501051707659,"lightcyan"
"tubules_hc1_feat48",0.00223934842434186,"turquoise"
"tubules_hc4_feat56",0.00219331015462833,"grey60"
"arteries_hc1_feat2",0.00216951066624068,"turquoise"
"glomeruli_hc3_feat19",0.00216145921609337,"green"
"tubules_hc3_feat47",0.00215691267019783,"turquoise"
"tubules_hc3_feat26",0.00213562406566787,"grey"
