"feature_name","variable_importance","module_membership"
"arteries_hc1_feat25",0.00699883220102986,"grey"
"glomeruli_hc3_feat47",0.00550219477970508,"turquoise"
"glomeruli_hc3_feat50",0.00548071542702268,"blue"
"glomeruli_hc2_feat4",0.00532905063758271,"grey"
"tubules_hc1_feat58",0.00527316591184975,"turquoise"
"glomeruli_hc2_feat26",0.00509815148849723,"cyan"
"glomeruli_hc2_feat5",0.0050216757744666,"grey"
"tubules_hc3_feat49",0.00449669372980478,"turquoise"
"glomeruli_hc2_feat23",0.00415200080169158,"cyan"
"glomeruli_hc3_feat49",0.00410374889174552,"blue"
"glomeruli_hc2_feat47",0.00374334849312925,"turquoise"
"glomeruli_hc4_feat53",0.0037249488351493,"red"
"arteries_hc1_feat20",0.00367012039869903,"pink"
"tubules_hc3_feat22",0.00365397238999106,"grey"
"tubules_hc3_feat59",0.00362905440023155,"green"
"arteries_hc1_feat24",0.00362468214778129,"pink"
"tubules_hc2_feat47",0.00333733555764869,"turquoise"
"arteries_hc1_feat22",0.00331078143686676,"grey"
"tubules_hc2_feat55",0.0032892788103804,"tan"
"arteries_hc1_feat49",0.00317660581808266,"turquoise"
"arteries_hc3_feat16",0.00313439237410263,"grey"
"glomeruli_hc3_feat3",0.00310316016186378,"blue"
"glomeruli_hc4_feat55",0.00305945834149611,"red"
"glomeruli_hc3_feat19",0.00296764483102096,"blue"
"tubules_hc1_feat59",0.00283057416136948,"turquoise"
"tubules_hc1_feat13",0.00275439419725881,"grey"
"glomeruli_hc1_feat56",0.0027498387377027,"yellow"
"tubules_hc2_feat50",0.00272152591539991,"tan"
"arteries_hc1_feat23",0.00263839149131291,"grey"
"tubules_hc3_feat25",0.00261087124684962,"grey"
"arteries_hc1_feat52",0.00253453942836346,"turquoise"
"tubules_hc1_feat17",0.00247661305656014,"grey"
"tubules_hc3_feat23",0.00246039167620301,"grey"
"tubules_hc2_feat25",0.00244759315352243,"grey"
"arteries_hc1_feat4",0.00243135557843434,"grey"
"arteries_hc1_feat54",0.00240937586224459,"pink"
"glomeruli_hc2_feat8",0.00239072455293619,"grey"
"glomeruli_hc2_feat53",0.00237370622073378,"salmon"
"glomeruli_hc2_feat13",0.00236307563810929,"grey"
"glomeruli_hc4_feat3",0.00230284187674991,"red"
"tubules_hc2_feat22",0.0022363671735654,"grey"
"tubules_hc1_feat10",0.00223028317411618,"turquoise"
"glomeruli_hc4_feat50",0.00220523028524503,"red"
"arteries_hc2_feat56",0.00219615678023865,"brown"
