"feature_name","variable_importance","module_membership"
"tubules_hc2_feat47",0.00729539080442913,"turquoise"
"glomeruli_hc2_feat4",0.00677989969763821,"grey"
"glomeruli_hc3_feat47",0.00615183143635643,"turquoise"
"glomeruli_hc2_feat26",0.00528444466589779,"cyan"
"glomeruli_hc2_feat5",0.00510900440690836,"grey"
"tubules_hc4_feat56",0.00476320835734751,"cyan"
"tubules_hc1_feat48",0.00433547487707813,"turquoise"
"glomeruli_hc3_feat50",0.00433507263251708,"green"
"tubules_hc1_feat16",0.00401850609881304,"grey"
"tubules_hc1_feat10",0.00389585591111825,"salmon"
"tubules_hc4_feat58",0.00367932162925528,"purple"
"glomeruli_hc2_feat23",0.00350042371116279,"cyan"
"glomeruli_hc2_feat8",0.00330967388128971,"grey"
"tubules_hc1_feat17",0.00327755211063885,"grey"
"glomeruli_hc3_feat49",0.00319629974789428,"green"
"glomeruli_hc2_feat47",0.00299706841511906,"turquoise"
"glomeruli_hc2_feat53",0.00295997896788195,"greenyellow"
"tubules_hc3_feat59",0.00286271236084575,"pink"
"tubules_hc1_feat58",0.00280402656745066,"salmon"
"glomeruli_hc3_feat19",0.00275001503838149,"green"
"glomeruli_hc4_feat54",0.00273094327374555,"red"
"tubules_hc2_feat25",0.00272486075752049,"grey"
"glomeruli_hc2_feat7",0.00269164956982736,"grey"
"glomeruli_hc4_feat5",0.0026071806660238,"grey"
"glomeruli_hc4_feat55",0.00254036995485539,"red"
"glomeruli_hc4_feat50",0.00253117029867136,"red"
"glomeruli_hc4_feat57",0.00252678329256269,"red"
"tubules_hc2_feat55",0.0025153896100365,"tan"
"tubules_hc1_feat9",0.00251215025787972,"turquoise"
"tubules_hc2_feat22",0.00248192272740874,"grey"
"tubules_hc2_feat12",0.00242227276916011,"tan"
"tubules_hc3_feat3",0.00241284259359359,"lightgreen"
"tubules_hc2_feat26",0.00240837923944102,"grey"
"tubules_hc3_feat4",0.00239587035985911,"grey"
"tubules_hc3_feat49",0.00232895735748568,"pink"
"tubules_hc1_feat57",0.00229528675435516,"turquoise"
"glomeruli_hc3_feat53",0.00229202019968831,"green"
"glomeruli_hc4_feat53",0.00227804887196679,"red"
"tubules_hc3_feat58",0.00223197690596532,"turquoise"
"glomeruli_hc2_feat57",0.00222815366053496,"greenyellow"
"glomeruli_hc3_feat56",0.00212205459984828,"green"
"glomeruli_hc4_feat7",0.00209908971882804,"grey"
"tubules_hc2_feat9",0.00209666693676042,"midnightblue"
"tubules_hc1_feat14",0.00208651903453279,"grey"
"tubules_hc3_feat5",0.00207328239429952,"grey"
"glomeruli_hc4_feat26",0.00206097568151003,"grey"
"tubules_hc2_feat10",0.00204160625386231,"turquoise"
