"feature_name","variable_importance","module_membership"
"glomeruli_hc3_feat50",0.00643781095949839,"blue"
"glomeruli_hc3_feat47",0.00621457306569856,"turquoise"
"tubules_hc1_feat58",0.00565908171479739,"magenta"
"tubules_hc4_feat56",0.0055586106296841,"purple"
"glomeruli_hc2_feat5",0.005464743766693,"grey"
"glomeruli_hc2_feat4",0.00541847308803956,"grey"
"tubules_hc3_feat59",0.00478192771983659,"green"
"tubules_hc2_feat10",0.00449813245183023,"turquoise"
"tubules_hc3_feat58",0.0044306906400167,"turquoise"
"tubules_hc2_feat47",0.00440120675557729,"turquoise"
"glomeruli_hc2_feat47",0.00435729865294919,"turquoise"
"tubules_hc2_feat22",0.00429238746297811,"grey"
"tubules_hc3_feat49",0.00420764812468203,"green"
"glomeruli_hc2_feat13",0.00405723738987753,"grey"
"glomeruli_hc4_feat54",0.00386326565852953,"brown"
"tubules_hc1_feat48",0.00373596115756446,"turquoise"
"glomeruli_hc3_feat55",0.00362822816380679,"blue"
"glomeruli_hc2_feat8",0.00357131235081683,"grey"
"glomeruli_hc3_feat3",0.00327518044259713,"blue"
"tubules_hc2_feat51",0.00324798985925684,"pink"
"glomeruli_hc1_feat25",0.00324381881220011,"grey"
"tubules_hc4_feat50",0.00317425986268803,"purple"
"tubules_hc3_feat51",0.00310446648495101,"tan"
"glomeruli_hc4_feat50",0.00310200811274454,"brown"
"tubules_hc4_feat58",0.00306245136435258,"red"
"glomeruli_hc2_feat17",0.00292980711280409,"grey"
"tubules_hc2_feat9",0.00282198621740842,"greenyellow"
"tubules_hc1_feat17",0.00273731432818907,"grey"
"glomeruli_hc1_feat56",0.00272030534097565,"yellow"
"tubules_hc4_feat55",0.00269738814868706,"purple"
"glomeruli_hc3_feat19",0.00264523505096074,"blue"
"tubules_hc1_feat59",0.00263241160712192,"turquoise"
"glomeruli_hc2_feat53",0.00260955159178569,"black"
"tubules_hc2_feat12",0.0025756821705349,"pink"
"tubules_hc3_feat18",0.00256986907095944,"turquoise"
"tubules_hc1_feat14",0.00255305516089395,"grey"
"glomeruli_hc2_feat7",0.00250970777275515,"grey"
"tubules_hc4_feat49",0.00250182349147639,"red"
"glomeruli_hc2_feat3",0.00250181618548156,"black"
"glomeruli_hc4_feat57",0.00240229814260645,"brown"
"glomeruli_hc4_feat55",0.00238338328558136,"brown"
"tubules_hc1_feat9",0.00232136902454951,"turquoise"
"glomeruli_hc3_feat57",0.00227475294805585,"blue"
"tubules_hc1_feat7",0.00222131745822458,"grey"
"tubules_hc1_feat57",0.00221108969424652,"turquoise"
"glomeruli_hc2_feat54",0.00219099964970703,"black"
"glomeruli_hc3_feat49",0.00215553509370775,"blue"
"glomeruli_hc4_feat4",0.00211889479836029,"grey"
"tubules_hc2_feat21",0.00209318360600424,"pink"
"tubules_hc2_feat23",0.00202690204906783,"grey"
"tubules_hc3_feat1",0.00200463805178959,"green"
"tubules_hc2_feat5",0.00198001661198726,"grey"
"tubules_hc2_feat2",0.00195849402768817,"greenyellow"
"tubules_hc2_feat26",0.00190946359766952,"grey"
"tubules_hc2_feat15",0.00190402902313063,"turquoise"
"tubules_hc1_feat5",0.00186025529883053,"grey"
"tubules_hc3_feat23",0.00185000143642799,"grey"
"glomeruli_hc2_feat22",0.00181956249228107,"grey"
"glomeruli_hc1_feat5",0.00179746525159063,"grey"
"tubules_hc3_feat50",0.00179049930165205,"tan"
"glomeruli_hc2_feat51",0.00175747723579726,"black"
"tubules_hc2_feat6",0.00173746380200145,"greenyellow"
"tubules_hc3_feat22",0.0017185238928627,"grey"
"glomeruli_hc2_feat25",0.00164314269279895,"grey"
"tubules_hc2_feat16",0.00163368138069075,"grey"
"tubules_hc3_feat4",0.00157994857611668,"grey"
"tubules_hc2_feat50",0.0014676974891465,"pink"
"tubules_hc2_feat8",0.00145740421138316,"grey"
"tubules_hc3_feat19",0.00139801681281149,"green"
"tubules_hc3_feat55",0.00139173494423027,"tan"
"tubules_hc2_feat25",0.0013863188493935,"grey"
"glomeruli_hc4_feat53",0.00136120520972701,"brown"
"tubules_hc3_feat27",0.00133407715332342,"green"
"glomeruli_hc2_feat6",0.00128138894684197,"salmon"
"glomeruli_hc1_feat22",0.00126449785167468,"grey"
"glomeruli_hc2_feat1",0.00123511333799538,"salmon"
"glomeruli_hc3_feat56",0.00121561517194572,"blue"
"glomeruli_hc1_feat50",0.00120407303490696,"yellow"
"glomeruli_hc1_feat54",0.00119013576392778,"yellow"
"glomeruli_hc1_feat55",0.00115128915717015,"yellow"
"glomeruli_hc2_feat2",0.00102690170622923,"salmon"
"glomeruli_hc1_feat58",0.000986516512843894,"magenta"
"glomeruli_hc1_feat11",0.00082259020900244,"magenta"
"tubules_hc4_feat57",0.000402435746050375,"red"
