"feature_name","variable_importance","module_membership"
"glomeruli_hc2_feat5",0.0098478408973893,"magenta"
"glomeruli_hc2_feat26",0.00919822241531884,"magenta"
"glomeruli_hc2_feat4",0.00828142670517074,"magenta"
"glomeruli_hc3_feat19",0.00705534121718385,"green"
"glomeruli_hc1_feat56",0.00555025883421688,"turquoise"
"glomeruli_hc4_feat50",0.00542170267122916,"red"
"glomeruli_hc4_feat55",0.00493021541517755,"red"
"glomeruli_hc4_feat4",0.00486802710956695,"salmon"
"glomeruli_hc4_feat7",0.0042682636958731,"salmon"
"glomeruli_hc2_feat14",0.00412555794255206,"magenta"
"glomeruli_hc3_feat20",0.00410987528050513,"green"
"glomeruli_hc2_feat53",0.00403728494776894,"pink"
"glomeruli_hc4_feat5",0.00384926565973755,"salmon"
"scl_gloms_hc1_feat17",0.00378471594651329,"grey"
"glomeruli_hc4_feat57",0.00373741669521639,"red"
"glomeruli_hc1_feat53",0.00373532130868497,"turquoise"
"glomeruli_hc4_feat53",0.00366569042138817,"red"
"glomeruli_hc1_feat7",0.00361544543763442,"grey"
"glomeruli_hc4_feat2",0.00330480310400671,"midnightblue"
"glomeruli_hc3_feat3",0.00327065109486033,"green"
"glomeruli_hc1_feat54",0.00323373684133291,"turquoise"
"glomeruli_hc4_feat1",0.00322219886859814,"midnightblue"
"glomeruli_hc2_feat47",0.00321789727157049,"turquoise"
"glomeruli_hc3_feat49",0.00312201670374657,"green"
"glomeruli_hc3_feat24",0.00310166652905618,"green"
"glomeruli_hc3_feat55",0.00303746098887975,"green"
"glomeruli_hc1_feat13",0.00302628608953596,"grey"
"glomeruli_hc1_feat50",0.00300457824494932,"turquoise"
"glomeruli_hc2_feat51",0.00290891785740823,"pink"
"glomeruli_hc2_feat3",0.00275541264623123,"pink"
"glomeruli_hc1_feat5",0.00265304006204939,"cyan"
"glomeruli_hc1_feat57",0.00262458475050832,"turquoise"
"glomeruli_hc2_feat1",0.00248192557749232,"tan"
"scl_gloms_hc1_feat54",0.00232709293749941,"yellow"
"glomeruli_hc4_feat6",0.00232707480070608,"midnightblue"
"glomeruli_hc2_feat2",0.0022767929046109,"tan"
"glomeruli_hc2_feat54",0.00224492079341087,"pink"
"glomeruli_hc1_feat4",0.0022377083710975,"grey"
"scl_gloms_hc2_feat54",0.00223686679076174,"brown"
"glomeruli_hc1_feat8",0.00214390893894452,"cyan"
"scl_gloms_hc2_feat56",0.00205119927909635,"brown"
"scl_gloms_hc2_feat57",0.00197065201032505,"brown"
"glomeruli_hc1_feat3",0.00194334510770028,"turquoise"
"glomeruli_hc3_feat56",0.00190984553522797,"green"
"scl_gloms_hc1_feat2",0.0018271692757318,"yellow"
"scl_gloms_hc2_feat49",0.00181019252633616,"brown"
"glomeruli_hc1_feat15",0.00180675520532409,"turquoise"
"glomeruli_hc3_feat7",0.00174095112139926,"greenyellow"
"scl_gloms_hc1_feat14",0.00162062183277552,"grey"
"scl_gloms_hc1_feat5",0.00161098623753759,"grey"
"glomeruli_hc1_feat14",0.00151961878734781,"cyan"
"scl_gloms_hc2_feat1",0.00145599022570218,"brown"
"scl_gloms_hc2_feat53",0.00139062993015827,"brown"
"scl_gloms_hc2_feat52",0.00129502290404125,"blue"
"scl_gloms_hc2_feat25",0.00127907361686164,"grey"
"scl_gloms_hc1_feat13",0.00126141753020337,"grey"
"scl_gloms_hc1_feat6",0.00121033604813717,"yellow"
"glomeruli_hc3_feat5",0.00119143980208622,"greenyellow"
"scl_gloms_hc1_feat49",0.00113899033476136,"yellow"
"scl_gloms_hc2_feat3",0.00101870710847859,"brown"
"scl_gloms_hc2_feat55",0.00101855520113258,"brown"
"scl_gloms_hc1_feat4",0.000945176507936324,"grey"
"scl_gloms_hc3_feat25",0.000944249182446244,"grey"
"scl_gloms_hc2_feat23",0.00093572640060871,"grey"
"scl_gloms_hc3_feat11",0.000884572314552482,"purple"
"glomeruli_hc2_feat6",0.000840041667682038,"tan"
"scl_gloms_hc3_feat12",0.000802847590026779,"black"
"scl_gloms_hc1_feat1",0.000730738274307504,"yellow"
"scl_gloms_hc3_feat22",0.000702225029819913,"grey"
"scl_gloms_hc3_feat15",0.000670740364509045,"purple"
"scl_gloms_hc4_feat27",0.000653629587340791,"blue"
"glomeruli_hc3_feat8",0.000653258741460455,"greenyellow"
"scl_gloms_hc3_feat18",0.000555797925238096,"purple"
"scl_gloms_hc1_feat50",0.000519374446438314,"yellow"
"scl_gloms_hc1_feat9",0.000485068426899436,"yellow"
"scl_gloms_hc3_feat16",0.000442000858975064,"grey"
"scl_gloms_hc1_feat8",0.000376641291211128,"grey"
"scl_gloms_hc3_feat10",0.000373873783048387,"purple"
"scl_gloms_hc3_feat23",0.000366150439208285,"grey"
"glomeruli_hc3_feat4",0.000344097094372336,"greenyellow"
"scl_gloms_hc3_feat50",0.000298752487024949,"black"
"scl_gloms_hc3_feat58",0.000234724312087466,"black"
"scl_gloms_hc3_feat54",-6.38436770002522e-05,"black"
"scl_gloms_hc4_feat20",-0.00050565173333888,"blue"
