"feature_name","variable_importance","module_membership"
"glomeruli_hc2_feat26",0.015562984281811,"green"
"glomeruli_hc2_feat4",0.0125192319099945,"green"
"glomeruli_hc3_feat19",0.0123037594985887,"blue"
"glomeruli_hc2_feat5",0.0113364436146874,"green"
"glomeruli_hc4_feat54",0.0108408205504353,"brown"
"glomeruli_hc1_feat56",0.0099302189776153,"turquoise"
"glomeruli_hc3_feat24",0.0084113558452027,"blue"
"glomeruli_hc4_feat5",0.00794966044893372,"black"
"glomeruli_hc2_feat47",0.00700534267983918,"turquoise"
"glomeruli_hc3_feat49",0.00648934857658876,"blue"
"glomeruli_hc4_feat4",0.00635684263720226,"black"
"glomeruli_hc2_feat53",0.00634957839693657,"yellow"
"glomeruli_hc3_feat55",0.00610564112414833,"blue"
"glomeruli_hc4_feat2",0.00580215403247911,"purple"
"glomeruli_hc4_feat57",0.00547535945881611,"brown"
"glomeruli_hc2_feat14",0.00520095429701403,"green"
"glomeruli_hc2_feat51",0.00515541885300712,"yellow"
"glomeruli_hc4_feat55",0.00505292202032451,"brown"
"glomeruli_hc3_feat57",0.00497015975674306,"blue"
"glomeruli_hc4_feat6",0.00493571258620477,"purple"
"glomeruli_hc4_feat49",0.00493455498996286,"purple"
"glomeruli_hc3_feat6",0.00472881229383358,"blue"
"glomeruli_hc4_feat53",0.00467347087921283,"brown"
"glomeruli_hc1_feat4",0.0046297994895253,"grey"
"glomeruli_hc4_feat7",0.00462352215724729,"black"
"glomeruli_hc2_feat49",0.00461011998592708,"pink"
"glomeruli_hc1_feat57",0.00444354410121648,"turquoise"
"glomeruli_hc3_feat5",0.00435922370869626,"red"
"glomeruli_hc1_feat53",0.0042845390201192,"turquoise"
"glomeruli_hc3_feat59",0.00410579485089863,"grey"
"glomeruli_hc3_feat4",0.00408509179198458,"red"
"glomeruli_hc1_feat8",0.00399358482668669,"magenta"
"glomeruli_hc3_feat8",0.00394580734009061,"red"
"glomeruli_hc2_feat20",0.00375544191937634,"pink"
"glomeruli_hc2_feat55",0.00374373888532236,"yellow"
"glomeruli_hc2_feat24",0.00370029768662067,"pink"
"glomeruli_hc1_feat5",0.00360325868315492,"magenta"
"glomeruli_hc1_feat48",0.00321574958416977,"turquoise"
"glomeruli_hc1_feat9",0.00313910845191975,"turquoise"
"glomeruli_hc1_feat15",0.00303484524354104,"turquoise"
"glomeruli_hc2_feat57",0.00276822069380296,"yellow"
"glomeruli_hc1_feat7",0.00272522367145513,"grey"
"glomeruli_hc3_feat14",0.00252297151386763,"red"
