"feature_name","variable_importance","module_membership"
"arteries_hc1_feat25",0.00838907833523012,"grey"
"tubules_hc1_feat58",0.0050513438223944,"turquoise"
"arteries_hc1_feat20",0.00471790052772917,"pink"
"tubules_hc3_feat59",0.00462730995794402,"turquoise"
"tubules_hc2_feat12",0.00411541178282597,"salmon"
"tubules_hc1_feat14",0.00396814766270619,"grey"
"arteries_hc1_feat52",0.00395871178571325,"turquoise"
"tubules_hc1_feat48",0.00389818793700369,"turquoise"
"arteries_hc1_feat24",0.00385306073214481,"pink"
"tubules_hc3_feat58",0.0031943090970663,"turquoise"
"tubules_hc3_feat23",0.00317741002043087,"grey"
"tubules_hc2_feat25",0.00315597326618311,"grey"
"tubules_hc1_feat16",0.00312912595609054,"grey"
"tubules_hc2_feat22",0.00311227597019889,"grey"
"tubules_hc1_feat59",0.00309312442502054,"turquoise"
"tubules_hc4_feat58",0.00307345633397035,"red"
"arteries_hc1_feat48",0.00306919247167854,"turquoise"
"tubules_hc3_feat49",0.00292950953637375,"turquoise"
"tubules_hc3_feat51",0.00291016439021657,"cyan"
"tubules_hc2_feat10",0.00288714785474736,"turquoise"
"tubules_hc2_feat11",0.002863290388723,"turquoise"
"tubules_hc1_feat5",0.00265630188388244,"grey"
"tubules_hc1_feat13",0.00263367382626278,"grey"
"tubules_hc3_feat15",0.00258560696992788,"turquoise"
"arteries_hc1_feat6",0.00254672742427512,"turquoise"
"arteries_hc1_feat22",0.0025447680822239,"grey"
"tubules_hc2_feat47",0.00252836327569271,"turquoise"
"arteries_hc3_feat16",0.00250651821673238,"grey"
"arteries_hc2_feat10",0.00241162613677411,"turquoise"
"tubules_hc3_feat7",0.00235846647557987,"grey"
"arteries_hc2_feat56",0.00235838205005133,"green"
"arteries_hc1_feat49",0.00235438720222284,"turquoise"
"tubules_hc3_feat6",0.00234431486576821,"turquoise"
"tubules_hc1_feat10",0.00230655336939557,"turquoise"
"arteries_hc1_feat1",0.0022871915316145,"turquoise"
"scl_gloms_hc1_feat17",0.00222261144338711,"grey"
"tubules_hc2_feat5",0.00220277616981714,"grey"
"tubules_hc1_feat17",0.00217727821246422,"grey"
"tubules_hc3_feat18",0.0021233364622141,"turquoise"
"tubules_hc3_feat5",0.00207689996579488,"grey"
