"feature_name","variable_importance","module_membership"
"arteries_hc1_feat25",0.00754674528368919,"grey"
"tubules_hc3_feat58",0.0065667242893564,"turquoise"
"tubules_hc1_feat58",0.00632371097648404,"turquoise"
"arteries_hc1_feat52",0.00631102077200342,"turquoise"
"arteries_hc1_feat24",0.00622434587138531,"yellow"
"arteries_hc1_feat20",0.00611699498877355,"yellow"
"arteries_hc1_feat48",0.00538664430367508,"turquoise"
"tubules_hc3_feat59",0.00483592631510213,"turquoise"
"arteries_hc1_feat22",0.00439842974290586,"grey"
"tubules_hc4_feat58",0.00432625816506497,"brown"
"tubules_hc2_feat12",0.00406023848091164,"pink"
"arteries_hc1_feat49",0.00386947939682101,"turquoise"
"tubules_hc2_feat10",0.00368058373584706,"turquoise"
"tubules_hc1_feat16",0.00367442464833339,"grey"
"arteries_hc4_feat10",0.00362531917180474,"turquoise"
"tubules_hc2_feat25",0.00361178434446253,"grey"
"tubules_hc1_feat13",0.00351102741359231,"grey"
"tubules_hc4_feat10",0.00345825631885033,"turquoise"
"tubules_hc3_feat49",0.0033469399758157,"turquoise"
"arteries_hc1_feat47",0.00325204271611213,"turquoise"
"tubules_hc2_feat47",0.00323072624521049,"turquoise"
"tubules_hc2_feat22",0.00317084047354338,"grey"
"arteries_hc1_feat21",0.00311141393166204,"yellow"
"tubules_hc3_feat22",0.00307923589210331,"grey"
"tubules_hc4_feat55",0.00284398689506912,"magenta"
"tubules_hc1_feat8",0.00282136323452239,"grey"
"tubules_hc1_feat4",0.00281095368216904,"grey"
"arteries_hc1_feat1",0.0027636677085763,"turquoise"
"tubules_hc3_feat46",0.00268282728903587,"purple"
"tubules_hc3_feat8",0.00267422487714862,"grey"
"tubules_hc3_feat23",0.00263420503272175,"grey"
"tubules_hc3_feat11",0.00258941120649507,"turquoise"
"tubules_hc3_feat47",0.00255379845581886,"turquoise"
"tubules_hc1_feat5",0.00250613250494945,"grey"
"tubules_hc1_feat48",0.00244071450492851,"turquoise"
"tubules_hc4_feat15",0.00242825490128522,"brown"
"arteries_hc2_feat2",0.0024080780561609,"green"
"tubules_hc1_feat17",0.00235167407375537,"grey"
"arteries_hc1_feat19",0.00234147233006852,"yellow"
"arteries_hc2_feat56",0.00231070680272342,"blue"
"tubules_hc1_feat7",0.00228563179660331,"grey"
"tubules_hc3_feat24",0.00228433466523873,"turquoise"
"arteries_hc1_feat23",0.00224483912742713,"grey"
"tubules_hc2_feat5",0.00222327688534331,"grey"
"tubules_hc2_feat21",0.00211624782943404,"pink"
"tubules_hc3_feat18",0.00211461255816396,"turquoise"
"arteries_hc3_feat13",0.00210424194276878,"grey"
"tubules_hc2_feat16",0.0020830982835836,"grey"
"tubules_hc3_feat51",0.00207885900169635,"purple"
"arteries_hc3_feat16",0.00202439103504271,"grey"
"tubules_hc3_feat20",0.00196721999386422,"turquoise"
"tubules_hc2_feat26",0.00194206276857559,"grey"
"tubules_hc4_feat2",0.00191014934653556,"brown"
"arteries_hc2_feat58",0.00190657375640853,"blue"
"arteries_hc2_feat6",0.00189363625079327,"green"
"tubules_hc4_feat21",0.00188715277620768,"magenta"
"tubules_hc3_feat15",0.00187312958824171,"turquoise"
"tubules_hc2_feat15",0.00186619740680348,"turquoise"
"arteries_hc2_feat49",0.00184790452165657,"green"
"tubules_hc2_feat11",0.00184276984192673,"turquoise"
"arteries_hc2_feat46",0.00180415242013543,"blue"
"arteries_hc1_feat17",0.00177788225205065,"grey"
"arteries_hc1_feat2",0.00177762849935724,"turquoise"
"tubules_hc2_feat4",0.0017259696902956,"grey"
"tubules_hc2_feat18",0.0017176828219632,"turquoise"
"arteries_hc4_feat20",0.00166661703048174,"black"
"arteries_hc1_feat9",0.00166235717060521,"turquoise"
"tubules_hc2_feat14",0.00166040680320864,"grey"
"tubules_hc3_feat53",0.00163957980934584,"purple"
"tubules_hc3_feat27",0.00161253222968883,"turquoise"
"tubules_hc3_feat26",0.001532645667001,"grey"
"tubules_hc2_feat56",0.00146871523571883,"pink"
"arteries_hc2_feat9",0.00145362875911013,"green"
"arteries_hc2_feat53",0.00144956722241639,"blue"
"arteries_hc2_feat12",0.00144068572826793,"blue"
"tubules_hc2_feat8",0.0014343109081769,"grey"
"arteries_hc4_feat19",0.00137118225305929,"black"
"tubules_hc4_feat53",0.00136040518604109,"magenta"
"tubules_hc4_feat11",0.00124154969576321,"brown"
"arteries_hc3_feat58",0.00120534964996202,"red"
"arteries_hc2_feat21",0.000967803511354337,"blue"
"tubules_hc4_feat18",0.000835263023753716,"brown"
"arteries_hc3_feat3",0.00041789896103357,"red"
