"feature_name","variable_importance","module_membership"
"tubules_hc1_feat58",0.00854203090098463,"turquoise"
"tubules_hc3_feat59",0.00655339817170382,"red"
"tubules_hc3_feat58",0.00578308257091963,"turquoise"
"tubules_hc3_feat22",0.00546699757355038,"grey"
"tubules_hc3_feat23",0.00546385604693621,"green"
"tubules_hc1_feat59",0.00542127707863454,"turquoise"
"tubules_hc1_feat48",0.00477314176558612,"turquoise"
"tubules_hc3_feat7",0.00476050659753423,"grey"
"tubules_hc3_feat26",0.00449455287749039,"green"
"tubules_hc1_feat16",0.00438238637972898,"grey"
"tubules_hc2_feat12",0.00434336777202335,"purple"
"tubules_hc4_feat51",0.00409269461349242,"magenta"
"tubules_hc2_feat25",0.00400691898556578,"grey"
"tubules_hc1_feat10",0.00399179405956582,"turquoise"
"tubules_hc2_feat10",0.00397006568997105,"turquoise"
"tubules_hc3_feat47",0.00382373077701145,"turquoise"
"tubules_hc3_feat49",0.00373415264441138,"turquoise"
"tubules_hc4_feat50",0.00372654463579574,"magenta"
"tubules_hc2_feat22",0.00372528166338103,"grey"
"tubules_hc3_feat15",0.00356223969777644,"turquoise"
"tubules_hc1_feat57",0.00340839023927992,"turquoise"
"tubules_hc3_feat18",0.0033934783198469,"turquoise"
"tubules_hc1_feat4",0.00324946242943621,"grey"
"tubules_hc1_feat13",0.00321660551919409,"grey"
"tubules_hc3_feat27",0.00317869814345031,"red"
"tubules_hc1_feat24",0.00317177097257264,"turquoise"
"tubules_hc1_feat9",0.0031226663770399,"turquoise"
"tubules_hc2_feat21",0.00309423344286241,"purple"
"tubules_hc4_feat58",0.00298634829127932,"green"
"tubules_hc2_feat19",0.00292849674827534,"turquoise"
"tubules_hc2_feat26",0.00287299528291415,"grey"
"tubules_hc2_feat18",0.00260516503076704,"turquoise"
"scl_gloms_hc1_feat17",0.00249193669103654,"grey"
"tubules_hc3_feat14",0.00248371139345363,"grey"
"scl_gloms_hc1_feat27",0.00247202764342421,"yellow"
"tubules_hc2_feat50",0.00243316827364536,"purple"
"tubules_hc2_feat14",0.0023591325240641,"grey"
"tubules_hc1_feat14",0.0023113759443125,"grey"
"tubules_hc2_feat16",0.00227955802172748,"grey"
"tubules_hc4_feat15",0.00217067213304587,"green"
"tubules_hc2_feat4",0.00214402502770076,"grey"
"tubules_hc4_feat49",0.00208210148684926,"green"
"tubules_hc1_feat17",0.00206663267464392,"grey"
"tubules_hc1_feat5",0.00203203875055026,"grey"
"tubules_hc4_feat6",0.00200076046901618,"green"
"tubules_hc3_feat20",0.00199706316388821,"red"
"scl_gloms_hc1_feat4",0.00188037078339312,"grey"
"scl_gloms_hc1_feat6",0.00185504162994283,"yellow"
"tubules_hc3_feat24",0.00174287173059807,"red"
"scl_gloms_hc1_feat5",0.00170483779560059,"grey"
"tubules_hc2_feat17",0.00163817965725928,"grey"
"tubules_hc2_feat5",0.00155527374820097,"grey"
"tubules_hc2_feat23",0.00148905589297008,"grey"
"scl_gloms_hc1_feat14",0.00142585054195775,"grey"
"scl_gloms_hc1_feat2",0.00138846754494715,"yellow"
"tubules_hc3_feat19",0.00137059338113451,"red"
"tubules_hc1_feat25",0.0013108275870789,"grey"
"tubules_hc4_feat53",0.00128708469877988,"magenta"
"scl_gloms_hc1_feat49",0.00122761257449037,"yellow"
"scl_gloms_hc2_feat52",0.00120999723872811,"blue"
"tubules_hc1_feat7",0.00119904557057617,"grey"
"scl_gloms_hc2_feat54",0.00117725953475096,"brown"
"tubules_hc1_feat22",0.00116639019710627,"grey"
"tubules_hc2_feat8",0.00116454430117356,"grey"
"scl_gloms_hc1_feat1",0.00108278489226565,"yellow"
"scl_gloms_hc1_feat18",0.00101357874397155,"yellow"
"scl_gloms_hc2_feat50",0.000812318593992733,"brown"
"scl_gloms_hc1_feat9",0.000755900371768055,"yellow"
"scl_gloms_hc2_feat1",0.000692574900940601,"brown"
"scl_gloms_hc3_feat11",0.000620379216068978,"pink"
"scl_gloms_hc3_feat10",0.000611402540954568,"pink"
"scl_gloms_hc2_feat53",0.000563518476291059,"brown"
"scl_gloms_hc3_feat15",0.000413874864165045,"pink"
"scl_gloms_hc4_feat58",0.000377106326706757,"blue"
"scl_gloms_hc3_feat58",0.000362713538872442,"black"
"scl_gloms_hc4_feat18",0.000300818136919587,"blue"
"scl_gloms_hc3_feat54",0.000297782752691376,"black"
"scl_gloms_hc3_feat56",0.000287201495806085,"black"
"scl_gloms_hc2_feat49",0.000257562965807166,"brown"
"scl_gloms_hc4_feat11",0.0002170573039212,"blue"
"scl_gloms_hc3_feat12",9.24020277832675e-05,"black"
"scl_gloms_hc2_feat3",6.14741771786758e-05,"brown"
"scl_gloms_hc4_feat59",2.84275231077012e-05,"blue"
"scl_gloms_hc4_feat1",2.37392547746126e-05,"blue"
