"feature_name","variable_importance","module_membership"
"tubules_hc1_feat58",0.0101353907340458,"turquoise"
"tubules_hc3_feat58",0.00975762261680745,"turquoise"
"tubules_hc4_feat58",0.00958264904481471,"blue"
"tubules_hc3_feat59",0.00950265695105752,"brown"
"tubules_hc4_feat50",0.00740773688599827,"green"
"tubules_hc3_feat23",0.00737234935235991,"blue"
"tubules_hc3_feat49",0.00721968843885147,"turquoise"
"tubules_hc2_feat47",0.00696566319465394,"turquoise"
"tubules_hc1_feat10",0.00656830951321344,"turquoise"
"tubules_hc2_feat22",0.0065450272248356,"grey"
"tubules_hc1_feat57",0.00647681042042248,"turquoise"
"tubules_hc2_feat25",0.00623759054365475,"grey"
"tubules_hc2_feat10",0.00619740154145331,"turquoise"
"tubules_hc2_feat12",0.00610610262550514,"yellow"
"tubules_hc2_feat1",0.00582737832264597,"turquoise"
"tubules_hc2_feat55",0.00576848045892351,"yellow"
"tubules_hc1_feat9",0.00574383378700294,"turquoise"
"tubules_hc3_feat22",0.0055306568729528,"grey"
"tubules_hc3_feat18",0.00535737594064286,"turquoise"
"tubules_hc1_feat16",0.00519041968391422,"grey"
"tubules_hc3_feat15",0.00506265072790566,"turquoise"
"tubules_hc2_feat5",0.00481908181083857,"grey"
"tubules_hc2_feat19",0.00465198654201004,"turquoise"
"tubules_hc4_feat55",0.00451235651096107,"green"
"tubules_hc1_feat5",0.00448983154579414,"grey"
"tubules_hc3_feat26",0.00426434669205008,"blue"
"tubules_hc1_feat14",0.00420496461768151,"grey"
"tubules_hc4_feat51",0.00405491834072651,"green"
"tubules_hc1_feat13",0.00397919134345122,"grey"
"tubules_hc3_feat8",0.00396182890592836,"blue"
"tubules_hc2_feat18",0.00391760821151507,"turquoise"
"tubules_hc3_feat4",0.00374712706513791,"grey"
"tubules_hc3_feat27",0.00368387722634116,"brown"
"tubules_hc4_feat11",0.00367210803409743,"blue"
"tubules_hc1_feat25",0.00361321192789548,"grey"
"tubules_hc2_feat23",0.00359593350580228,"grey"
"tubules_hc1_feat22",0.00346691798542901,"grey"
"tubules_hc1_feat17",0.00336153234338691,"grey"
"tubules_hc2_feat11",0.00334151750496232,"turquoise"
"tubules_hc3_feat24",0.00326219248280825,"brown"
"tubules_hc4_feat15",0.00323231464888239,"blue"
"tubules_hc2_feat21",0.00318476213226476,"yellow"
"tubules_hc2_feat14",0.00254531025648069,"grey"
