"feature_name","variable_importance","module_membership"
"scl_gloms_hc1_feat17",0.0195911434524997,"grey"
"scl_gloms_hc2_feat52",0.0166110759469899,"turquoise"
"scl_gloms_hc1_feat14",0.0116217900370409,"grey"
"scl_gloms_hc1_feat13",0.0104403061788686,"grey"
"scl_gloms_hc1_feat46",0.00852874103391989,"brown"
"scl_gloms_hc1_feat5",0.00788292276334798,"grey"
"scl_gloms_hc1_feat9",0.00650656893878406,"brown"
"scl_gloms_hc2_feat55",0.00618056948125135,"blue"
"scl_gloms_hc1_feat4",0.00607220406191456,"grey"
"scl_gloms_hc1_feat49",0.00593331597136888,"brown"
"scl_gloms_hc1_feat2",0.00582214245240804,"brown"
"scl_gloms_hc1_feat23",0.00547523186855781,"grey"
"scl_gloms_hc3_feat11",0.00545556492658604,"green"
"scl_gloms_hc2_feat50",0.00530789999534325,"blue"
"scl_gloms_hc1_feat1",0.00523792148978667,"brown"
"scl_gloms_hc2_feat56",0.00520016070279365,"blue"
"scl_gloms_hc2_feat47",0.00505627797855772,"blue"
"scl_gloms_hc1_feat56",0.00502185899010489,"brown"
"scl_gloms_hc1_feat16",0.00501148574957924,"grey"
"scl_gloms_hc2_feat3",0.00499296871476288,"blue"
"scl_gloms_hc2_feat49",0.0046687533591598,"blue"
"scl_gloms_hc3_feat59",0.00463971561062277,"green"
"scl_gloms_hc1_feat8",0.00442840317250895,"grey"
"scl_gloms_hc2_feat48",0.0043073000308075,"blue"
"scl_gloms_hc1_feat54",0.00418497825864331,"brown"
"scl_gloms_hc3_feat15",0.00410064400590048,"green"
"scl_gloms_hc3_feat16",0.00403177758836661,"grey"
"scl_gloms_hc3_feat58",0.00395240077851249,"yellow"
"scl_gloms_hc2_feat54",0.00394502187657759,"blue"
"scl_gloms_hc3_feat10",0.00391863269511989,"green"
"scl_gloms_hc1_feat7",0.00378669080772751,"grey"
"scl_gloms_hc3_feat13",0.00330387617436764,"grey"
"scl_gloms_hc2_feat16",0.00307358038493893,"grey"
"scl_gloms_hc2_feat14",0.00301339085746631,"grey"
"scl_gloms_hc3_feat12",0.00278632000862938,"yellow"
"scl_gloms_hc2_feat17",0.0026700219166156,"grey"
"scl_gloms_hc2_feat13",0.00243418517331953,"grey"
"scl_gloms_hc3_feat54",0.00238468247666964,"yellow"
"scl_gloms_hc3_feat56",0.00213634939578054,"yellow"
"scl_gloms_hc4_feat52",0.00125234389518842,"turquoise"
"scl_gloms_hc4_feat20",0.000786045185298307,"turquoise"
"scl_gloms_hc4_feat11",0.000706729265206514,"turquoise"
"scl_gloms_hc4_feat10",0.000452515481300739,"turquoise"
