"feature_name","variable_importance","module_membership"
"glomeruli_hc2_feat26",0.00654461121444295,"grey60"
"glomeruli_hc2_feat5",0.00602332340356198,"grey"
"arteries_hc1_feat25",0.00568334946939002,"grey"
"tubules_hc3_feat59",0.00508012882317624,"black"
"glomeruli_hc2_feat4",0.00427916777826596,"grey"
"arteries_hc1_feat49",0.00404647141495672,"turquoise"
"glomeruli_hc2_feat8",0.00394329882241736,"grey"
"glomeruli_hc2_feat7",0.00369207829417441,"grey"
"arteries_hc1_feat24",0.00366204258812954,"salmon"
"arteries_hc1_feat20",0.00366154183361375,"salmon"
"tubules_hc1_feat48",0.00354174397824099,"turquoise"
"glomeruli_hc2_feat23",0.00347828712569141,"grey60"
"glomeruli_hc3_feat47",0.00329678156106035,"turquoise"
"arteries_hc1_feat27",0.00298525206407463,"salmon"
"tubules_hc3_feat5",0.00289846687879973,"grey"
"glomeruli_hc2_feat13",0.00274327450224204,"grey"
"glomeruli_hc4_feat55",0.00268829671648734,"purple"
"tubules_hc2_feat47",0.00266280479452982,"turquoise"
"tubules_hc3_feat49",0.00261177761619436,"turquoise"
"glomeruli_hc1_feat25",0.00256986674571913,"grey"
"glomeruli_hc3_feat50",0.00255075447610295,"green"
"tubules_hc2_feat10",0.00244024935467911,"turquoise"
"glomeruli_hc2_feat47",0.00242408671927281,"turquoise"
"glomeruli_hc4_feat50",0.00242170328148895,"purple"
"glomeruli_hc2_feat22",0.0024200788720668,"grey"
"arteries_hc1_feat48",0.00236735604265609,"turquoise"
"glomeruli_hc3_feat49",0.00235819765964133,"green"
"glomeruli_hc2_feat25",0.00235426335172977,"grey"
"tubules_hc1_feat17",0.00226370631913681,"grey"
"arteries_hc2_feat2",0.00225606935373128,"cyan"
"scl_gloms_hc1_feat17",0.00222021228273052,"grey"
"glomeruli_hc1_feat47",0.00214206180605152,"turquoise"
"tubules_hc2_feat5",0.00214005940229687,"grey"
"tubules_hc3_feat58",0.002106379316515,"turquoise"
"arteries_hc2_feat6",0.00208365554593367,"cyan"
"tubules_hc3_feat4",0.00203773031289022,"grey"
"tubules_hc1_feat25",0.00202873179624352,"grey"
"glomeruli_hc1_feat22",0.00200446796188646,"grey"
"arteries_hc2_feat10",0.00199521291943971,"turquoise"
"tubules_hc3_feat7",0.00198696112115083,"grey"
"glomeruli_hc2_feat14",0.00195514856857165,"grey"
"glomeruli_hc3_feat3",0.00194721172735311,"green"
"glomeruli_hc4_feat4",0.00186078921162027,"grey"
"glomeruli_hc2_feat20",0.0018602399513724,"royalblue"
"arteries_hc1_feat2",0.00185812537843254,"turquoise"
"arteries_hc1_feat23",0.001827237758403,"grey"
"arteries_hc1_feat52",0.00182396347745492,"turquoise"
"arteries_hc1_feat6",0.00181794088039294,"turquoise"
"tubules_hc2_feat25",0.00180528301753856,"grey"
"tubules_hc3_feat18",0.00177405569593078,"turquoise"
"glomeruli_hc4_feat3",0.0017674582620117,"purple"
"tubules_hc2_feat4",0.00174775184364402,"grey"
"arteries_hc2_feat49",0.00170060338403083,"cyan"
"tubules_hc1_feat14",0.00163708756669474,"grey"
"glomeruli_hc2_feat54",0.00163046047730666,"lightgreen"
"tubules_hc3_feat15",0.00162587782793779,"turquoise"
"glomeruli_hc1_feat8",0.00159105205245231,"grey"
"glomeruli_hc3_feat19",0.00158393056151984,"green"
"tubules_hc3_feat22",0.00157032547688658,"grey"
"tubules_hc2_feat12",0.00156071659203149,"lightcyan"
"tubules_hc2_feat22",0.00155878927834217,"grey"
"tubules_hc1_feat13",0.00155491712302461,"grey"
"glomeruli_hc4_feat48",0.00153658789321389,"turquoise"
"arteries_hc1_feat17",0.00151583753364898,"grey"
"glomeruli_hc1_feat56",0.00151545157601997,"pink"
"glomeruli_hc2_feat6",0.00148103063628562,"royalblue"
"arteries_hc2_feat56",0.00142166994156735,"red"
"tubules_hc1_feat59",0.00141471595516205,"turquoise"
"tubules_hc1_feat10",0.0013821584754281,"turquoise"
"glomeruli_hc3_feat5",0.00136663356731957,"grey"
"tubules_hc1_feat23",0.00134535977384437,"grey"
"glomeruli_hc4_feat8",0.00133249968789012,"grey"
"glomeruli_hc3_feat22",0.00130370561439221,"grey"
"tubules_hc2_feat13",0.00127343439686731,"grey"
"tubules_hc2_feat26",0.00125643179600811,"grey"
"tubules_hc1_feat4",0.00122197750512506,"grey"
"glomeruli_hc4_feat5",0.0012208431581291,"grey"
"tubules_hc2_feat16",0.00120844573265366,"grey"
"tubules_hc2_feat18",0.00120663397570286,"turquoise"
"tubules_hc3_feat24",0.00119142677650935,"black"
"scl_gloms_hc2_feat3",0.0011717792463866,"brown"
"tubules_hc1_feat16",0.00116877674996105,"grey"
"tubules_hc1_feat9",0.00114954744037295,"turquoise"
"scl_gloms_hc1_feat14",0.00111750489903152,"grey"
"arteries_hc1_feat1",0.00104538790508908,"turquoise"
"tubules_hc4_feat59",0.00102644022734224,"magenta"
"tubules_hc2_feat3",0.000861066698263206,"lightcyan"
"arteries_hc2_feat55",0.00085829400139062,"red"
"arteries_hc2_feat50",0.000812449038208084,"red"
"scl_gloms_hc1_feat5",0.00078609800985411,"grey"
