"feature_name","variable_importance","module_membership"
"T_cluster8_feat77",0.00666850074606466,"turquoise"
"A_cluster2_feat23",0.004837983126382,"grey"
"T_cluster6_feat48",0.00461674032639755,"turquoise"
"T_cluster6_feat77",0.00449624409639583,"turquoise"
"T_cluster8_feat17",0.00422372815570934,"grey"
"A_cluster2_feat26",0.00410748865175505,"grey"
"T_cluster6_feat51",0.00401632667929871,"turquoise"
"T_cluster6_feat19",0.00390234969128347,"turquoise"
"G_cluster6_feat49",0.00386958683182206,"turquoise"
"T_cluster6_feat17",0.0038084509371891,"grey"
"T_cluster8_feat49",0.00371203865443979,"turquoise"
"T_cluster8_feat48",0.00362660229038717,"turquoise"
"T_cluster8_feat76",0.00361700675243199,"turquoise"
"T_cluster8_feat25",0.00359030143161219,"grey"
"T_cluster8_feat5",0.00350746850625848,"grey"
"T_cluster4_feat51",0.00344778090251199,"turquoise"
"T_cluster8_feat66",0.00323571938674235,"turquoise"
"T_cluster4_feat53",0.00319888776108312,"turquoise"
"G_cluster6_feat46",0.00314775875620016,"grey60"
"T_cluster6_feat53",0.00306214065570823,"turquoise"
"T_cluster6_feat14",0.00301278346131975,"grey"
"T_cluster6_feat66",0.00301082075355068,"turquoise"
"T_cluster8_feat4",0.00299895080322718,"grey"
"T_cluster4_feat52",0.00288783943652294,"turquoise"
"T_cluster8_feat14",0.0028322889259268,"grey"
"T_cluster8_feat67",0.00282368892836522,"yellow"
"A_cluster2_feat58",0.0027898546584138,"grey"
"G_cluster6_feat70",0.00278707239529721,"turquoise"
"T_cluster8_feat65",0.00271114823587333,"turquoise"
"T_cluster6_feat58",0.00262193331653452,"grey"
"G_cluster2_feat7",0.00261584766063713,"grey"
"T_cluster8_feat47",0.00261253747359792,"turquoise"
"A_cluster2_feat59",0.00261008801426123,"turquoise"
"T_cluster6_feat26",0.00260841159295554,"grey"
"A_cluster2_feat68",0.00260300589796484,"turquoise"
"T_cluster6_feat75",0.00255579776652164,"turquoise"
"T_cluster4_feat46",0.00239840568621437,"grey60"
"T_cluster8_feat19",0.00239201443570708,"turquoise"
"T_cluster4_feat57",0.00239056887058336,"yellow"
"T_cluster8_feat46",0.00235198470707934,"grey60"
"G_cluster2_feat8",0.00234666712345562,"grey"
"T_cluster8_feat75",0.00233546359232588,"turquoise"
"T_cluster6_feat52",0.00232919744449589,"turquoise"
"T_cluster6_feat76",0.00226445314842334,"turquoise"
"T_cluster4_feat56",0.00222505747746791,"turquoise"
"T_cluster6_feat67",0.00219831423841603,"yellow"
"T_cluster4_feat60",0.00217948511679561,"yellow"
"T_cluster6_feat4",0.00214452970937453,"grey"
"T_cluster8_feat51",0.00213281513367284,"turquoise"
"T_cluster6_feat65",0.00210799314307749,"turquoise"
"T_cluster6_feat5",0.00206137143059998,"grey"
"T_cluster4_feat62",0.00202103421269845,"grey60"
"A_cluster2_feat48",0.00199729194505085,"turquoise"
"T_cluster4_feat67",0.0019701043899787,"turquoise"
"A_cluster5_feat63",0.00195261320797147,"magenta"
"G_cluster5_feat54",0.00194381470403649,"blue"
"T_cluster8_feat53",0.00193692692943276,"turquoise"
"G_cluster6_feat58",0.00191988721995378,"grey"
"T_cluster8_feat52",0.00187983600926835,"turquoise"
"T_cluster4_feat54",0.00187456659917657,"grey60"
"T_cluster4_feat50",0.00186062784935219,"turquoise"
"T_cluster8_feat58",0.00185212851170868,"grey"
"T_cluster6_feat16",0.00183758718251039,"grey"
"T_cluster4_feat17",0.00179041119392718,"grey"
"T_cluster6_feat13",0.00178017222120208,"grey"
"G_cluster7_feat2",0.00176128299512913,"green"
"G_cluster6_feat71",0.00173703836137067,"turquoise"
"T_cluster4_feat48",0.00173024665606834,"turquoise"
"T_cluster6_feat24",0.00168487540096426,"turquoise"
"T_cluster6_feat54",0.00167828082486736,"grey60"
"T_cluster8_feat55",0.00165326574647177,"turquoise"
"G_cluster1_feat71",0.00162858768206431,"turquoise"
"T_cluster8_feat13",0.00160780592513978,"grey"
"A_cluster5_feat21",0.00152920547284917,"magenta"
"G_cluster2_feat63",0.00144951031310559,"brown"
"G_cluster6_feat14",0.00143927242471843,"grey"
"T_cluster8_feat7",0.00143128456411134,"grey"
"G_cluster8_feat77",0.00134774918564017,"yellow"
"T_cluster6_feat62",0.00134330856491124,"turquoise"
"T_cluster6_feat25",0.0013025139977326,"grey"
"T_cluster4_feat58",0.00130138434497399,"grey"
"T_cluster4_feat23",0.00124836175381238,"grey"
"T_cluster5_feat77",0.00122846884107856,"midnightblue"
"G_cluster1_feat1",0.00114737075065587,"turquoise"
"G_cluster8_feat5",0.00106277553106842,"grey"
"T_cluster4_feat75",0.00106184651812056,"turquoise"
"G_cluster7_feat6",0.00102638742129013,"green"
"G_cluster7_feat1",0.000972606595958784,"green"
"T_cluster8_feat16",0.000965306860919155,"grey"
"G_cluster7_feat66",0.000963148715904069,"green"
"T_cluster8_feat60",0.000925509519449835,"yellow"
"G_cluster2_feat73",0.000899189583109873,"brown"
"G_cluster8_feat22",0.000818105651907933,"grey"
"G_cluster2_feat53",0.00081549406757592,"brown"
"G_cluster7_feat67",0.000744721287343291,"green"
"G_cluster2_feat54",0.000713147143240591,"brown"
"T_cluster5_feat21",0.000617603201186129,"midnightblue"
"G_cluster6_feat8",0.000590326849367503,"grey"
"G_cluster1_feat47",0.000582232351712756,"turquoise"
"G_cluster8_feat7",-2.95516374042065e-06,"grey"
