"feature_name","variable_importance","module_membership"
"T_cluster4_feat53",0.00482363686703725,"blue"
"T_cluster8_feat4",0.00437299276345459,"grey"
"Recipient_weight_Kg",0.00410544491757454,"grey"
"T_cluster4_feat57",0.00392555222403984,"cyan"
"T_cluster8_feat67",0.00367112142168078,"cyan"
"A_cluster2_feat58",0.00347553506426951,"grey"
"T_cluster4_feat41",0.0034119635994636,"turquoise"
"T_cluster6_feat17",0.00335252475913836,"grey"
"T_cluster8_feat76",0.0031560723103309,"turquoise"
"G_cluster7_feat2",0.00308877079908189,"salmon"
"T_cluster8_feat77",0.00296363892661144,"turquoise"
"G_cluster2_feat36",0.00296153928550535,"brown"
"G_cluster8_feat6",0.00293016706936588,"white"
"G_cluster2_feat34",0.00277801287557385,"brown"
"G_cluster2_feat73",0.00276476153710196,"brown"
"T_cluster4_feat52",0.00262653643602568,"turquoise"
"T_cluster6_feat54",0.00255058897931794,"blue"
"G_cluster6_feat70",0.00245169644285302,"skyblue"
"T_cluster6_feat48",0.00237289117414576,"turquoise"
"A_cluster5_feat21",0.00224721859654315,"grey60"
"T_cluster4_feat24",0.00207645852606733,"turquoise"
"T_cluster4_feat51",0.0020551378988301,"blue"
"T_cluster6_feat58",0.00202735470107735,"grey"
"A_cluster2_feat23",0.00201757871834069,"grey"
"T_cluster6_feat1",0.00193815166525036,"grey"
"T_cluster8_feat56",0.00192876261521961,"turquoise"
"T_cluster6_feat4",0.00182828777794745,"grey"
"T_cluster8_feat55",0.00181948977365051,"cyan"
"T_cluster4_feat60",0.00176695158311982,"cyan"
"T_cluster8_feat58",0.00175608828825949,"grey"
"A_cluster5_feat63",0.00174429004835986,"grey60"
"T_cluster6_feat13",0.00165582233302538,"grey"
"G_cluster2_feat69",0.0016362296240345,"brown"
"T_cluster4_feat15",0.00161938313542237,"cyan"
"T_cluster8_feat46",0.00161707838845259,"blue"
"T_cluster8_feat11",0.00157548042173229,"cyan"
"T_cluster6_feat2",0.00148239223335501,"turquoise"
"G_cluster6_feat42",0.00144118543560813,"skyblue"
"V_cluster3_feat60",0.00138132258260224,"black"
"T_cluster6_feat51",0.00135936918914798,"turquoise"
"T_cluster8_feat28",0.00134825153383794,"blue"
"V_cluster1_feat72",0.00132918512366187,"greenyellow"
"T_cluster5_feat13",0.00131427424281139,"grey"
"T_cluster8_feat48",0.00129611307033912,"turquoise"
"G_cluster2_feat54",0.00129208846708847,"brown"
"T_cluster8_feat54",0.00121581095835333,"blue"
"T_cluster4_feat26",0.00120001097745,"grey"
"T_cluster6_feat16",0.0011956894731285,"grey"
"G_cluster2_feat30",0.00116610107341081,"brown"
"T_cluster8_feat16",0.00114966020185371,"grey"
"G_cluster6_feat30",0.00113912164516372,"blue"
"eGFR_CKD_EPI_12M",0.00112757769714291,"grey"
"T_cluster4_feat29",0.00106382126971546,"blue"
"G_cluster8_feat38",0.00103204354972648,"grey"
"G_cluster6_feat8",0.00101505750287082,"grey"
"T_cluster4_feat56",0.000999270059799296,"turquoise"
"G_cluster2_feat21",0.000990462803086871,"brown"
"A_cluster2_feat10",0.000990118251825011,"cyan"
"G_cluster2_feat59",0.0008418488836414,"brown"
"T_cluster8_feat36",0.000811965811965812,"turquoise"
"G_cluster6_feat9",0.000790287020620075,"skyblue"
"G_cluster2_feat51",0.000555520407619103,"brown"
"Donor_Sex_0_Male_1_Female",0.000465973560501169,"grey"
"G_cluster1_feat74",0.000459484722762656,"saddlebrown"
"G_cluster8_feat35",0.000368767387839991,"white"
"Donor_height",0.000349907411662942,"grey"
"T_cluster4_feat16",0.000257734288718893,"grey"
"G_cluster7_feat6",0.000182985510424535,"salmon"
"G_cluster3_feat1",0.000143931733921623,"pink"
"V_cluster3_feat68",0.000143900499827896,"black"
"G_cluster3_feat46",0.000111111111111111,"pink"
"Donor_Diabetes_History",0,"grey"
"Donation_after_Cardiac_Death_donor",0,"grey"
"G_cluster3_feat6",0,"pink"
"G_cluster4_feat1",0,"grey"
"G_cluster4_feat2",0,"darkturquoise"
"G_cluster4_feat3",0,"darkturquoise"
"G_cluster4_feat4",0,"grey"
"G_cluster4_feat5",0,"grey"
"G_cluster4_feat6",0,"darkturquoise"
"G_cluster4_feat7",0,"grey"
"G_cluster4_feat8",0,"grey"
"G_cluster4_feat9",0,"darkturquoise"
"G_cluster4_feat10",0,"darkturquoise"
"G_cluster4_feat11",0,"darkturquoise"
"G_cluster4_feat12",0,"darkturquoise"
"G_cluster4_feat13",0,"grey"
"G_cluster4_feat14",0,"grey"
"G_cluster4_feat15",0,"darkturquoise"
"G_cluster4_feat16",0,"grey"
"T_cluster6_feat41",-1.10167171172157e-05,"turquoise"
"G_cluster8_feat77",-2.77777777777778e-05,"darkolivegreen"
"A_cluster2_feat11",-0.000211628123043324,"cyan"
"T_cluster6_feat7",-0.000455016955486126,"grey"
"G_cluster8_feat26",-0.000466198485100186,"grey"
"T_cluster5_feat9",-0.000592214476602055,"darkorange"
"G_cluster6_feat23",-0.000592886788008739,"grey"
"V_cluster3_feat61",-0.000602956564016023,"black"
"G_cluster8_feat73",-0.000719134408074949,"white"
"A_cluster1_feat33",-0.000846533216745255,"lightgreen"
