"feature_name","variable_importance","module_membership"
"T_cluster6_feat51",0.00576781657073757,"turquoise"
"T_cluster8_feat77",0.00549774532489007,"turquoise"
"G_cluster6_feat70",0.00460089137633542,"turquoise"
"T_cluster8_feat14",0.00438577958389042,"grey"
"T_cluster6_feat48",0.00402703091378583,"turquoise"
"T_cluster8_feat75",0.00397198559507152,"turquoise"
"T_cluster6_feat17",0.00370899510454572,"grey"
"T_cluster8_feat76",0.00359402373190664,"turquoise"
"T_cluster8_feat17",0.00356776014629341,"grey"
"T_cluster6_feat14",0.00354507559690277,"grey"
"T_cluster8_feat5",0.00352427836598451,"grey"
"T_cluster6_feat66",0.00342664943394217,"turquoise"
"T_cluster6_feat53",0.00340714117713052,"turquoise"
"A_cluster2_feat26",0.00337572079937165,"grey"
"G_cluster6_feat49",0.00334201011570877,"turquoise"
"G_cluster2_feat7",0.00332996657985728,"grey"
"A_cluster2_feat23",0.00331738106877792,"grey"
"T_cluster8_feat25",0.0031640709383802,"grey"
"G_cluster1_feat71",0.00310449032623493,"turquoise"
"T_cluster8_feat65",0.00306064350441753,"turquoise"
"T_cluster8_feat22",0.00304811349114467,"grey"
"T_cluster4_feat52",0.00302252985328961,"turquoise"
"T_cluster8_feat66",0.00292173959331955,"turquoise"
"A_cluster2_feat68",0.00290410247245028,"turquoise"
"T_cluster6_feat19",0.0028237471889058,"turquoise"
"T_cluster6_feat5",0.00280103441853365,"grey"
"G_cluster1_feat65",0.0027596867178196,"turquoise"
"T_cluster8_feat13",0.00272020687058495,"grey"
"T_cluster4_feat75",0.00261984764222154,"turquoise"
"G_cluster1_feat68",0.00260746526612763,"turquoise"
"T_cluster8_feat16",0.0025482529019082,"grey"
"T_cluster6_feat72",0.00250260813940971,"turquoise"
"T_cluster4_feat48",0.00248057159601713,"turquoise"
"A_cluster2_feat73",0.00244607379046597,"turquoise"
"T_cluster6_feat75",0.00242262177455447,"turquoise"
"G_cluster8_feat77",0.00238294569679572,"green"
"T_cluster6_feat13",0.0023735319360813,"grey"
"A_cluster2_feat16",0.00236346968699149,"grey"
"A_cluster2_feat59",0.00235810414146465,"turquoise"
"G_cluster2_feat8",0.00235591303940895,"grey"
"G_cluster1_feat55",0.00233757532336203,"turquoise"
"T_cluster6_feat58",0.00229937500043935,"grey"
"G_cluster5_feat54",0.00228163838558288,"blue"
"T_cluster6_feat26",0.00225706905942303,"grey"
"T_cluster4_feat20",0.00225507329717918,"turquoise"
"T_cluster4_feat66",0.00224860399822587,"turquoise"
"T_cluster8_feat58",0.00224173516387903,"grey"
"T_cluster8_feat49",0.00219987742740575,"turquoise"
"A_cluster2_feat58",0.00219083155068737,"grey"
"T_cluster8_feat70",0.00213254065991288,"turquoise"
"T_cluster6_feat67",0.00211890871131661,"green"
"T_cluster8_feat67",0.00209037149977895,"green"
"G_cluster1_feat73",0.0020866271303746,"turquoise"
"T_cluster8_feat4",0.00205065554543817,"grey"
"A_cluster2_feat18",0.00204949016545375,"green"
"T_cluster4_feat46",0.00197939368174476,"orange"
"A_cluster2_feat22",0.0019767142416164,"grey"
"T_cluster4_feat53",0.00185771588317137,"turquoise"
"T_cluster4_feat56",0.00178563685824982,"turquoise"
"T_cluster6_feat22",0.00177337658787148,"grey"
"A_cluster2_feat76",0.00177289220845218,"turquoise"
"A_cluster2_feat64",0.00175198341694657,"turquoise"
"A_cluster2_feat48",0.00172899731080889,"turquoise"
"T_cluster6_feat25",0.00169460181984438,"grey"
"T_cluster8_feat8",0.00168633903207323,"grey"
"G_cluster8_feat20",0.00168451560485094,"turquoise"
"T_cluster8_feat51",0.0016365910688342,"turquoise"
"T_cluster6_feat16",0.00162419563002359,"grey"
"T_cluster8_feat46",0.0016012479741088,"orange"
"T_cluster6_feat54",0.00158664723738931,"orange"
"G_cluster7_feat6",0.00154559148163,"yellow"
"G_cluster2_feat63",0.00153370310887928,"brown"
"G_cluster6_feat74",0.00152237805175125,"turquoise"
"G_cluster6_feat73",0.00147252425853907,"turquoise"
"G_cluster1_feat75",0.00143589166714475,"turquoise"
"G_cluster8_feat22",0.00134916257273432,"grey"
"T_cluster6_feat20",0.00129633745910902,"turquoise"
"A_cluster2_feat10",0.00127453365262692,"green"
"A_cluster5_feat21",0.00127445816772174,"greenyellow"
"G_cluster2_feat59",0.00124176153001149,"brown"
"T_cluster6_feat8",0.00118739154402493,"grey"
"T_cluster6_feat46",0.00116896949412305,"orange"
"G_cluster2_feat49",0.00116455360563712,"brown"
"G_cluster8_feat26",0.00115907620903966,"grey"
"T_cluster5_feat58",0.00111735506066407,"grey"
"T_cluster5_feat66",0.00110780345707892,"darkgrey"
"G_cluster7_feat2",0.00109988718278947,"yellow"
"T_cluster6_feat7",0.00104946972953631,"grey"
"G_cluster6_feat5",0.00103072308410999,"grey"
"G_cluster1_feat17",0.000998482712768033,"grey"
"T_cluster6_feat23",0.000973767195260734,"grey"
"T_cluster5_feat68",0.000955677175874659,"white"
"G_cluster6_feat59",0.000939722823920708,"turquoise"
"T_cluster4_feat8",0.000830476648868419,"grey"
"A_cluster5_feat63",0.000793583485540326,"greenyellow"
"G_cluster2_feat51",0.000708953089930268,"brown"
"G_cluster2_feat23",0.000525481999930494,"grey"
"G_cluster1_feat8",0.000504827135543004,"grey"
"G_cluster7_feat66",0.000454033650439493,"yellow"
"G_cluster6_feat69",0.000197220772715928,"turquoise"
