"feature_name","variable_importance","module_membership"
"Donor_age",41.68170689525,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",21.7593786491124,"grey"
"A_cluster2_feat60",13.6478942131544,"cyan"
"A_cluster2_feat15",11.9558717265068,"cyan"
"A_cluster2_feat18",11.4047838167886,"cyan"
"A_cluster2_feat11",9.59725292354397,"cyan"
"A_cluster2_feat57",9.02393319153031,"cyan"
"A_cluster2_feat17",8.82702223693294,"grey"
"A_cluster2_feat55",8.494868428326,"cyan"
"A_cluster2_feat61",8.48177485142099,"midnightblue"
"A_cluster2_feat73",7.99738167930269,"midnightblue"
"A_cluster2_feat10",7.57201812869438,"cyan"
"A_cluster1_feat75",7.52263342889368,"red"
"A_cluster1_feat53",6.79806855264958,"magenta"
"A_cluster2_feat46",6.7824158988238,"cyan"
"A_cluster2_feat50",5.87559953906236,"cyan"
"A_cluster2_feat64",5.61820053715016,"midnightblue"
"A_cluster2_feat14",5.53903982625033,"grey"
"A_cluster1_feat70",5.45369342226963,"magenta"
"A_cluster2_feat16",3.94090822659534,"grey"
"A_cluster2_feat7",3.77806208739672,"grey"
"Donor_height",3.6507771648117,"grey"
"A_cluster2_feat5",3.37884451550153,"grey"
"Expanded_criteria_donor",3.21551195064355,"grey"
"A_cluster2_feat58",3.11840788353533,"grey"
"A_cluster1_feat17",2.90978310100009,"grey"
"A_cluster2_feat13",2.85734579166602,"grey"
"A_cluster2_feat4",2.45346230241367,"grey"
"A_cluster1_feat14",2.42388947158989,"grey"
"A_cluster2_feat8",2.20869600688252,"grey"
"A_cluster1_feat74",1.69286918135353,"red"
"A_cluster1_feat49",1.65370907419107,"magenta"
"A_cluster2_feat26",1.6079837963285,"grey"
"A_cluster2_feat74",1.58236819902428,"red"
"A_cluster1_feat7",1.29927521006325,"grey"
"V_cluster5_feat77",0.981491657268664,"brown"
"A_cluster1_feat25",0.905133423477285,"grey"
"A_cluster1_feat4",0.733201640014369,"grey"
"V_cluster6_feat52",0.560153343277059,"yellow"
"V_cluster5_feat57",0.535244171574235,"brown"
"V_cluster5_feat50",0.426528096819145,"brown"
"A_cluster5_feat59",0.402169431311718,"green"
"A_cluster4_feat72",0.377631796322252,"black"
"V_cluster6_feat46",0.316570250577837,"yellow"
"A_cluster4_feat20",0.175731674573043,"black"
"A_cluster4_feat25",0.160719050193217,"grey"
"A_cluster4_feat64",0.126208837599302,"black"
"A_cluster5_feat63",0.0324542637271434,"green"
"A_cluster1_feat52",0.00707962566458091,"magenta"
"A_cluster5_feat73",0.00201575392106448,"green"
"A_cluster3_feat1",0,"grey"
"A_cluster3_feat2",0,"tan"
"A_cluster3_feat3",0,"tan"
"A_cluster3_feat4",0,"grey"
"A_cluster3_feat5",0,"grey"
"A_cluster3_feat6",0,"tan"
"A_cluster3_feat7",0,"grey"
"A_cluster3_feat8",0,"grey"
"A_cluster3_feat9",0,"tan"
"A_cluster3_feat10",0,"tan"
"A_cluster3_feat11",0,"tan"
"A_cluster3_feat12",0,"tan"
"A_cluster3_feat13",0,"grey"
"A_cluster3_feat14",0,"grey"
"A_cluster3_feat15",0,"tan"
"A_cluster3_feat16",0,"grey"
"A_cluster3_feat17",0,"grey"
"A_cluster3_feat18",0,"tan"
"A_cluster3_feat19",0,"tan"
"A_cluster3_feat20",0,"tan"
"A_cluster3_feat22",0,"grey"
"A_cluster3_feat23",0,"grey"
"A_cluster3_feat25",0,"grey"
"A_cluster3_feat26",0,"grey"
"A_cluster3_feat58",0,"grey"
"A_cluster3_feat60",0,"grey"
"A_cluster3_feat62",0,"grey"
"A_cluster6_feat1",0,"grey"
"A_cluster6_feat2",0,"red"
"A_cluster6_feat3",0,"red"
"A_cluster6_feat4",0,"grey"
"A_cluster6_feat5",0,"grey"
"A_cluster6_feat6",0,"red"
"A_cluster6_feat7",0,"grey"
"A_cluster6_feat8",0,"grey"
"A_cluster6_feat9",0,"red"
"A_cluster6_feat10",0,"red"
"A_cluster6_feat11",0,"red"
"A_cluster6_feat12",0,"red"
"A_cluster6_feat13",0,"grey"
"A_cluster6_feat14",0,"grey"
"A_cluster5_feat69",-0.00162898307995621,"green"
"V_cluster5_feat52",-0.0364257710461879,"brown"
"V_cluster5_feat55",-0.0367558765490321,"brown"
"V_cluster2_feat67",-0.0529861460592427,"blue"
"A_cluster5_feat76",-0.0875404701942587,"green"
"A_cluster5_feat50",-0.112090326874565,"green"
"V_cluster2_feat55",-0.220928283879393,"blue"
"V_cluster3_feat27",-0.252022715037097,"turquoise"
"V_cluster1_feat76",-0.465857492752495,"purple"
