"feature_name","variable_importance","module_membership"
"Donor_age",39.6695938705305,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",25.8743467804173,"grey"
"A_cluster2_feat60",13.350417575456,"red"
"A_cluster2_feat17",11.7952793950546,"grey"
"A_cluster2_feat11",10.0129761784014,"red"
"A_cluster2_feat18",9.77543277268991,"red"
"A_cluster2_feat57",9.05538912076403,"red"
"A_cluster2_feat50",8.45240682750185,"red"
"A_cluster2_feat15",8.31882617411132,"red"
"Donor_height",8.08142298895562,"grey"
"A_cluster1_feat75",7.23642398790427,"blue"
"A_cluster2_feat68",7.09780849902556,"black"
"A_cluster2_feat64",6.15766866634819,"black"
"A_cluster2_feat46",5.48866643908896,"red"
"A_cluster2_feat61",5.48060826084069,"black"
"A_cluster2_feat55",5.31097598292385,"red"
"A_cluster1_feat70",5.05661823643548,"yellow"
"A_cluster1_feat53",4.56016960736295,"yellow"
"A_cluster2_feat16",4.44030232468352,"grey"
"A_cluster2_feat10",4.19640856688202,"red"
"A_cluster2_feat13",4.13176219379861,"grey"
"A_cluster1_feat51",3.88458550253273,"yellow"
"A_cluster2_feat74",3.81964796796859,"blue"
"A_cluster2_feat7",3.78177275189317,"grey"
"A_cluster2_feat14",3.67504053967663,"grey"
"A_cluster2_feat4",3.17559962644826,"grey"
"Expanded_criteria_donor",3.10673332615929,"grey"
"A_cluster2_feat8",2.64788091376393,"grey"
"A_cluster2_feat25",2.62473581895696,"grey"
"A_cluster2_feat5",2.4289374048122,"grey"
"A_cluster1_feat49",1.87117000476555,"yellow"
"A_cluster2_feat26",1.42812708730233,"grey"
"A_cluster1_feat74",1.25739698992152,"blue"
"A_cluster1_feat8",1.0273222513944,"grey"
"A_cluster1_feat48",0.779534403173797,"yellow"
"A_cluster1_feat7",0.764977720510246,"grey"
"A_cluster1_feat14",0.739479647083986,"grey"
"A_cluster2_feat75",0.735528883345538,"blue"
"A_cluster1_feat17",0.694332851359538,"grey"
"A_cluster1_feat5",0.545557282133221,"grey"
"A_cluster5_feat69",0.39266104518821,"turquoise"
"A_cluster1_feat55",0.36502490355692,"yellow"
"A_cluster5_feat72",0.310878628934712,"turquoise"
"A_cluster1_feat25",0.288226521741175,"grey"
"A_cluster5_feat61",0.143241709431725,"turquoise"
"A_cluster4_feat61",0.0945829967205849,"brown"
"A_cluster4_feat46",0.0732279288235498,"brown"
"A_cluster4_feat74",0.0724986507319042,"brown"
"A_cluster4_feat72",0.0710821638719483,"brown"
"A_cluster5_feat73",0.0670121856132069,"turquoise"
"A_cluster5_feat68",0.0523549382878261,"turquoise"
"A_cluster4_feat54",0.0444683268850369,"brown"
"A_cluster4_feat27",0.0356760770426332,"brown"
"A_cluster1_feat13",0.0101771345741395,"grey"
"A_cluster5_feat60",0.00221251292746944,"turquoise"
"A_cluster4_feat20",0.000943302031558839,"brown"
"A_cluster3_feat2",0,"green"
"A_cluster3_feat3",0,"green"
"A_cluster3_feat6",0,"green"
"A_cluster3_feat9",0,"green"
"A_cluster3_feat10",0,"green"
"A_cluster3_feat11",0,"green"
"A_cluster3_feat12",0,"green"
"A_cluster3_feat15",0,"green"
"A_cluster3_feat18",0,"green"
"A_cluster3_feat19",0,"green"
"A_cluster3_feat20",0,"green"
"A_cluster6_feat2",0,"blue"
"A_cluster6_feat3",0,"blue"
"A_cluster6_feat6",0,"blue"
"A_cluster6_feat9",0,"blue"
"A_cluster6_feat10",0,"blue"
"A_cluster6_feat11",0,"blue"
"A_cluster6_feat12",0,"blue"
"A_cluster6_feat15",0,"blue"
"A_cluster4_feat64",-0.00285187182907676,"brown"
"A_cluster4_feat48",-0.00432878744668859,"brown"
"A_cluster5_feat71",-0.00958605902071128,"turquoise"
"A_cluster4_feat50",-0.0179617771704331,"brown"
"A_cluster5_feat59",-0.0238744280325046,"turquoise"
"A_cluster5_feat63",-0.0363775617469819,"turquoise"
"A_cluster5_feat3",-0.0487310663034063,"turquoise"
"A_cluster4_feat71",-0.0532599004281853,"brown"
"A_cluster1_feat4",-0.115029888502723,"grey"
"A_cluster5_feat76",-0.16640122714707,"turquoise"
"A_cluster1_feat71",-0.212427677509142,"yellow"
"A_cluster5_feat15",-0.229140447870908,"turquoise"
"A_cluster1_feat52",-0.238524814779535,"yellow"
"A_cluster1_feat9",-0.389814005580455,"yellow"
