"feature_name","variable_importance","module_membership"
"Donor_age",34.5881540176499,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",22.3569652493679,"grey"
"G_cluster6_feat3",9.18861455996316,"turquoise"
"G_cluster1_feat61",9.01593952867443,"turquoise"
"G_cluster1_feat18",6.94153058928782,"turquoise"
"Expanded_criteria_donor",6.2036156590543,"grey"
"A_cluster2_feat15",5.95629238971005,"turquoise"
"G_cluster6_feat65",5.85197921146807,"turquoise"
"G_cluster6_feat13",5.73907698983346,"grey"
"A_cluster2_feat18",5.15639822165469,"turquoise"
"A_cluster1_feat70",5.09092510340728,"tan"
"G_cluster6_feat61",5.07344576906897,"turquoise"
"G_cluster6_feat71",4.92732776453258,"turquoise"
"G_cluster1_feat52",4.68615402663643,"turquoise"
"G_cluster1_feat75",4.23339684314023,"turquoise"
"A_cluster2_feat60",4.09984982724869,"turquoise"
"A_cluster2_feat61",3.91946422993661,"lightyellow"
"Donor_height",3.56258833132063,"grey"
"G_cluster6_feat26",3.54421449575283,"grey"
"G_cluster1_feat26",3.46411326138729,"grey"
"G_cluster6_feat75",3.18100426558014,"turquoise"
"G_cluster6_feat23",3.07000639171221,"grey"
"G_cluster6_feat58",3.00384475979405,"grey"
"A_cluster2_feat57",2.9352352700329,"turquoise"
"G_cluster1_feat54",2.90732647939354,"turquoise"
"G_cluster7_feat12",2.88045801313933,"yellow"
"G_cluster6_feat16",2.80146020001435,"grey"
"G_cluster8_feat56",2.75904799652134,"turquoise"
"G_cluster1_feat60",2.70733552941565,"turquoise"
"A_cluster2_feat11",2.63707055395771,"turquoise"
"A_cluster2_feat55",2.59293640058216,"turquoise"
"G_cluster6_feat57",2.47696712577063,"turquoise"
"G_cluster1_feat16",2.466512412338,"grey"
"G_cluster6_feat24",2.46042388712539,"turquoise"
"G_cluster1_feat74",2.45742547385581,"turquoise"
"G_cluster6_feat22",2.44970780277385,"grey"
"A_cluster2_feat69",2.40847492706424,"turquoise"
"G_cluster6_feat20",2.40722014134795,"turquoise"
"A_cluster2_feat10",2.13319220731653,"turquoise"
"G_cluster1_feat11",2.13027200120693,"turquoise"
"G_cluster6_feat70",2.05225540630639,"turquoise"
"A_cluster2_feat68",1.94750673996177,"lightyellow"
"G_cluster7_feat60",1.88288666414296,"yellow"
"A_cluster1_feat75",1.68971024932055,"magenta"
"A_cluster1_feat53",1.64432634207894,"tan"
"Donor_final_creatinine",1.59491812512054,"grey"
"G_cluster6_feat76",1.52920152279595,"turquoise"
"G_cluster1_feat15",1.47791490836467,"turquoise"
"G_cluster7_feat18",1.40954590718156,"yellow"
"G_cluster5_feat58",1.40718711366343,"blue"
"G_cluster1_feat67",1.37746093160204,"turquoise"
"A_cluster2_feat20",1.32528460161922,"turquoise"
"A_cluster2_feat64",1.31901008177982,"lightyellow"
"G_cluster6_feat64",1.11931096295347,"turquoise"
"G_cluster6_feat25",1.07480984354338,"grey"
"G_cluster8_feat65",0.92235015254735,"turquoise"
"G_cluster7_feat11",0.885443479927602,"yellow"
"G_cluster1_feat10",0.807888945274541,"turquoise"
"G_cluster6_feat51",0.681902881635266,"turquoise"
"G_cluster5_feat60",0.623563358229115,"blue"
"A_cluster1_feat48",0.618657288535487,"tan"
"A_cluster2_feat74",0.607174070396482,"magenta"
"A_cluster1_feat47",0.584293831462694,"tan"
"G_cluster6_feat48",0.485383554847175,"turquoise"
"G_cluster7_feat14",0.465263798447338,"grey"
"G_cluster2_feat10",0.447278080718516,"brown"
"A_cluster1_feat14",0.381882116962452,"grey"
"G_cluster7_feat3",0.322506283878226,"yellow"
"A_cluster1_feat4",0.241445962274575,"grey"
"G_cluster7_feat47",0.204977375005273,"yellow"
"G_cluster3_feat56",0.178099311683439,"greenyellow"
"V_cluster3_feat75",0.162279045708413,"green"
"V_cluster5_feat55",0.130438198687687,"black"
"G_cluster3_feat24",0.129857167009874,"greenyellow"
"V_cluster5_feat57",0.113410873813041,"black"
"A_cluster4_feat71",0.0965523566434596,"midnightblue"
"A_cluster4_feat74",0.0724669002446766,"midnightblue"
"G_cluster2_feat52",0.0261817736308826,"brown"
"A_cluster3_feat1",0,"grey"
"A_cluster3_feat2",0,"grey60"
"A_cluster3_feat3",0,"grey60"
"A_cluster3_feat4",0,"grey"
"A_cluster3_feat5",0,"grey"
"A_cluster3_feat6",0,"grey60"
"A_cluster3_feat7",0,"grey"
"A_cluster3_feat8",0,"grey"
"A_cluster3_feat9",0,"grey60"
"A_cluster3_feat10",0,"grey60"
"A_cluster3_feat11",0,"grey60"
"A_cluster4_feat64",-0.0045440184611648,"midnightblue"
"A_cluster4_feat20",-0.0101438204563292,"midnightblue"
"V_cluster5_feat77",-0.0260013739558576,"black"
"V_cluster2_feat51",-0.0801708467580351,"red"
"G_cluster2_feat55",-0.121547602914552,"brown"
"G_cluster5_feat15",-0.135210304410857,"blue"
"G_cluster1_feat3",-0.172026469137415,"turquoise"
"V_cluster6_feat17",-0.209381529522798,"grey"
"V_cluster5_feat61",-0.219398444540282,"black"
"G_cluster7_feat22",-0.292536156311406,"grey"
"A_cluster1_feat49",-0.524601275759338,"tan"
