"feature_name","variable_importance","module_membership"
"Donor_age",33.4814745214121,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",22.5141505196611,"grey"
"G_cluster6_feat3",11.0552315714365,"turquoise"
"Donor_height",8.91059160625574,"grey"
"Expanded_criteria_donor",8.37847711768508,"grey"
"G_cluster1_feat61",7.41680414339188,"turquoise"
"A_cluster2_feat18",6.22580719741947,"turquoise"
"G_cluster1_feat18",5.84178244859492,"turquoise"
"A_cluster2_feat57",5.79242357258659,"turquoise"
"G_cluster6_feat65",4.78109771000996,"turquoise"
"A_cluster2_feat10",4.72262479527229,"turquoise"
"A_cluster1_feat70",4.5779855883458,"magenta"
"G_cluster6_feat61",4.26118357468347,"turquoise"
"A_cluster2_feat15",4.24713307429955,"turquoise"
"G_cluster6_feat22",4.22909052080368,"grey"
"G_cluster6_feat70",3.99358081038451,"turquoise"
"A_cluster2_feat61",3.88116227955489,"greenyellow"
"A_cluster2_feat60",3.81925980465118,"turquoise"
"G_cluster6_feat60",3.80790816485836,"turquoise"
"A_cluster2_feat11",3.69652297384108,"turquoise"
"G_cluster6_feat26",3.60383236385621,"grey"
"G_cluster6_feat23",3.53855253884199,"grey"
"A_cluster1_feat75",3.52237736858001,"green"
"G_cluster6_feat66",3.42928991026851,"turquoise"
"G_cluster1_feat52",3.36857183057061,"turquoise"
"G_cluster1_feat54",3.29122871678114,"turquoise"
"G_cluster6_feat13",3.19756599829892,"grey"
"G_cluster8_feat70",3.16775529292882,"turquoise"
"G_cluster1_feat75",3.04077566909808,"turquoise"
"G_cluster6_feat48",2.87283600107865,"turquoise"
"G_cluster1_feat73",2.85591027013486,"turquoise"
"G_cluster6_feat71",2.84728602206039,"turquoise"
"G_cluster1_feat68",2.67889149780477,"turquoise"
"G_cluster6_feat16",2.48496032825882,"grey"
"G_cluster1_feat72",2.36622356126783,"turquoise"
"G_cluster1_feat11",2.32287342635961,"turquoise"
"A_cluster2_feat68",2.27595010962487,"greenyellow"
"G_cluster6_feat10",2.24483459673158,"turquoise"
"G_cluster1_feat20",2.2140139776999,"turquoise"
"G_cluster7_feat12",1.98664397869657,"yellow"
"G_cluster6_feat11",1.9529955779642,"turquoise"
"G_cluster1_feat13",1.92020816962767,"grey"
"G_cluster7_feat60",1.81919960450233,"yellow"
"A_cluster2_feat55",1.78812845913401,"turquoise"
"G_cluster8_feat54",1.76587032574081,"turquoise"
"A_cluster2_feat69",1.74907729825718,"turquoise"
"A_cluster1_feat53",1.72198680065364,"magenta"
"G_cluster6_feat24",1.72179107735959,"turquoise"
"A_cluster2_feat19",1.67546604683767,"turquoise"
"G_cluster6_feat75",1.63020583112374,"turquoise"
"A_cluster2_feat64",1.5346393012998,"greenyellow"
"G_cluster6_feat20",1.48975838508719,"turquoise"
"A_cluster1_feat49",1.4262748102996,"magenta"
"G_cluster8_feat67",1.26153015000012,"turquoise"
"G_cluster1_feat10",1.25369546820406,"turquoise"
"G_cluster7_feat18",1.2008681838936,"yellow"
"G_cluster6_feat5",1.10530781688773,"grey"
"G_cluster1_feat12",0.939504288902746,"turquoise"
"G_cluster7_feat3",0.899147758103543,"yellow"
"G_cluster2_feat23",0.897591815195128,"grey"
"G_cluster1_feat55",0.864794380098127,"turquoise"
"G_cluster2_feat70",0.821745009214568,"brown"
"A_cluster1_feat1",0.795603665322144,"magenta"
"G_cluster6_feat25",0.783292884027663,"grey"
"G_cluster6_feat8",0.782218568678479,"grey"
"G_cluster5_feat76",0.745736062487045,"blue"
"G_cluster6_feat14",0.730022459698525,"grey"
"A_cluster1_feat74",0.538502774636483,"green"
"G_cluster7_feat17",0.494094439872684,"grey"
"G_cluster1_feat6",0.389170924576557,"turquoise"
"G_cluster3_feat20",0.382924386124762,"black"
"G_cluster2_feat46",0.328072613290883,"brown"
"G_cluster3_feat9",0.210683569767505,"black"
"G_cluster5_feat58",0.210635932226925,"blue"
"G_cluster7_feat76",0.184794194516116,"yellow"
"G_cluster3_feat26",0.147163321348726,"grey"
"A_cluster5_feat69",0.145456946572037,"red"
"A_cluster5_feat73",0.128073077964552,"red"
"A_cluster5_feat11",0.118908002165836,"red"
"A_cluster5_feat3",0.0907712012491585,"red"
"A_cluster2_feat26",0.0833293938645025,"grey"
"A_cluster1_feat47",0.0639214744948962,"magenta"
"A_cluster4_feat46",0.015837343002252,"pink"
"G_cluster3_feat47",0.00657864362971121,"black"
"A_cluster4_feat24",0.00463446416744658,"pink"
"A_cluster3_feat1",0,"grey"
"A_cluster3_feat2",0,"purple"
"A_cluster3_feat3",0,"purple"
"A_cluster3_feat6",0,"purple"
"A_cluster3_feat9",0,"purple"
"A_cluster3_feat10",0,"purple"
"A_cluster3_feat11",0,"purple"
"A_cluster3_feat12",0,"purple"
"A_cluster3_feat15",0,"purple"
"G_cluster5_feat57",-0.0084907072252321,"blue"
"A_cluster4_feat71",-0.0118410484387224,"pink"
"G_cluster2_feat18",-0.0135341861319609,"brown"
"G_cluster7_feat26",-0.198622876300338,"grey"
"G_cluster5_feat61",-0.273424225221926,"blue"
"A_cluster1_feat17",-0.286803522009233,"grey"
