"feature_name","variable_importance","module_membership"
"Donor_age",24.6784239987184,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",17.0535242130232,"grey"
"T_cluster4_feat15",10.8174560293672,"green"
"T_cluster4_feat11",10.523651856705,"green"
"G_cluster6_feat3",7.62522913006909,"turquoise"
"T_cluster8_feat76",7.28669540583775,"turquoise"
"G_cluster1_feat18",6.62448953609218,"green"
"G_cluster1_feat61",5.96169191729182,"turquoise"
"Donor_height",5.47419122198816,"grey"
"T_cluster4_feat70",5.28158957225,"turquoise"
"T_cluster8_feat72",4.8474149049093,"turquoise"
"G_cluster1_feat52",4.20415027363612,"turquoise"
"A_cluster1_feat70",3.99424350441256,"cyan"
"G_cluster6_feat13",3.65309531433778,"grey"
"G_cluster1_feat75",3.59117202006996,"turquoise"
"T_cluster4_feat13",3.43675841940044,"grey"
"T_cluster8_feat74",3.43324368499507,"turquoise"
"T_cluster6_feat9",3.27905625928843,"turquoise"
"T_cluster4_feat16",3.19305790838951,"grey"
"G_cluster6_feat60",3.1786898771844,"turquoise"
"G_cluster6_feat23",2.97671157576601,"grey"
"G_cluster7_feat60",2.88665257237083,"yellow"
"G_cluster6_feat12",2.88191057456739,"green"
"T_cluster4_feat73",2.78292220359123,"turquoise"
"A_cluster1_feat75",2.61655945027556,"magenta"
"G_cluster6_feat61",2.45039555601418,"turquoise"
"G_cluster6_feat26",2.43379084479109,"grey"
"G_cluster6_feat48",2.43113359927752,"turquoise"
"G_cluster1_feat54",2.38918190422823,"orange"
"A_cluster2_feat61",2.29038300650805,"turquoise"
"T_cluster4_feat64",2.27714692940351,"turquoise"
"G_cluster6_feat22",2.27678988176113,"grey"
"T_cluster8_feat9",2.04326849007656,"turquoise"
"T_cluster4_feat72",2.01922181645767,"turquoise"
"G_cluster6_feat57",2.00515427343744,"turquoise"
"T_cluster6_feat27",1.95642274968604,"turquoise"
"T_cluster8_feat68",1.89053484726035,"turquoise"
"G_cluster6_feat71",1.88553559400075,"turquoise"
"Expanded_criteria_donor",1.86621009174969,"grey"
"T_cluster6_feat19",1.82216627405675,"turquoise"
"A_cluster1_feat53",1.81880326991725,"cyan"
"G_cluster6_feat16",1.79730716000765,"grey"
"G_cluster7_feat14",1.73584207693518,"grey"
"G_cluster6_feat20",1.71398996534479,"turquoise"
"G_cluster1_feat11",1.6995069277295,"green"
"T_cluster4_feat12",1.66504857945761,"green"
"A_cluster2_feat69",1.65470901365966,"turquoise"
"T_cluster4_feat68",1.64810346071337,"turquoise"
"G_cluster2_feat9",1.63370797054104,"brown"
"G_cluster1_feat12",1.57550859795285,"green"
"G_cluster5_feat27",1.4387722824175,"blue"
"T_cluster8_feat64",1.42838055103327,"turquoise"
"A_cluster2_feat57",1.42788784938749,"turquoise"
"A_cluster1_feat48",1.41619663451429,"cyan"
"T_cluster5_feat58",1.39725650149168,"grey"
"T_cluster6_feat8",1.38165367794262,"grey"
"T_cluster5_feat66",1.36319364964923,"darkgrey"
"T_cluster8_feat58",1.3208597710002,"grey"
"G_cluster7_feat18",1.3179771329917,"yellow"
"A_cluster2_feat59",1.3025699512802,"turquoise"
"T_cluster4_feat18",1.29783103434828,"green"
"T_cluster6_feat26",1.26942961479659,"grey"
"G_cluster6_feat64",1.23960523882745,"orange"
"T_cluster6_feat7",1.14324440826198,"grey"
"G_cluster6_feat69",1.05276811019155,"turquoise"
"G_cluster5_feat61",1.03893528214686,"blue"
"G_cluster6_feat66",1.00717598071702,"turquoise"
"G_cluster1_feat16",0.898803732203342,"grey"
"G_cluster7_feat58",0.884275545198949,"yellow"
"G_cluster1_feat15",0.824164870535005,"green"
"A_cluster2_feat21",0.496913826863963,"turquoise"
"G_cluster8_feat16",0.326920095793154,"grey"
"G_cluster6_feat11",0.233523783179987,"turquoise"
"T_cluster4_feat71",0.0884474082208583,"turquoise"
"G_cluster3_feat48",0.0795071886914733,"lightcyan"
"A_cluster5_feat61",0.0314762325133929,"greenyellow"
"T_cluster2_feat76",0.017204435315256,"darkred"
"T_cluster1_feat1",0,"grey"
"T_cluster1_feat6",0,"grey60"
"T_cluster1_feat17",0,"grey"
"T_cluster1_feat18",0,"grey60"
"T_cluster1_feat20",0,"grey60"
"T_cluster1_feat21",0,"grey60"
"T_cluster1_feat22",0,"grey"
"T_cluster1_feat23",0,"grey"
"T_cluster1_feat25",0,"grey"
"T_cluster1_feat26",0,"grey"
"T_cluster1_feat46",0,"grey60"
"T_cluster1_feat60",0,"grey"
"T_cluster1_feat63",0,"grey60"
"T_cluster1_feat66",0,"grey60"
"T_cluster1_feat68",0,"grey60"
"T_cluster1_feat73",0,"grey60"
"T_cluster1_feat75",0,"grey60"
"G_cluster2_feat64",-0.00116819519171397,"brown"
"T_cluster2_feat47",-0.00255184451009391,"darkred"
"T_cluster1_feat16",-0.0102750610246952,"grey"
"V_cluster5_feat17",-0.060786628153448,"grey"
"T_cluster6_feat66",-0.691958470112156,"turquoise"
"T_cluster8_feat6",-0.849445848953858,"turquoise"
