"feature_name","variable_importance","module_membership"
"Donor_age",22.1839719929007,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",16.3651735344053,"grey"
"T_cluster4_feat11",12.2421841203465,"yellow"
"T_cluster4_feat15",9.76916983390969,"yellow"
"G_cluster6_feat3",9.60788728038961,"turquoise"
"Donor_height",7.28170406007788,"grey"
"G_cluster1_feat61",7.0610815069452,"turquoise"
"G_cluster1_feat18",5.74259318208049,"yellow"
"T_cluster8_feat76",5.2964903386351,"turquoise"
"T_cluster4_feat70",4.96685501201736,"turquoise"
"T_cluster8_feat72",4.79158569640683,"turquoise"
"A_cluster1_feat75",4.57896035342175,"red"
"G_cluster1_feat54",4.35163799560806,"grey60"
"G_cluster6_feat65",4.19765363387353,"turquoise"
"G_cluster6_feat13",4.06763807993144,"grey"
"G_cluster6_feat70",3.97616784358048,"turquoise"
"G_cluster6_feat26",3.27365576193463,"grey"
"Expanded_criteria_donor",3.26613684239906,"grey"
"A_cluster1_feat70",3.17419878139499,"pink"
"G_cluster6_feat23",3.12361791435172,"grey"
"T_cluster4_feat16",2.9455414766542,"grey"
"G_cluster6_feat16",2.91709447186054,"grey"
"G_cluster1_feat75",2.89667080340003,"turquoise"
"G_cluster6_feat12",2.80092078662536,"yellow"
"G_cluster6_feat48",2.77554495668657,"turquoise"
"T_cluster8_feat74",2.75886042761618,"turquoise"
"T_cluster4_feat76",2.72161446001369,"turquoise"
"T_cluster4_feat13",2.57745150852142,"grey"
"G_cluster6_feat22",2.54172720647198,"grey"
"A_cluster1_feat53",2.50896466372697,"pink"
"T_cluster6_feat61",2.50578830493033,"yellow"
"T_cluster6_feat74",2.32783295749983,"turquoise"
"G_cluster6_feat66",2.32563943433588,"turquoise"
"A_cluster2_feat19",2.20930418831395,"turquoise"
"G_cluster1_feat73",2.05643906545723,"turquoise"
"T_cluster8_feat59",2.0368866995825,"turquoise"
"T_cluster6_feat49",2.03519265781898,"turquoise"
"A_cluster2_feat60",1.9591574486793,"yellow"
"G_cluster6_feat57",1.94043799763051,"turquoise"
"A_cluster2_feat68",1.70995962888426,"turquoise"
"T_cluster4_feat49",1.69696359137857,"turquoise"
"G_cluster8_feat70",1.66541393171918,"turquoise"
"A_cluster2_feat57",1.65600029792414,"turquoise"
"A_cluster2_feat61",1.64901357348243,"turquoise"
"T_cluster6_feat5",1.62206158438012,"grey"
"T_cluster8_feat9",1.5778259108738,"turquoise"
"G_cluster1_feat59",1.55294284968781,"turquoise"
"T_cluster6_feat9",1.54986578009335,"turquoise"
"T_cluster6_feat4",1.50794070580645,"grey"
"A_cluster2_feat59",1.30662640921762,"turquoise"
"T_cluster4_feat50",1.29648753404302,"turquoise"
"G_cluster5_feat58",1.26485664805475,"blue"
"G_cluster7_feat3",1.23001682219816,"green"
"A_cluster1_feat49",1.22225284126975,"pink"
"A_cluster1_feat8",1.18794453505405,"grey"
"G_cluster6_feat19",1.17735566727538,"turquoise"
"G_cluster1_feat12",1.14809498527386,"yellow"
"G_cluster6_feat20",1.14660852864008,"turquoise"
"G_cluster1_feat9",1.12153709196437,"turquoise"
"A_cluster2_feat73",1.1141194488537,"turquoise"
"G_cluster6_feat25",1.06201992356222,"grey"
"G_cluster7_feat57",1.00278373574508,"green"
"G_cluster2_feat52",0.905632267816728,"brown"
"A_cluster1_feat48",0.854903508994962,"pink"
"T_cluster8_feat58",0.808431658189762,"grey"
"T_cluster4_feat74",0.807644915702024,"turquoise"
"A_cluster1_feat74",0.781131304377888,"red"
"T_cluster6_feat7",0.692087387102441,"grey"
"G_cluster7_feat17",0.678219313353628,"grey"
"G_cluster1_feat16",0.66964250366992,"grey"
"G_cluster6_feat7",0.649696277765394,"grey"
"T_cluster8_feat64",0.63939234277183,"turquoise"
"A_cluster1_feat7",0.636770009804369,"grey"
"G_cluster7_feat14",0.62417276588136,"grey"
"G_cluster7_feat12",0.61795125434517,"green"
"T_cluster4_feat68",0.607443414979945,"turquoise"
"G_cluster1_feat63",0.604725566606148,"grey60"
"G_cluster3_feat16",0.531729881496978,"grey"
"G_cluster1_feat62",0.528552887937372,"grey60"
"G_cluster1_feat52",0.441909632258024,"turquoise"
"A_cluster2_feat50",0.414690672308791,"grey60"
"G_cluster6_feat5",0.380109373563221,"grey"
"G_cluster1_feat13",0.293515896429019,"grey"
"T_cluster6_feat22",0.291535733585987,"grey"
"A_cluster1_feat47",0.218807542932862,"pink"
"G_cluster7_feat60",0.149475762794874,"green"
"G_cluster1_feat74",0.148709861692587,"turquoise"
"G_cluster1_feat11",0.0777293908974208,"yellow"
"T_cluster2_feat18",0.0175886776319234,"greenyellow"
"T_cluster2_feat76",-0.0127930811144312,"greenyellow"
"T_cluster2_feat47",-0.0240274582001676,"greenyellow"
"T_cluster1_feat5",-0.0379180291111768,"grey"
"G_cluster8_feat73",-0.0611456861994372,"turquoise"
"T_cluster2_feat55",-0.074144950862555,"greenyellow"
"A_cluster1_feat60",-0.095492162961188,"pink"
"A_cluster2_feat72",-0.188008754454473,"turquoise"
"G_cluster6_feat4",-0.216461239097654,"grey"
"G_cluster6_feat77",-0.607334003857816,"yellow"
"T_cluster5_feat12",-0.771412340317926,"lightyellow"
"T_cluster3_feat18",-0.918105771323532,"lightgreen"
