"feature_name","variable_importance","module_membership"
"Donor_age",25.1210384753143,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",16.2620400448944,"grey"
"T_cluster4_feat15",12.3777625074942,"lightcyan"
"G_cluster6_feat3",8.71898675322888,"turquoise"
"G_cluster1_feat61",7.67006107910723,"turquoise"
"Donor_height",7.65321878590381,"grey"
"T_cluster8_feat76",6.96040922372792,"turquoise"
"T_cluster4_feat11",6.85505662882226,"lightcyan"
"T_cluster8_feat72",6.33895714129775,"turquoise"
"G_cluster1_feat18",5.32407131491686,"turquoise"
"G_cluster6_feat61",4.49316220869497,"turquoise"
"T_cluster4_feat70",4.27248817741911,"turquoise"
"G_cluster6_feat22",3.84337332913616,"grey"
"G_cluster6_feat23",3.73810042983602,"grey"
"G_cluster6_feat13",3.69848689800765,"grey"
"T_cluster8_feat74",3.52476867249406,"turquoise"
"G_cluster1_feat54",3.38536533280726,"royalblue"
"G_cluster1_feat52",3.2432316442718,"turquoise"
"G_cluster6_feat48",3.20696245609197,"turquoise"
"Expanded_criteria_donor",3.14901834942816,"grey"
"G_cluster1_feat16",2.76331575456339,"grey"
"G_cluster1_feat12",2.69354486421746,"lightcyan"
"T_cluster6_feat8",2.48548285019016,"grey"
"G_cluster1_feat59",2.44506390308915,"turquoise"
"T_cluster6_feat61",2.41635685995624,"lightcyan"
"G_cluster6_feat60",2.36123358958425,"turquoise"
"T_cluster8_feat12",2.27577842522238,"lightcyan"
"T_cluster4_feat10",2.17341107599481,"lightcyan"
"T_cluster4_feat68",2.11634465616426,"turquoise"
"T_cluster4_feat21",2.10228329359999,"turquoise"
"G_cluster7_feat12",2.08456848042388,"magenta"
"G_cluster8_feat70",2.07510877830305,"turquoise"
"G_cluster6_feat24",2.04644662753678,"turquoise"
"G_cluster6_feat20",2.00017364511977,"turquoise"
"G_cluster6_feat26",1.95638450012336,"grey"
"T_cluster4_feat73",1.9414043489311,"turquoise"
"G_cluster6_feat57",1.90003128953201,"turquoise"
"T_cluster4_feat13",1.8665091429606,"grey"
"T_cluster8_feat58",1.82878140724399,"turquoise"
"T_cluster8_feat73",1.8088668155181,"turquoise"
"T_cluster6_feat49",1.76649617965689,"turquoise"
"T_cluster4_feat76",1.72998206022877,"turquoise"
"T_cluster6_feat19",1.68858668116325,"turquoise"
"G_cluster7_feat17",1.66935388214724,"grey"
"T_cluster4_feat49",1.63594522491779,"turquoise"
"T_cluster6_feat57",1.59501729799987,"turquoise"
"T_cluster8_feat9",1.55232551988426,"turquoise"
"G_cluster1_feat11",1.47989962675936,"lightcyan"
"G_cluster6_feat71",1.47471088250935,"turquoise"
"T_cluster6_feat74",1.44752630681124,"turquoise"
"G_cluster1_feat13",1.29248110507817,"grey"
"G_cluster7_feat14",1.2771480526677,"grey"
"G_cluster2_feat70",1.2305931673013,"red"
"T_cluster4_feat27",1.18776548934365,"turquoise"
"T_cluster4_feat74",1.18014795713156,"turquoise"
"T_cluster5_feat66",1.1430648624265,"grey60"
"G_cluster7_feat58",1.12918244480722,"magenta"
"G_cluster5_feat27",1.11681885303598,"brown"
"T_cluster6_feat7",1.06288771737167,"grey"
"V_cluster5_feat61",1.03900520807194,"pink"
"T_cluster4_feat12",1.03751582281821,"lightcyan"
"G_cluster2_feat9",0.999543619082496,"red"
"G_cluster7_feat60",0.975628105532164,"magenta"
"T_cluster6_feat9",0.96433215453461,"turquoise"
"G_cluster1_feat63",0.819043912890641,"royalblue"
"G_cluster7_feat57",0.766789974941052,"magenta"
"G_cluster8_feat46",0.7345557829592,"royalblue"
"G_cluster1_feat15",0.600590707572551,"lightcyan"
"G_cluster5_feat58",0.57192591685747,"brown"
"T_cluster5_feat21",0.488423486525764,"grey60"
"G_cluster6_feat10",0.367319717318192,"lightcyan"
"V_cluster6_feat49",0.293866748032583,"black"
"G_cluster3_feat49",0.131552071927617,"purple"
"G_cluster5_feat20",0.109075760455132,"brown"
"V_cluster1_feat50",0.0531455490397509,"tan"
"T_cluster2_feat55",0.0227805261603753,"lightyellow"
"T_cluster1_feat16",0.00769544974719694,"grey"
"T_cluster1_feat2",0,"greenyellow"
"T_cluster1_feat4",0,"grey"
"T_cluster1_feat5",0,"grey"
"T_cluster1_feat7",0,"grey"
"T_cluster1_feat8",0,"grey"
"T_cluster1_feat13",0,"grey"
"T_cluster1_feat14",0,"grey"
"T_cluster1_feat15",0,"greenyellow"
"T_cluster1_feat22",0,"grey"
"T_cluster1_feat26",0,"grey"
"T_cluster1_feat55",0,"greenyellow"
"T_cluster1_feat47",-0.0143861924102791,"greenyellow"
"T_cluster1_feat23",-0.015343650388582,"grey"
"T_cluster1_feat17",-0.0254269324726163,"grey"
"T_cluster1_feat52",-0.0327077445486468,"greenyellow"
"T_cluster1_feat48",-0.0332005389281471,"greenyellow"
"G_cluster6_feat59",-0.0494844606183502,"turquoise"
"T_cluster3_feat72",-0.0670943438164383,"darkgreen"
"T_cluster5_feat26",-0.0708848753820913,"grey"
"G_cluster3_feat67",-0.103387938933119,"purple"
"G_cluster6_feat11",-0.192799948607564,"turquoise"
"G_cluster5_feat77",-0.243957391501638,"brown"
"G_cluster6_feat70",-0.350013887882447,"turquoise"
