"feature_name","variable_importance","module_membership"
"Donor_age",28.7861925846732,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",15.0537644693359,"grey"
"Donor_height",8.33562431525441,"grey"
"T_cluster4_feat15",8.33283529580937,"pink"
"T_cluster4_feat11",7.97022527775056,"pink"
"G_cluster6_feat3",7.02482024956816,"turquoise"
"G_cluster1_feat61",6.25618327776693,"turquoise"
"T_cluster6_feat9",5.22063291057401,"turquoise"
"T_cluster8_feat76",4.69537860587828,"turquoise"
"T_cluster4_feat13",4.64565136691347,"grey"
"T_cluster8_feat72",4.54361466952828,"turquoise"
"T_cluster4_feat70",4.35006247890155,"turquoise"
"G_cluster6_feat61",3.94577289001262,"turquoise"
"T_cluster4_feat64",3.8022143479954,"turquoise"
"T_cluster4_feat16",3.76733188284476,"grey"
"G_cluster6_feat13",3.66823457921732,"grey"
"Expanded_criteria_donor",3.62774724785791,"grey"
"G_cluster1_feat18",3.41764017297624,"turquoise"
"G_cluster6_feat23",3.1711408401734,"grey"
"G_cluster1_feat12",3.1184431295117,"pink"
"G_cluster1_feat54",3.1128903225426,"tan"
"G_cluster1_feat52",2.97931320427357,"turquoise"
"G_cluster6_feat22",2.83687402301137,"grey"
"G_cluster1_feat75",2.73109818553786,"turquoise"
"T_cluster8_feat9",2.68838954746753,"turquoise"
"G_cluster6_feat26",2.64242067682661,"grey"
"T_cluster6_feat49",2.49650504204647,"turquoise"
"G_cluster1_feat59",2.37792929981192,"turquoise"
"G_cluster6_feat75",2.37703788553594,"turquoise"
"G_cluster7_feat60",2.31256381057943,"green"
"T_cluster8_feat74",2.29450978201378,"turquoise"
"T_cluster4_feat12",2.27946391931503,"pink"
"T_cluster6_feat19",2.1811143115016,"turquoise"
"G_cluster1_feat72",2.04027043856789,"turquoise"
"T_cluster5_feat58",2.0025490676027,"magenta"
"T_cluster4_feat18",1.99339912611137,"pink"
"T_cluster4_feat72",1.80305282697832,"turquoise"
"T_cluster4_feat76",1.79502021461867,"turquoise"
"T_cluster6_feat74",1.77618810993691,"turquoise"
"T_cluster6_feat26",1.71799541630342,"grey"
"G_cluster6_feat48",1.69014609967419,"turquoise"
"G_cluster7_feat58",1.67471102702139,"green"
"G_cluster7_feat12",1.62527625991984,"green"
"T_cluster6_feat27",1.61955412818816,"turquoise"
"T_cluster4_feat27",1.5817604650296,"turquoise"
"G_cluster6_feat57",1.48969403812971,"turquoise"
"T_cluster8_feat73",1.45978281871369,"turquoise"
"T_cluster4_feat21",1.43326589506133,"turquoise"
"G_cluster6_feat24",1.43230631467458,"turquoise"
"T_cluster8_feat59",1.41175345941484,"turquoise"
"T_cluster4_feat74",1.3816710756249,"turquoise"
"G_cluster6_feat68",1.35646851725493,"turquoise"
"G_cluster7_feat17",1.25255932475517,"grey"
"G_cluster1_feat63",1.17699053573873,"tan"
"T_cluster6_feat7",1.15544555974857,"grey"
"G_cluster1_feat3",1.13131815326929,"turquoise"
"G_cluster7_feat27",1.12671831100198,"green"
"G_cluster5_feat58",1.12253844737055,"blue"
"T_cluster8_feat18",1.07270814541707,"pink"
"G_cluster6_feat5",1.07037333579615,"grey"
"G_cluster6_feat4",0.972175952083268,"grey"
"T_cluster4_feat25",0.957439433131887,"grey"
"G_cluster1_feat67",0.918592446353508,"turquoise"
"G_cluster2_feat49",0.879858641112821,"brown"
"G_cluster1_feat15",0.829573408010451,"pink"
"G_cluster6_feat14",0.768436132951666,"grey"
"G_cluster2_feat9",0.755038918000994,"brown"
"G_cluster2_feat46",0.743549708304353,"brown"
"G_cluster1_feat73",0.719874964526672,"turquoise"
"G_cluster6_feat70",0.69144675237517,"turquoise"
"G_cluster1_feat5",0.685425747430328,"grey"
"G_cluster7_feat14",0.685375568263314,"grey"
"T_cluster6_feat57",0.680899923512859,"turquoise"
"G_cluster2_feat23",0.612593170261483,"grey"
"T_cluster6_feat13",0.52239455139205,"grey"
"G_cluster6_feat16",0.501643417780624,"grey"
"G_cluster6_feat18",0.501199678275197,"turquoise"
"G_cluster7_feat18",0.469569403874727,"green"
"G_cluster1_feat26",0.468043226167162,"cyan"
"G_cluster5_feat57",0.458765370679101,"blue"
"G_cluster1_feat55",0.374911169044104,"turquoise"
"G_cluster6_feat17",0.370641079839304,"grey"
"G_cluster1_feat14",0.311804756394275,"grey"
"G_cluster2_feat70",0.291286899375919,"brown"
"G_cluster3_feat56",0.255200368355382,"yellow"
"G_cluster7_feat48",0.207358798464724,"green"
"G_cluster1_feat11",0.195988070485781,"pink"
"T_cluster1_feat19",0.0201918461171689,"black"
"T_cluster1_feat15",0.0121093558109994,"black"
"T_cluster1_feat1",0,"black"
"T_cluster1_feat4",0,"grey"
"T_cluster1_feat11",0,"black"
"T_cluster1_feat14",0,"grey"
"T_cluster1_feat16",-0.0579730029738557,"grey"
"G_cluster3_feat6",-0.0876346217705343,"yellow"
"G_cluster7_feat47",-0.101871387331563,"green"
"G_cluster3_feat49",-0.117059267431235,"yellow"
"G_cluster8_feat65",-0.400196205041428,"turquoise"
"G_cluster7_feat25",-0.99133885054944,"grey"
"T_cluster4_feat23",-1.15794396983245,"grey"
