"feature_name","variable_importance","module_membership"
"Donor_age",32.4765244683229,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",17.2314824530044,"grey"
"G_cluster6_feat3",10.158320156474,"turquoise"
"G_cluster1_feat18",9.61699537387039,"turquoise"
"G_cluster1_feat61",8.94156527388527,"cyan"
"G_cluster6_feat13",5.52421111994889,"grey"
"G_cluster1_feat12",5.12317117932643,"blue"
"Donor_height",4.7513906260278,"grey"
"G_cluster6_feat22",4.35878205902967,"grey"
"G_cluster6_feat61",4.18805323707916,"turquoise"
"G_cluster6_feat26",4.13205177739995,"grey"
"G_cluster7_feat14",3.82039389976398,"grey"
"G_cluster6_feat23",3.5128402053035,"grey"
"Expanded_criteria_donor",3.28830468328801,"grey"
"G_cluster6_feat48",3.22990565816827,"turquoise"
"G_cluster6_feat71",3.22877126457929,"turquoise"
"G_cluster6_feat60",3.18671927131999,"turquoise"
"G_cluster1_feat67",3.12885520992244,"turquoise"
"G_cluster6_feat10",2.99102511246942,"turquoise"
"G_cluster6_feat16",2.96554146674589,"grey"
"G_cluster7_feat60",2.94935773060815,"tan"
"G_cluster1_feat52",2.88264886050184,"turquoise"
"G_cluster7_feat17",2.78089092571072,"grey"
"G_cluster1_feat15",2.69797053834824,"blue"
"G_cluster1_feat13",2.60638012026319,"grey"
"G_cluster1_feat10",2.60583331596761,"blue"
"G_cluster1_feat72",2.35674408534874,"cyan"
"G_cluster6_feat65",2.34399539566153,"turquoise"
"G_cluster6_feat24",2.33779086526665,"turquoise"
"G_cluster1_feat60",2.33295876524202,"blue"
"G_cluster1_feat54",2.31229070989981,"turquoise"
"G_cluster6_feat25",2.17178923652543,"grey"
"G_cluster1_feat16",2.10245237141757,"grey"
"G_cluster6_feat70",2.05483797824824,"turquoise"
"G_cluster8_feat16",2.05231234558353,"grey"
"G_cluster1_feat69",1.89450403141339,"cyan"
"G_cluster5_feat27",1.8245876155161,"salmon"
"G_cluster6_feat57",1.79789641196215,"turquoise"
"G_cluster2_feat70",1.6973658787687,"blue"
"G_cluster1_feat77",1.63797436961938,"blue"
"G_cluster1_feat26",1.54423276019357,"green"
"G_cluster1_feat11",1.50771138184205,"blue"
"G_cluster6_feat4",1.44614549560294,"grey"
"G_cluster7_feat18",1.38936030169868,"tan"
"G_cluster2_feat51",1.32010894779389,"blue"
"V_cluster5_feat77",1.24535693749447,"red"
"V_cluster5_feat57",1.20651488195847,"red"
"G_cluster6_feat20",1.18096787255394,"turquoise"
"G_cluster1_feat49",1.1799403344113,"turquoise"
"G_cluster5_feat58",1.01570977593166,"salmon"
"G_cluster8_feat71",0.999349940642349,"turquoise"
"G_cluster1_feat5",0.982543962436822,"grey"
"G_cluster6_feat51",0.945149788235047,"turquoise"
"G_cluster6_feat76",0.90012444721018,"turquoise"
"G_cluster1_feat74",0.847161705838824,"cyan"
"G_cluster7_feat76",0.764167038353616,"tan"
"G_cluster2_feat7",0.728688223203741,"grey"
"G_cluster1_feat76",0.72432443140082,"blue"
"G_cluster8_feat54",0.710827444292209,"turquoise"
"G_cluster5_feat10",0.6988620298525,"salmon"
"G_cluster2_feat14",0.659762842337961,"grey"
"G_cluster7_feat58",0.638343289049732,"tan"
"G_cluster6_feat14",0.511229236266727,"grey"
"G_cluster8_feat60",0.506887591722101,"turquoise"
"V_cluster5_feat60",0.458627040847871,"red"
"G_cluster5_feat55",0.343342667682119,"salmon"
"V_cluster5_feat55",0.321547428781949,"red"
"G_cluster5_feat11",0.318640604739198,"salmon"
"V_cluster5_feat66",0.262927849952326,"red"
"G_cluster6_feat7",0.231455172402494,"grey"
"G_cluster3_feat22",0.216381479729675,"grey"
"G_cluster3_feat6",0.1992776535017,"magenta"
"G_cluster3_feat24",0.196783096313785,"magenta"
"G_cluster5_feat76",0.179939158975533,"salmon"
"G_cluster3_feat20",0.161377497766313,"magenta"
"V_cluster6_feat64",0.137025023160479,"pink"
"V_cluster6_feat60",0.13303852216566,"pink"
"G_cluster1_feat23",0.0578573217224126,"green"
"G_cluster5_feat77",0.0512836649856226,"salmon"
"V_cluster4_feat1",0,"greenyellow"
"V_cluster4_feat2",0,"greenyellow"
"V_cluster4_feat3",0,"greenyellow"
"V_cluster4_feat6",0,"greenyellow"
"V_cluster4_feat9",0,"greenyellow"
"V_cluster4_feat10",0,"greenyellow"
"V_cluster4_feat11",0,"greenyellow"
"V_cluster4_feat12",0,"greenyellow"
"V_cluster1_feat13",-0.000451610348650908,"grey"
"G_cluster5_feat61",-0.0049126940525471,"salmon"
"V_cluster6_feat57",-0.0157861227825163,"pink"
"V_cluster7_feat27",-0.0188884625140236,"black"
"V_cluster1_feat64",-0.0361062994050855,"brown"
"V_cluster2_feat73",-0.107211708570298,"purple"
"V_cluster5_feat14",-0.372249154323403,"red"
"V_cluster5_feat65",-0.384503945720822,"red"
"V_cluster6_feat65",-0.422552093984149,"pink"
"G_cluster1_feat14",-0.481807581375942,"grey"
"G_cluster7_feat47",-0.609402922719791,"tan"
"G_cluster7_feat11",-0.644448495854498,"tan"
"REMUZZI_GT1",-1.0831140757676,"grey"
