"feature_name","variable_importance","module_membership"
"Donor_age",32.7717822991677,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",20.5326513347889,"grey"
"G_cluster6_feat3",9.86344427949376,"turquoise"
"G_cluster1_feat61",6.83034307866009,"red"
"Donor_height",6.12299328054168,"grey"
"G_cluster1_feat18",5.41702477813617,"turquoise"
"G_cluster6_feat60",5.21961998621644,"turquoise"
"G_cluster6_feat71",5.00430147210326,"turquoise"
"Expanded_criteria_donor",4.94827788861036,"grey"
"G_cluster6_feat13",4.87374621782925,"grey"
"G_cluster6_feat61",4.78949865090202,"turquoise"
"G_cluster6_feat26",4.61293033629007,"grey"
"G_cluster1_feat67",4.51813346440035,"turquoise"
"G_cluster6_feat16",4.24342638201512,"grey"
"G_cluster6_feat23",4.22551996118387,"grey"
"G_cluster7_feat14",4.19577389875303,"grey"
"G_cluster6_feat22",4.11846528543656,"grey"
"G_cluster1_feat12",3.99593539509169,"blue"
"G_cluster6_feat12",3.63769101578463,"turquoise"
"G_cluster6_feat48",3.59714744712863,"turquoise"
"G_cluster1_feat16",3.4535761362577,"grey"
"G_cluster1_feat73",3.15727603715662,"red"
"G_cluster1_feat13",2.80176222842996,"grey"
"G_cluster1_feat52",2.513282480347,"turquoise"
"G_cluster7_feat60",2.5000748010484,"green"
"G_cluster1_feat55",2.46092777779537,"turquoise"
"G_cluster6_feat57",2.41755883674123,"turquoise"
"G_cluster7_feat18",2.34321478202931,"green"
"G_cluster1_feat10",2.32981234595406,"blue"
"G_cluster6_feat24",2.18566940637832,"turquoise"
"G_cluster8_feat70",2.15198730774841,"turquoise"
"G_cluster5_feat58",2.14545505240819,"yellow"
"G_cluster1_feat77",2.10729748501123,"blue"
"G_cluster1_feat57",2.09674100268817,"turquoise"
"G_cluster7_feat12",2.09620083882657,"green"
"G_cluster1_feat72",2.03960844470961,"red"
"G_cluster1_feat9",1.99428143672076,"turquoise"
"G_cluster8_feat48",1.98343861768926,"turquoise"
"G_cluster1_feat15",1.86382552946457,"blue"
"G_cluster1_feat70",1.77335998757337,"turquoise"
"G_cluster1_feat50",1.7524602216134,"turquoise"
"G_cluster1_feat69",1.70391868576981,"red"
"G_cluster1_feat54",1.68303623094691,"turquoise"
"G_cluster1_feat60",1.62414312995132,"blue"
"G_cluster6_feat20",1.606719707725,"turquoise"
"G_cluster1_feat11",1.54679108222871,"blue"
"G_cluster6_feat8",1.52716895546705,"grey"
"G_cluster2_feat70",1.4857211734327,"blue"
"G_cluster7_feat17",1.45253843992333,"grey"
"G_cluster1_feat49",1.44087184431999,"turquoise"
"G_cluster1_feat23",1.4302658010047,"grey"
"G_cluster1_feat17",1.40779002385185,"grey"
"G_cluster6_feat51",1.38272697309853,"turquoise"
"G_cluster5_feat27",1.32860379902287,"yellow"
"G_cluster1_feat26",1.32269490199183,"grey"
"G_cluster2_feat21",1.23908247322007,"blue"
"G_cluster6_feat25",1.07034940765346,"grey"
"G_cluster6_feat27",1.03461359238095,"turquoise"
"G_cluster6_feat76",1.00076299323589,"turquoise"
"G_cluster8_feat52",0.990423152072467,"turquoise"
"G_cluster6_feat65",0.917429666466419,"turquoise"
"G_cluster6_feat7",0.917253822885182,"grey"
"G_cluster2_feat23",0.915607820598557,"grey"
"G_cluster7_feat58",0.890741950335918,"green"
"G_cluster8_feat75",0.837797295040911,"turquoise"
"G_cluster1_feat76",0.806285265770657,"blue"
"G_cluster8_feat65",0.789599066224685,"turquoise"
"G_cluster7_feat3",0.711113044264172,"green"
"G_cluster5_feat57",0.698409520012457,"yellow"
"G_cluster1_feat8",0.669934072698319,"grey"
"G_cluster5_feat76",0.565597765689272,"yellow"
"G_cluster2_feat71",0.531810965930408,"blue"
"G_cluster5_feat61",0.515324642906853,"yellow"
"G_cluster5_feat60",0.483008191662513,"yellow"
"G_cluster7_feat11",0.452602068483309,"green"
"G_cluster2_feat51",0.445058145962316,"blue"
"G_cluster2_feat9",0.388047970005671,"blue"
"G_cluster7_feat48",0.374911786244248,"green"
"G_cluster1_feat14",0.260319373029561,"grey"
"G_cluster5_feat55",0.127056064701834,"yellow"
"G_cluster3_feat67",0.124918102925859,"brown"
"G_cluster3_feat24",0.113884315335271,"brown"
"G_cluster3_feat57",0.0822745925616712,"brown"
"G_cluster3_feat48",0.073488809067563,"brown"
"G_cluster3_feat20",0.0583561962972622,"brown"
"G_cluster3_feat49",0.0540936034191664,"brown"
"G_cluster3_feat64",0.0518820842617605,"brown"
"G_cluster3_feat6",0.0397290071413023,"brown"
"G_cluster3_feat56",0.0366448228129839,"brown"
"G_cluster3_feat47",0.0108640910541215,"brown"
"G_cluster3_feat77",-0.010095061321916,"brown"
"G_cluster8_feat20",-0.0158302345587002,"turquoise"
"G_cluster3_feat75",-0.0214039489974735,"brown"
"G_cluster2_feat52",-0.131288373376834,"blue"
"G_cluster7_feat74",-0.144942139794245,"green"
"G_cluster7_feat77",-0.194581476350982,"green"
"G_cluster7_feat59",-0.196930648894599,"green"
"G_cluster6_feat15",-0.429992705854101,"turquoise"
"G_cluster7_feat16",-0.586868680015586,"grey"
"G_cluster7_feat71",-0.803714145114176,"green"
