"feature_name","variable_importance","module_membership"
"Donor_age",32.821955838553,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",20.0994942622677,"grey"
"T_cluster4_feat15",10.8374848197978,"royalblue"
"T_cluster4_feat11",10.438315517712,"royalblue"
"T_cluster8_feat72",8.8593441305613,"turquoise"
"T_cluster4_feat16",8.32915464855954,"grey"
"Donor_height",7.09826301820237,"grey"
"T_cluster6_feat49",6.52649266250118,"turquoise"
"A_cluster1_feat75",6.30107318828307,"yellow"
"T_cluster8_feat74",6.25870354900925,"turquoise"
"T_cluster8_feat76",6.09658969215837,"turquoise"
"T_cluster4_feat64",5.9683785548253,"turquoise"
"Donor_final_creatinine",5.27024466170849,"grey"
"T_cluster4_feat70",4.98463282956235,"turquoise"
"T_cluster4_feat13",4.8445704208009,"grey"
"T_cluster5_feat21",4.66500442165057,"lightgreen"
"T_cluster4_feat10",4.23354882795142,"royalblue"
"A_cluster2_feat57",3.98283213431468,"turquoise"
"A_cluster1_feat53",3.96833409852138,"magenta"
"Expanded_criteria_donor",3.93117629832031,"grey"
"T_cluster6_feat9",3.68144457104453,"turquoise"
"A_cluster2_feat60",3.66106161750529,"turquoise"
"T_cluster8_feat73",3.36648410853511,"turquoise"
"T_cluster5_feat72",3.20565980621843,"lightgreen"
"A_cluster1_feat70",3.04649266104235,"magenta"
"A_cluster2_feat73",2.96759496827015,"turquoise"
"T_cluster4_feat49",2.96453165968789,"turquoise"
"T_cluster6_feat64",2.9353548151488,"turquoise"
"A_cluster2_feat18",2.91930395846874,"turquoise"
"T_cluster6_feat27",2.91519843948033,"turquoise"
"T_cluster8_feat9",2.89686234840654,"turquoise"
"T_cluster8_feat64",2.84914671114494,"turquoise"
"A_cluster2_feat76",2.67043144940142,"turquoise"
"T_cluster6_feat7",2.56395922048629,"grey"
"T_cluster8_feat54",2.3037106555424,"darkred"
"T_cluster4_feat72",2.22007380132346,"turquoise"
"A_cluster2_feat16",2.06313230418534,"grey"
"A_cluster2_feat62",2.05628660981469,"darkred"
"T_cluster4_feat18",2.0227799155991,"royalblue"
"T_cluster4_feat19",2.0202112187034,"darkred"
"A_cluster2_feat50",1.93927515054723,"darkred"
"T_cluster6_feat46",1.93535682042801,"darkred"
"T_cluster5_feat8",1.82593872401427,"grey"
"T_cluster6_feat55",1.81475525068279,"turquoise"
"T_cluster6_feat26",1.49210585609454,"grey"
"T_cluster6_feat19",1.49056240132163,"turquoise"
"T_cluster4_feat23",1.39892574545215,"grey"
"A_cluster2_feat15",1.32658440278515,"turquoise"
"T_cluster6_feat8",1.31073302828646,"grey"
"T_cluster4_feat60",1.27700163181338,"royalblue"
"T_cluster8_feat49",1.22865888235976,"turquoise"
"T_cluster6_feat60",1.21570069885856,"royalblue"
"A_cluster1_feat8",1.19267989936119,"grey"
"T_cluster4_feat73",1.17611045142132,"turquoise"
"T_cluster8_feat58",1.15591569864655,"grey"
"T_cluster4_feat50",1.06578254279152,"turquoise"
"A_cluster2_feat69",1.01908683009677,"turquoise"
"A_cluster1_feat7",0.679258206844457,"grey"
"T_cluster4_feat14",0.553231520131118,"grey"
"T_cluster8_feat69",0.48371355344746,"turquoise"
"T_cluster6_feat4",0.441595718214942,"grey"
"T_cluster8_feat47",0.410510137556745,"turquoise"
"A_cluster1_feat48",0.389812746537046,"magenta"
"V_cluster6_feat23",0.203343559871393,"grey"
"T_cluster2_feat59",0.142517582926387,"cyan"
"A_cluster4_feat54",0.13445695623811,"black"
"A_cluster4_feat50",0.133118874081479,"black"
"V_cluster6_feat65",0.100386377307911,"green"
"A_cluster4_feat74",0.0852723448137413,"black"
"A_cluster4_feat72",0.0753331438524129,"black"
"T_cluster2_feat57",0.0402411588439028,"cyan"
"T_cluster2_feat11",0.0269628513458227,"cyan"
"T_cluster2_feat47",0.0137451315105534,"cyan"
"T_cluster1_feat1",0,"grey"
"T_cluster1_feat4",0,"grey"
"T_cluster1_feat6",0,"purple"
"T_cluster1_feat7",0,"grey"
"T_cluster1_feat10",0,"purple"
"T_cluster1_feat11",0,"purple"
"T_cluster1_feat12",0,"purple"
"T_cluster1_feat13",0,"grey"
"T_cluster1_feat20",0,"purple"
"T_cluster1_feat22",0,"grey"
"T_cluster1_feat23",0,"grey"
"T_cluster1_feat25",0,"grey"
"T_cluster1_feat26",0,"grey"
"T_cluster1_feat50",0,"purple"
"T_cluster1_feat72",0,"purple"
"T_cluster1_feat75",0,"purple"
"T_cluster1_feat76",0,"purple"
"T_cluster1_feat77",0,"grey"
"T_cluster7_feat1",0,"grey"
"T_cluster7_feat2",0,"salmon"
"T_cluster2_feat76",-0.00338936723371924,"cyan"
"T_cluster1_feat69",-0.0115079008538868,"purple"
"T_cluster1_feat60",-0.0304664364633391,"grey"
"T_cluster2_feat49",-0.0341729515196019,"cyan"
"T_cluster5_feat49",-0.0786608642191986,"lightgreen"
"V_cluster5_feat55",-0.0983221871070073,"brown"
"V_cluster6_feat64",-0.129211095789479,"green"
