"feature_name","variable_importance","module_membership"
"Donor_age",21.4943816592813,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",16.2353932243819,"grey"
"T_cluster4_feat11",9.56356559097341,"tan"
"T_cluster4_feat15",9.5174120846813,"tan"
"T_cluster8_feat72",8.89173056505274,"turquoise"
"Donor_height",7.85866213416342,"grey"
"T_cluster8_feat76",7.47429475638247,"turquoise"
"T_cluster4_feat70",5.73614052217851,"turquoise"
"T_cluster4_feat13",5.30738541448536,"grey"
"A_cluster2_feat60",5.29564431966516,"turquoise"
"T_cluster6_feat49",4.6550511396244,"turquoise"
"A_cluster2_feat18",4.64908967893553,"turquoise"
"T_cluster4_feat16",4.55863231127087,"grey"
"T_cluster8_feat74",4.3952789919041,"turquoise"
"A_cluster1_feat75",4.30324303877866,"blue"
"T_cluster4_feat64",3.9613316772368,"turquoise"
"Expanded_criteria_donor",3.49074668557156,"grey"
"A_cluster1_feat53",3.43438590384551,"red"
"T_cluster5_feat21",3.3159395798329,"purple"
"A_cluster2_feat17",3.2061169968443,"grey"
"T_cluster6_feat27",3.20059732361827,"turquoise"
"T_cluster5_feat72",3.1160702056333,"purple"
"A_cluster1_feat51",3.0686032090909,"red"
"T_cluster6_feat57",2.96419290510832,"turquoise"
"T_cluster8_feat64",2.81236836460855,"turquoise"
"T_cluster8_feat9",2.65048515145839,"turquoise"
"A_cluster2_feat61",2.64820176065291,"turquoise"
"T_cluster6_feat9",2.60715270947751,"turquoise"
"T_cluster4_feat18",2.56313610641624,"tan"
"A_cluster2_feat68",2.5489032508701,"turquoise"
"T_cluster4_feat49",2.16186499232281,"turquoise"
"T_cluster5_feat8",2.15595299003855,"grey"
"A_cluster2_feat50",2.08155058573449,"salmon"
"T_cluster4_feat10",2.04428851935996,"tan"
"T_cluster4_feat50",1.98819196335984,"turquoise"
"T_cluster6_feat19",1.84115172805997,"turquoise"
"T_cluster6_feat4",1.74409488549011,"grey"
"T_cluster6_feat8",1.73078400589257,"grey"
"T_cluster6_feat74",1.67455644403509,"turquoise"
"A_cluster1_feat49",1.62518747079445,"red"
"A_cluster2_feat11",1.59034669087007,"turquoise"
"T_cluster4_feat27",1.54659199792715,"turquoise"
"T_cluster4_feat59",1.54010686435291,"turquoise"
"A_cluster2_feat15",1.5207016609696,"turquoise"
"T_cluster8_feat58",1.45602166119779,"grey"
"T_cluster4_feat74",1.44501363027701,"turquoise"
"T_cluster8_feat47",1.4041358118337,"turquoise"
"T_cluster5_feat66",1.37953747087668,"purple"
"T_cluster8_feat46",1.32175435306747,"salmon"
"T_cluster8_feat54",1.3044093279383,"salmon"
"A_cluster1_feat17",1.30152674888046,"grey"
"T_cluster8_feat50",1.27726980574906,"turquoise"
"T_cluster4_feat23",1.1389935204171,"grey"
"T_cluster6_feat47",1.02979639032579,"turquoise"
"T_cluster4_feat60",1.02781670678425,"tan"
"A_cluster2_feat12",0.973024830410205,"turquoise"
"T_cluster4_feat76",0.955765398805333,"turquoise"
"T_cluster8_feat3",0.948270528479696,"turquoise"
"A_cluster2_feat26",0.870013314970334,"grey"
"T_cluster6_feat16",0.781217187526812,"grey"
"T_cluster5_feat58",0.761792218394447,"grey"
"A_cluster1_feat5",0.62492304333995,"grey"
"A_cluster1_feat7",0.618739931018949,"grey"
"A_cluster2_feat55",0.612745153840942,"turquoise"
"T_cluster4_feat72",0.607470395504666,"turquoise"
"T_cluster6_feat46",0.605803088030116,"salmon"
"T_cluster8_feat7",0.590829379655052,"grey"
"A_cluster4_feat64",0.350534722712941,"yellow"
"T_cluster6_feat62",0.276410804791623,"salmon"
"T_cluster4_feat26",0.2241743312578,"grey"
"A_cluster1_feat48",0.135699866406128,"red"
"T_cluster2_feat55",0.0531319127507805,"brown"
"T_cluster2_feat25",0.0433810642679752,"grey"
"T_cluster1_feat16",0.0193187683504421,"grey"
"T_cluster1_feat2",0,"black"
"T_cluster1_feat13",0,"grey"
"T_cluster1_feat14",0,"grey"
"T_cluster1_feat18",0,"black"
"T_cluster1_feat19",0,"black"
"T_cluster1_feat22",0,"grey"
"T_cluster1_feat25",0,"grey"
"T_cluster1_feat26",0,"grey"
"T_cluster1_feat48",0,"black"
"T_cluster1_feat63",0,"black"
"T_cluster1_feat66",0,"black"
"T_cluster2_feat50",0,"brown"
"A_cluster5_feat59",-3.98133590102523e-05,"green"
"T_cluster2_feat72",-0.00107649607100913,"brown"
"T_cluster2_feat47",-0.00801279088962284,"brown"
"T_cluster5_feat49",-0.00820884098365611,"purple"
"T_cluster1_feat55",-0.0125317351237529,"black"
"A_cluster5_feat76",-0.0256721730499173,"green"
"A_cluster5_feat23",-0.0627421112605543,"grey"
"A_cluster2_feat25",-0.10397574645267,"grey"
"T_cluster2_feat52",-0.171037752584306,"brown"
"T_cluster3_feat67",-0.279853940778245,"greenyellow"
"A_cluster1_feat52",-0.382898988126276,"red"
"A_cluster2_feat16",-0.466454081795893,"grey"
"T_cluster3_feat24",-0.593414270727105,"greenyellow"
"T_cluster3_feat72",-0.748626504305963,"cyan"
