"feature_name","variable_importance","module_membership"
"Donor_age",34.1119892163197,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",19.907265709658,"grey"
"T_cluster4_feat11",12.9928574126166,"midnightblue"
"T_cluster8_feat72",11.2087392066136,"turquoise"
"T_cluster4_feat15",11.1820167284447,"midnightblue"
"T_cluster8_feat76",8.81782020630383,"turquoise"
"Donor_height",6.89567383160689,"grey"
"T_cluster4_feat16",6.62060657424535,"grey"
"T_cluster6_feat49",5.5163435945895,"turquoise"
"T_cluster4_feat10",5.4493648111042,"midnightblue"
"T_cluster4_feat70",5.43927591613344,"turquoise"
"T_cluster4_feat13",5.37724184502633,"grey"
"T_cluster8_feat64",4.94483071987303,"turquoise"
"T_cluster8_feat74",4.88482125453901,"turquoise"
"T_cluster6_feat64",4.64804785248528,"turquoise"
"T_cluster4_feat64",4.51437598774094,"turquoise"
"Expanded_criteria_donor",4.48363528348834,"grey"
"T_cluster6_feat57",4.11239003327295,"turquoise"
"T_cluster6_feat9",3.74135639556042,"turquoise"
"T_cluster6_feat19",3.71956525353027,"turquoise"
"T_cluster6_feat8",3.60836839916285,"grey"
"T_cluster6_feat74",3.50242386960403,"turquoise"
"T_cluster4_feat18",3.50232425009888,"midnightblue"
"T_cluster5_feat21",3.47134350875075,"tan"
"T_cluster4_feat21",3.25962018486076,"turquoise"
"T_cluster6_feat61",2.95524711481474,"midnightblue"
"T_cluster4_feat72",2.93157498464141,"turquoise"
"T_cluster6_feat27",2.78644863159923,"turquoise"
"T_cluster8_feat68",2.72078964062764,"turquoise"
"T_cluster4_feat59",2.68946806154803,"turquoise"
"T_cluster4_feat50",2.58328223055917,"turquoise"
"T_cluster4_feat25",2.39054219911273,"grey"
"T_cluster8_feat57",2.3439380901113,"turquoise"
"T_cluster4_feat73",2.23861847276025,"turquoise"
"T_cluster8_feat50",2.22989937354237,"turquoise"
"T_cluster4_feat19",2.11140174091965,"turquoise"
"T_cluster5_feat8",2.03814450783728,"grey"
"T_cluster6_feat55",1.98484283937,"turquoise"
"T_cluster4_feat27",1.96366854648223,"turquoise"
"T_cluster8_feat47",1.93687079373519,"turquoise"
"T_cluster6_feat7",1.86735174084098,"grey"
"T_cluster6_feat25",1.8492021173817,"grey"
"T_cluster8_feat73",1.59931436298582,"turquoise"
"T_cluster4_feat26",1.58243587311726,"grey"
"T_cluster4_feat23",1.54636469830388,"grey"
"Donor_final_creatinine",1.19387650372367,"grey"
"T_cluster4_feat22",1.04283092548476,"grey"
"T_cluster6_feat20",0.96799354886555,"turquoise"
"T_cluster6_feat22",0.653504137048791,"grey"
"T_cluster4_feat76",0.631310054381424,"turquoise"
"T_cluster8_feat25",0.548544485000198,"grey"
"T_cluster6_feat4",0.481241499299828,"grey"
"V_cluster5_feat77",0.459767161969262,"red"
"T_cluster5_feat26",0.440595786442775,"grey"
"V_cluster5_feat16",0.406214704823802,"grey"
"V_cluster2_feat47",0.261438293282588,"blue"
"T_cluster2_feat9",0.192405277178976,"cyan"
"V_cluster5_feat57",0.170284056233944,"red"
"V_cluster1_feat59",0.0820291844362171,"pink"
"T_cluster2_feat49",0.0666583365310581,"cyan"
"T_cluster2_feat52",0.0622243048060928,"cyan"
"T_cluster1_feat7",0.0615373882941301,"grey"
"V_cluster5_feat55",0.0583959013310243,"red"
"T_cluster1_feat50",0.0509544829355049,"black"
"V_cluster1_feat70",0.0243204346390607,"pink"
"V_cluster1_feat69",0.0219766422655937,"pink"
"T_cluster2_feat63",0.0213157844240754,"lightcyan"
"T_cluster1_feat5",0.0144211583572898,"grey"
"T_cluster1_feat21",0.0123770752314701,"black"
"T_cluster1_feat16",0.00212591599705305,"grey"
"T_cluster1_feat15",0.000167402158237019,"black"
"T_cluster1_feat14",0,"grey"
"T_cluster1_feat22",0,"grey"
"T_cluster1_feat23",0,"grey"
"T_cluster1_feat25",0,"grey"
"T_cluster1_feat26",0,"grey"
"T_cluster1_feat55",0,"black"
"T_cluster1_feat57",0,"black"
"T_cluster1_feat58",0,"grey"
"T_cluster1_feat65",0,"black"
"T_cluster1_feat72",0,"black"
"T_cluster1_feat73",0,"black"
"T_cluster1_feat76",0,"black"
"T_cluster1_feat77",0,"magenta"
"T_cluster7_feat1",0,"grey"
"T_cluster7_feat2",0,"magenta"
"T_cluster7_feat3",0,"magenta"
"T_cluster7_feat4",0,"grey"
"T_cluster7_feat5",0,"grey"
"T_cluster7_feat6",0,"magenta"
"T_cluster7_feat7",0,"grey"
"T_cluster7_feat9",0,"magenta"
"T_cluster1_feat9",-0.00182555000237717,"black"
"T_cluster1_feat54",-0.0436607902885866,"black"
"V_cluster5_feat76",-0.120855580528154,"red"
"V_cluster5_feat60",-0.126291051053557,"red"
"V_cluster6_feat64",-0.130051430039816,"yellow"
"V_cluster6_feat65",-0.16205191582968,"yellow"
"T_cluster8_feat26",-0.228037509087078,"grey"
"V_cluster6_feat51",-0.507129721903893,"yellow"
