"feature_name","variable_importance","module_membership"
"Donor_age",34.7382578136403,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",20.9361476703403,"grey"
"T_cluster4_feat11",15.1435556152443,"black"
"T_cluster4_feat15",11.1500196670289,"black"
"T_cluster8_feat72",9.55527155405623,"turquoise"
"T_cluster8_feat76",8.29875691199227,"turquoise"
"T_cluster4_feat16",6.22277835419668,"grey"
"T_cluster4_feat64",5.74765858762897,"turquoise"
"T_cluster8_feat74",4.68339877815157,"turquoise"
"T_cluster4_feat70",4.52005618305909,"turquoise"
"T_cluster4_feat10",4.14681732016163,"black"
"T_cluster4_feat13",3.93697306881299,"grey"
"T_cluster6_feat49",3.90965865492532,"turquoise"
"T_cluster5_feat66",3.63275733000129,"yellow"
"T_cluster6_feat8",3.59440452023726,"grey"
"T_cluster6_feat57",3.25114514332855,"turquoise"
"T_cluster4_feat72",3.24868254798302,"turquoise"
"Expanded_criteria_donor",3.12222793208575,"grey"
"T_cluster6_feat9",3.10431326821722,"turquoise"
"T_cluster6_feat64",2.91105218303039,"turquoise"
"T_cluster5_feat72",2.72433273054101,"yellow"
"T_cluster6_feat61",2.68846203276741,"black"
"T_cluster8_feat9",2.58986749389052,"turquoise"
"T_cluster6_feat50",2.58608553278635,"turquoise"
"Donor_final_creatinine",2.54316842342005,"grey"
"T_cluster4_feat19",2.53290027275188,"turquoise"
"T_cluster4_feat60",2.36708242415947,"black"
"T_cluster6_feat19",2.34902202748585,"turquoise"
"T_cluster4_feat50",2.3249631303727,"turquoise"
"T_cluster8_feat50",2.29938268324276,"turquoise"
"T_cluster4_feat21",2.13780508506689,"turquoise"
"T_cluster6_feat27",2.12156980238329,"turquoise"
"T_cluster8_feat64",2.11460528511932,"turquoise"
"T_cluster4_feat76",2.0718016789822,"turquoise"
"T_cluster4_feat26",2.01441859091448,"grey"
"T_cluster8_feat47",2.00221302887163,"turquoise"
"T_cluster4_feat73",1.88153191542234,"turquoise"
"T_cluster8_feat69",1.84725831140765,"turquoise"
"T_cluster6_feat71",1.74343011911571,"turquoise"
"T_cluster6_feat25",1.68806711439941,"grey"
"T_cluster6_feat4",1.68218940131352,"grey"
"T_cluster4_feat12",1.49772522796958,"black"
"T_cluster6_feat22",1.47267616026554,"grey"
"T_cluster5_feat49",1.3589004276749,"yellow"
"T_cluster4_feat4",1.35491930624463,"grey"
"T_cluster4_feat23",1.34670152866572,"grey"
"T_cluster4_feat68",1.22547656350907,"turquoise"
"T_cluster5_feat20",1.11446410953456,"yellow"
"T_cluster4_feat27",1.06731473431167,"turquoise"
"T_cluster4_feat22",0.91002724438298,"grey"
"T_cluster4_feat25",0.850355992147628,"grey"
"T_cluster5_feat61",0.820714536579832,"purple"
"T_cluster5_feat5",0.803306227323982,"grey"
"T_cluster8_feat73",0.786890643083346,"turquoise"
"T_cluster5_feat8",0.694177471835081,"grey"
"T_cluster4_feat18",0.602014241407558,"black"
"T_cluster3_feat2",0.543250316398928,"green"
"T_cluster5_feat26",0.515131518382866,"grey"
"T_cluster3_feat6",0.406946130598188,"green"
"T_cluster3_feat72",0.386205719857808,"magenta"
"T_cluster2_feat21",0.117602612827548,"red"
"T_cluster1_feat47",0.114419255192365,"blue"
"T_cluster2_feat15",0.112906030567627,"pink"
"T_cluster2_feat60",0.0500881035750482,"pink"
"T_cluster2_feat9",0.0445944413358116,"red"
"T_cluster2_feat76",0.0322868246245478,"red"
"T_cluster2_feat63",0.0310551561423449,"pink"
"T_cluster1_feat56",0.0300955513328106,"blue"
"T_cluster2_feat18",0.0102678710186368,"pink"
"T_cluster1_feat20",0.00711572740171668,"blue"
"T_cluster1_feat1",0.00294042974514919,"blue"
"T_cluster1_feat9",0,"blue"
"T_cluster1_feat12",0,"blue"
"T_cluster1_feat51",0,"blue"
"T_cluster1_feat54",0,"blue"
"T_cluster1_feat55",0,"blue"
"T_cluster1_feat73",0,"blue"
"T_cluster1_feat76",0,"blue"
"T_cluster1_feat77",0,"brown"
"T_cluster7_feat2",0,"brown"
"T_cluster7_feat3",0,"brown"
"T_cluster7_feat6",0,"brown"
"T_cluster7_feat9",0,"brown"
"T_cluster7_feat10",0,"brown"
"T_cluster7_feat11",0,"brown"
"T_cluster7_feat12",0,"brown"
"T_cluster7_feat15",0,"brown"
"T_cluster7_feat18",0,"brown"
"T_cluster7_feat19",0,"brown"
"T_cluster7_feat20",0,"brown"
"T_cluster2_feat52",-0.0452744466241569,"red"
"T_cluster8_feat25",-0.075872559999171,"grey"
"T_cluster8_feat57",-0.0961044697958384,"turquoise"
"T_cluster2_feat47",-0.101762060403632,"red"
"T_cluster4_feat5",-0.139059748860233,"grey"
"T_cluster5_feat57",-0.196179268823192,"yellow"
"T_cluster5_feat23",-0.298782152527978,"grey"
"T_cluster3_feat27",-0.311531740046379,"green"
"T_cluster3_feat48",-0.66660990080966,"green"
"T_cluster5_feat60",-0.824032651582982,"purple"
