"feature_name","variable_importance","module_membership"
"Donor_age",81.4905735856062,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",42.9100096723806,"grey"
"Donor_BMI",16.0182788802749,"grey"
"Donor_final_creatinine",13.0772071319955,"grey"
"Expanded_criteria_donor",12.8561864715228,"grey"
"Donor_weight_Kg",4.4982914963563,"grey"
"V_cluster5_feat57",3.71860818512482,"brown"
"V_cluster5_feat55",3.63842777189234,"brown"
"V_cluster5_feat77",2.3059791799662,"brown"
"V_cluster6_feat70",2.30524438155244,"blue"
"V_cluster5_feat14",1.98165012230252,"brown"
"V_cluster6_feat64",1.92977835596364,"blue"
"V_cluster6_feat61",1.9276609708832,"blue"
"V_cluster6_feat51",1.7333106088134,"blue"
"V_cluster5_feat70",1.72848271269645,"turquoise"
"V_cluster5_feat50",1.60681933636649,"brown"
"V_cluster5_feat72",1.55222432408253,"brown"
"V_cluster5_feat60",1.49994855452548,"brown"
"V_cluster6_feat46",1.42944170801018,"blue"
"V_cluster5_feat71",1.37364517822937,"brown"
"V_cluster6_feat55",1.25939270353972,"blue"
"V_cluster6_feat60",0.950951011753515,"blue"
"V_cluster6_feat65",0.906930753831627,"blue"
"V_cluster6_feat52",0.905578604939195,"blue"
"V_cluster5_feat16",0.863280072989731,"grey"
"V_cluster6_feat57",0.698459970039895,"blue"
"V_cluster5_feat61",0.602915263683293,"brown"
"V_cluster2_feat47",0.50446547513158,"black"
"V_cluster6_feat26",0.438589231977097,"blue"
"V_cluster6_feat7",0.432161379693668,"grey"
"V_cluster2_feat16",0.404581375329702,"grey"
"Donor_Hypertension_History",0.397019504311949,"grey"
"V_cluster2_feat58",0.389065406302598,"black"
"V_cluster6_feat11",0.387513974096646,"blue"
"V_cluster1_feat59",0.324300630339127,"yellow"
"V_cluster5_feat66",0.292368130828747,"brown"
"V_cluster6_feat25",0.264361805817964,"grey"
"V_cluster5_feat23",0.254834200097917,"green"
"V_cluster5_feat13",0.204836960392012,"grey"
"V_cluster1_feat58",0.204530995043632,"yellow"
"V_cluster1_feat68",0.199867120486726,"yellow"
"V_cluster1_feat64",0.173832053030606,"yellow"
"V_cluster1_feat55",0.149982379301922,"yellow"
"V_cluster1_feat46",0.149734901603987,"yellow"
"V_cluster2_feat49",0.136970981561078,"black"
"V_cluster6_feat22",0.111629472719786,"grey"
"V_cluster1_feat50",0.102899133472438,"yellow"
"V_cluster1_feat57",0.0981599171851554,"yellow"
"V_cluster1_feat60",0.0785037252108302,"yellow"
"V_cluster1_feat74",0.0741553636377548,"yellow"
"V_cluster1_feat61",0.0736817800695175,"yellow"
"V_cluster8_feat56",0.0647119427920073,"red"
"V_cluster8_feat47",0.0516579243023085,"red"
"V_cluster8_feat49",0.0508566687848827,"red"
"V_cluster1_feat71",0.0377738247611073,"yellow"
"V_cluster8_feat9",0.0332558862388225,"red"
"V_cluster8_feat19",0.0106754094747498,"red"
"V_cluster4_feat1",0,"pink"
"V_cluster4_feat2",0,"pink"
"V_cluster4_feat3",0,"pink"
"V_cluster4_feat4",0,"grey"
"V_cluster4_feat5",0,"grey"
"V_cluster4_feat6",0,"pink"
"V_cluster4_feat7",0,"grey"
"V_cluster4_feat8",0,"grey"
"V_cluster4_feat9",0,"pink"
"V_cluster4_feat10",0,"pink"
"V_cluster4_feat11",0,"pink"
"V_cluster4_feat12",0,"pink"
"V_cluster4_feat13",0,"grey"
"V_cluster4_feat14",0,"grey"
"V_cluster4_feat15",0,"pink"
"V_cluster4_feat16",0,"grey"
"V_cluster4_feat17",0,"grey"
"V_cluster4_feat18",0,"pink"
"V_cluster4_feat19",0,"pink"
"V_cluster4_feat20",0,"pink"
"V_cluster7_feat18",0,"green"
"V_cluster7_feat70",0,"green"
"V_cluster7_feat24",-0.00696668999089795,"green"
"V_cluster8_feat51",-0.00831561193322119,"red"
"V_cluster8_feat50",-0.00887125607217647,"red"
"V_cluster7_feat10",-0.0123106736793752,"green"
"V_cluster7_feat66",-0.0126355778125534,"green"
"V_cluster8_feat54",-0.0179680943900493,"red"
"V_cluster7_feat62",-0.0193445452038269,"green"
"V_cluster8_feat11",-0.0200691959162723,"red"
"V_cluster7_feat19",-0.0201209540592098,"green"
"V_cluster7_feat54",-0.0223699488246948,"green"
"V_cluster7_feat53",-0.0304950898310217,"green"
"V_cluster2_feat69",-0.0370785247081318,"black"
"V_cluster1_feat13",-0.0444274132420321,"grey"
"V_cluster2_feat51",-0.0489576488687545,"black"
"V_cluster2_feat20",-0.101887735180817,"black"
"V_cluster8_feat62",-0.103077593928059,"red"
"V_cluster2_feat6",-0.282811681819846,"black"
"V_cluster2_feat53",-0.332672644454373,"black"
"V_cluster5_feat65",-0.844047025846233,"brown"
"V_cluster3_feat58",-1.32018661454676,"turquoise"
"V_cluster3_feat57",-1.80427099219684,"turquoise"
