"feature_name","variable_importance","module_membership"
"Donor_age",40.9145475073982,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",19.6962179305146,"grey"
"arteries_hc2_feat10",9.51306875655712,"turquoise"
"Donor_height",9.28029305274491,"grey"
"arteries_hc2_feat57",7.46438434217876,"turquoise"
"arteries_hc4_feat18",7.06034286418078,"turquoise"
"arteries_hc4_feat54",6.45509103303033,"black"
"arteries_hc4_feat46",5.3059705271915,"black"
"arteries_hc4_feat56",5.20668098377644,"green"
"arteries_hc4_feat16",4.62961361476817,"grey"
"arteries_hc2_feat15",4.41479607112646,"turquoise"
"arteries_hc3_feat10",4.34927415072288,"turquoise"
"arteries_hc4_feat11",3.74658143314521,"turquoise"
"arteries_hc4_feat15",3.56412313380322,"turquoise"
"arteries_hc4_feat50",3.53169471693065,"black"
"arteries_hc4_feat55",3.47426152662643,"black"
"arteries_hc2_feat12",3.44799440716561,"green"
"arteries_hc4_feat48",3.22023370962995,"turquoise"
"arteries_hc3_feat57",3.13357653493854,"green"
"arteries_hc2_feat23",3.0718142494493,"grey"
"arteries_hc2_feat46",2.64414608694253,"green"
"scl_gloms_hc1_feat59",2.54529089333573,"yellow"
"scl_gloms_hc2_feat26",2.46314524573987,"grey"
"scl_gloms_hc2_feat23",2.346028240644,"grey"
"Expanded_criteria_donor",2.21983679907545,"grey"
"arteries_hc1_feat3",2.21084293294226,"pink"
"arteries_hc4_feat14",2.08782555644784,"grey"
"arteries_hc2_feat26",1.72368283742809,"grey"
"arteries_hc4_feat8",1.55978593215607,"grey"
"arteries_hc1_feat53",1.54976495095831,"pink"
"arteries_hc1_feat5",1.54652411072417,"grey"
"scl_gloms_hc1_feat13",1.39980753866102,"grey"
"arteries_hc2_feat4",1.29770951224255,"grey"
"arteries_hc4_feat23",1.26183378565434,"grey"
"arteries_hc3_feat12",1.14113436778137,"magenta"
"arteries_hc2_feat22",1.12507435431539,"grey"
"scl_gloms_hc2_feat59",1.08008352170937,"brown"
"scl_gloms_hc4_feat9",0.997621035372245,"blue"
"scl_gloms_hc1_feat5",0.99093772741119,"grey"
"arteries_hc2_feat20",0.971012949709304,"green"
"arteries_hc4_feat26",0.944935625192073,"grey"
"arteries_hc2_feat16",0.893838889782739,"grey"
"arteries_hc1_feat46",0.892254354675751,"pink"
"arteries_hc4_feat5",0.889921427673716,"grey"
"arteries_hc4_feat13",0.818151065566609,"grey"
"arteries_hc2_feat7",0.777370683810145,"grey"
"arteries_hc3_feat46",0.76437574199249,"magenta"
"arteries_hc1_feat48",0.746440084200827,"turquoise"
"arteries_hc2_feat56",0.614110494804808,"green"
"arteries_hc2_feat6",0.604842633761957,"turquoise"
"scl_gloms_hc2_feat20",0.556207341487931,"brown"
"arteries_hc1_feat17",0.470665378877492,"grey"
"arteries_hc4_feat4",0.456426761096451,"grey"
"scl_gloms_hc2_feat18",0.40446325368055,"brown"
"scl_gloms_hc2_feat19",0.359115058828578,"brown"
"scl_gloms_hc1_feat15",0.352236315343173,"yellow"
"scl_gloms_hc1_feat46",0.343393951200081,"yellow"
"scl_gloms_hc1_feat12",0.333185907790922,"yellow"
"arteries_hc2_feat1",0.309455119145228,"turquoise"
"scl_gloms_hc4_feat1",0.287636429103042,"blue"
"scl_gloms_hc3_feat58",0.266675038243887,"red"
"scl_gloms_hc3_feat15",0.15674508399387,"purple"
"scl_gloms_hc2_feat53",0.120918897877347,"brown"
"scl_gloms_hc3_feat11",0.116538097199089,"purple"
"arteries_hc4_feat49",0.112036925134451,"turquoise"
"scl_gloms_hc4_feat3",0.105849355975045,"blue"
"scl_gloms_hc3_feat57",0.0947944042520771,"red"
"scl_gloms_hc1_feat10",0.0540761029671673,"yellow"
"scl_gloms_hc3_feat12",0.00770996817070276,"red"
"arteries_hc1_feat8",-0.011851279047116,"grey"
"arteries_hc4_feat7",-0.0570690987282111,"grey"
"scl_gloms_hc4_feat12",-0.0781112875824899,"blue"
"scl_gloms_hc4_feat53",-0.1085655600527,"blue"
"scl_gloms_hc3_feat18",-0.117872661376822,"purple"
"scl_gloms_hc2_feat56",-0.14459920801967,"brown"
"arteries_hc1_feat50",-0.184448692854858,"pink"
"scl_gloms_hc2_feat10",-0.207033670291802,"brown"
"scl_gloms_hc4_feat52",-0.260077527887932,"blue"
"scl_gloms_hc1_feat58",-0.397091461927629,"yellow"
"scl_gloms_hc2_feat52",-0.459481810827313,"blue"
"scl_gloms_hc3_feat55",-0.612526053054732,"red"
"arteries_hc3_feat53",-0.965098269769248,"magenta"
"arteries_hc1_feat16",-1.25114018436952,"grey"
