"feature_name","variable_importance","module_membership"
"Donor_age",30.7643914746076,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",30.6967159301021,"grey"
"arteries_hc2_feat10",16.0671284300637,"turquoise"
"arteries_hc4_feat46",12.5403218044488,"brown"
"arteries_hc4_feat18",11.1009326811071,"turquoise"
"arteries_hc4_feat56",9.29726142468181,"blue"
"arteries_hc4_feat54",8.99229136243411,"brown"
"arteries_hc2_feat11",7.44708111696404,"turquoise"
"arteries_hc4_feat11",6.81609577904114,"turquoise"
"arteries_hc3_feat10",6.71248879213992,"turquoise"
"arteries_hc4_feat10",6.45110279819426,"turquoise"
"arteries_hc4_feat16",6.05854213102215,"grey"
"arteries_hc2_feat15",5.72043472046923,"turquoise"
"arteries_hc4_feat15",4.96091819873048,"turquoise"
"arteries_hc3_feat49",4.83493910555526,"turquoise"
"arteries_hc3_feat16",4.45044811364946,"grey"
"arteries_hc2_feat26",4.17922910598194,"grey"
"arteries_hc4_feat7",4.14359793501474,"grey"
"arteries_hc4_feat50",3.91631582943613,"brown"
"arteries_hc4_feat13",3.83427891786292,"grey"
"arteries_hc4_feat14",3.55735967120513,"grey"
"arteries_hc4_feat55",3.49595742068327,"brown"
"arteries_hc4_feat48",3.25967758052428,"turquoise"
"arteries_hc2_feat12",2.95041041249014,"blue"
"arteries_hc4_feat17",2.727697720752,"grey"
"arteries_hc1_feat3",2.63015639417571,"yellow"
"arteries_hc4_feat23",2.32141654208477,"grey"
"arteries_hc2_feat56",2.30074851569953,"blue"
"arteries_hc1_feat50",2.23994866177736,"yellow"
"arteries_hc2_feat21",2.19370731390552,"blue"
"arteries_hc2_feat23",2.04202438215545,"grey"
"arteries_hc2_feat8",1.70385750382477,"grey"
"arteries_hc3_feat46",1.48362642087134,"green"
"arteries_hc3_feat53",1.36082698284436,"green"
"arteries_hc2_feat54",1.16706290554128,"blue"
"arteries_hc3_feat21",0.879649095424947,"green"
"arteries_hc1_feat55",0.625510057701992,"yellow"
"arteries_hc4_feat8",0.615228103969622,"grey"
"arteries_hc2_feat22",0.40220919598734,"grey"
"arteries_hc2_feat46",0.401122002869649,"blue"
"arteries_hc1_feat53",0.20892591569828,"yellow"
"arteries_hc2_feat2",-2.5465440089407,"turquoise"
