"feature_name","variable_importance","module_membership"
"Donor_age",34.7860461091275,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",16.7902044936998,"grey"
"glomeruli_hc4_feat18",6.548531788093,"red"
"arteries_hc4_feat54",6.54816358386644,"salmon"
"glomeruli_hc4_feat12",6.34334415871783,"red"
"arteries_hc2_feat10",5.48294482697068,"turquoise"
"arteries_hc3_feat57",4.75859215104429,"black"
"glomeruli_hc2_feat52",4.67098159566478,"grey"
"Donor_height",4.6293400156773,"grey"
"glomeruli_hc4_feat56",4.54320548610977,"red"
"arteries_hc4_feat46",4.37739327317103,"salmon"
"arteries_hc4_feat56",4.29373563771391,"black"
"glomeruli_hc2_feat5",3.86340665486975,"grey"
"glomeruli_hc4_feat6",2.9832181415153,"turquoise"
"arteries_hc2_feat57",2.71320141196867,"turquoise"
"glomeruli_hc1_feat23",2.65445428273026,"grey"
"glomeruli_hc2_feat8",2.56871235295164,"grey"
"arteries_hc4_feat18",2.55714061359784,"turquoise"
"glomeruli_hc2_feat54",2.51486310409601,"greenyellow"
"Expanded_criteria_donor",2.50540047343881,"grey"
"arteries_hc4_feat15",2.39919193113323,"turquoise"
"glomeruli_hc2_feat7",2.37666991411619,"grey"
"arteries_hc2_feat11",2.33825644324485,"turquoise"
"glomeruli_hc4_feat58",2.3184021665697,"red"
"arteries_hc3_feat10",2.27312776192142,"turquoise"
"glomeruli_hc4_feat59",2.19059814767692,"turquoise"
"arteries_hc4_feat13",2.18144289514487,"grey"
"glomeruli_hc4_feat10",2.16401459343471,"red"
"glomeruli_hc2_feat21",2.13666035982092,"midnightblue"
"arteries_hc4_feat16",1.91203345627729,"grey"
"scl_gloms_hc2_feat26",1.69979840152905,"grey"
"glomeruli_hc2_feat53",1.63224102613671,"greenyellow"
"glomeruli_hc1_feat5",1.51064356399086,"grey"
"glomeruli_hc2_feat19",1.45834109828656,"midnightblue"
"arteries_hc4_feat23",1.33419819824294,"grey"
"arteries_hc2_feat22",1.27894882361214,"grey"
"Donor_final_creatinine",1.26068888478416,"grey"
"arteries_hc4_feat26",1.24388375295723,"grey"
"scl_gloms_hc1_feat59",1.17846990451251,"yellow"
"glomeruli_hc1_feat26",1.16826850713214,"grey"
"glomeruli_hc4_feat14",1.11288613513402,"grey"
"arteries_hc2_feat12",1.110493281333,"black"
"scl_gloms_hc1_feat52",1.02754311065386,"grey"
"arteries_hc4_feat10",1.01398378244292,"turquoise"
"arteries_hc4_feat50",0.989668883825568,"salmon"
"arteries_hc4_feat5",0.940442950571531,"grey"
"glomeruli_hc1_feat59",0.927214569168005,"turquoise"
"arteries_hc3_feat16",0.921342456353283,"grey"
"arteries_hc3_feat21",0.916007269521322,"magenta"
"arteries_hc2_feat46",0.915690024020628,"black"
"glomeruli_hc4_feat53",0.879994595358033,"red"
"arteries_hc3_feat53",0.830593016909972,"magenta"
"arteries_hc4_feat53",0.787835170060232,"salmon"
"glomeruli_hc4_feat2",0.73740880722786,"turquoise"
"scl_gloms_hc1_feat13",0.705321808420393,"grey"
"arteries_hc1_feat50",0.672000621427259,"tan"
"arteries_hc1_feat3",0.66079342202636,"tan"
"arteries_hc4_feat11",0.594912649518671,"turquoise"
"arteries_hc2_feat25",0.590380968360361,"grey"
"scl_gloms_hc2_feat10",0.433497650858989,"brown"
"scl_gloms_hc1_feat10",0.364707463162861,"yellow"
"arteries_hc1_feat53",0.348395350934917,"tan"
"scl_gloms_hc2_feat27",0.347403909935277,"brown"
"arteries_hc4_feat17",0.345436554903153,"grey"
"arteries_hc3_feat51",0.327847576987102,"magenta"
"glomeruli_hc1_feat4",0.318284168719581,"grey"
"glomeruli_hc1_feat27",0.31486470712057,"pink"
"scl_gloms_hc2_feat59",0.302379683849528,"brown"
"scl_gloms_hc4_feat2",0.261643485407577,"blue"
"arteries_hc3_feat12",0.254668335903979,"magenta"
"glomeruli_hc3_feat15",0.202520875961341,"green"
"scl_gloms_hc1_feat53",0.182772846724242,"yellow"
"glomeruli_hc1_feat14",0.180288342316672,"grey"
"glomeruli_hc1_feat49",0.13853436564236,"pink"
"glomeruli_hc1_feat20",0.126818519962024,"pink"
"scl_gloms_hc4_feat3",0.116994207901901,"blue"
"scl_gloms_hc2_feat58",0.0880400361858737,"brown"
"scl_gloms_hc3_feat11",0.0813794269426821,"cyan"
"scl_gloms_hc2_feat52",0.0455812906015494,"blue"
"scl_gloms_hc2_feat23",0.00522230012173003,"grey"
"scl_gloms_hc4_feat52",-0.010191963195125,"blue"
"glomeruli_hc1_feat15",-0.0403702274661509,"turquoise"
"glomeruli_hc1_feat17",-0.0417772497015841,"grey"
"glomeruli_hc3_feat51",-0.1216507838962,"green"
"scl_gloms_hc3_feat10",-0.122055615426494,"cyan"
"scl_gloms_hc2_feat53",-0.12219126902461,"brown"
"scl_gloms_hc1_feat18",-0.122901892972193,"yellow"
"scl_gloms_hc4_feat1",-0.137629545100765,"blue"
"arteries_hc2_feat56",-0.141223888467222,"black"
"scl_gloms_hc3_feat52",-0.152918240446696,"blue"
"arteries_hc1_feat4",-0.23163748038722,"grey"
"scl_gloms_hc4_feat9",-0.242702168948277,"blue"
"scl_gloms_hc2_feat20",-0.247020243890985,"brown"
"scl_gloms_hc4_feat12",-0.256901496227812,"blue"
"scl_gloms_hc1_feat58",-0.257481127240908,"yellow"
"scl_gloms_hc2_feat14",-0.275034816739312,"grey"
"scl_gloms_hc3_feat58",-0.290916744356741,"purple"
"arteries_hc2_feat16",-0.319809780988416,"grey"
"scl_gloms_hc3_feat12",-0.339926601415532,"purple"
"glomeruli_hc1_feat24",-0.775664659172307,"pink"
