"feature_name","variable_importance","module_membership"
"Donor_age",29.2848857589376,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",15.2506230368851,"grey"
"Donor_height",11.80282682067,"grey"
"arteries_hc2_feat10",7.63337435879464,"turquoise"
"glomeruli_hc4_feat12",7.5241483308832,"brown"
"glomeruli_hc4_feat18",7.23078300905873,"brown"
"arteries_hc3_feat57",6.06061327994295,"yellow"
"arteries_hc2_feat57",4.99514086392977,"turquoise"
"glomeruli_hc4_feat56",4.95148577799984,"brown"
"arteries_hc3_feat10",4.76032667620878,"turquoise"
"arteries_hc4_feat54",4.52385538686896,"magenta"
"arteries_hc4_feat56",4.25894937733571,"yellow"
"arteries_hc2_feat11",3.96942987509062,"turquoise"
"glomeruli_hc2_feat4",3.44964125824987,"grey"
"Expanded_criteria_donor",3.43504367964223,"grey"
"glomeruli_hc1_feat23",3.3936854606737,"grey"
"glomeruli_hc4_feat10",2.74412420468861,"brown"
"arteries_hc4_feat46",2.67374856737827,"magenta"
"glomeruli_hc2_feat7",2.63653030751118,"grey"
"glomeruli_hc2_feat52",2.61888619490448,"grey"
"arteries_hc1_feat5",2.61355307272917,"grey"
"glomeruli_hc2_feat54",2.58975376634026,"black"
"arteries_hc4_feat12",2.45373024449358,"magenta"
"glomeruli_hc1_feat59",2.3919276501874,"turquoise"
"arteries_hc4_feat18",2.38450464779218,"turquoise"
"glomeruli_hc2_feat8",2.26018563826428,"grey"
"glomeruli_hc4_feat15",2.25524132825084,"brown"
"glomeruli_hc4_feat53",2.24919540130007,"brown"
"arteries_hc4_feat10",2.1753806616477,"turquoise"
"glomeruli_hc4_feat14",2.14462035784705,"grey"
"arteries_hc4_feat14",2.0972318100631,"grey"
"arteries_hc2_feat26",1.95500084253994,"grey"
"arteries_hc2_feat20",1.90249575514651,"yellow"
"glomeruli_hc4_feat6",1.89319924352995,"turquoise"
"glomeruli_hc4_feat59",1.8783710261055,"turquoise"
"arteries_hc4_feat16",1.64958143380913,"grey"
"arteries_hc2_feat15",1.51228630918424,"turquoise"
"arteries_hc2_feat6",1.50922272932912,"turquoise"
"arteries_hc4_feat55",1.47434718124561,"magenta"
"glomeruli_hc2_feat19",1.42435254369727,"purple"
"arteries_hc3_feat16",1.32437851057983,"grey"
"arteries_hc1_feat55",1.25823765478776,"pink"
"arteries_hc4_feat23",1.25323849463615,"grey"
"arteries_hc4_feat26",1.15869367642911,"grey"
"glomeruli_hc1_feat8",1.14717767905313,"grey"
"arteries_hc2_feat27",1.0993972171772,"yellow"
"glomeruli_hc4_feat2",1.07741205450216,"turquoise"
"arteries_hc2_feat46",1.06785213996626,"yellow"
"glomeruli_hc2_feat53",1.05555367523516,"black"
"arteries_hc4_feat11",0.969719857428338,"turquoise"
"arteries_hc1_feat3",0.933682298803916,"pink"
"arteries_hc2_feat16",0.909858961693874,"grey"
"glomeruli_hc1_feat58",0.883726609245212,"turquoise"
"glomeruli_hc2_feat20",0.873364442468125,"purple"
"arteries_hc4_feat15",0.855911909943939,"turquoise"
"arteries_hc1_feat53",0.801317098102808,"pink"
"arteries_hc4_feat13",0.797094165702429,"grey"
"arteries_hc4_feat5",0.791140921382193,"grey"
"arteries_hc3_feat21",0.748763506617015,"red"
"glomeruli_hc2_feat21",0.658570389739239,"purple"
"glomeruli_hc3_feat10",0.608447459529357,"blue"
"glomeruli_hc1_feat20",0.503983546321054,"green"
"glomeruli_hc1_feat26",0.489378674717167,"grey"
"arteries_hc1_feat16",0.429561535693593,"grey"
"arteries_hc2_feat23",0.393907801989881,"grey"
"glomeruli_hc2_feat56",0.390090372559754,"black"
"glomeruli_hc2_feat50",0.359042358908853,"black"
"arteries_hc3_feat13",0.244253339822801,"grey"
"arteries_hc4_feat7",0.212558283443895,"grey"
"arteries_hc3_feat15",0.146062889838426,"turquoise"
"arteries_hc2_feat12",0.0255094588908298,"yellow"
"glomeruli_hc3_feat46",-0.0813654691627356,"blue"
"arteries_hc3_feat51",-0.10831644713984,"red"
"glomeruli_hc1_feat55",-0.128542530049606,"green"
"glomeruli_hc4_feat1",-0.205325490488448,"turquoise"
"arteries_hc3_feat12",-0.220846666150367,"red"
"glomeruli_hc3_feat3",-0.284625410568254,"blue"
"glomeruli_hc1_feat50",-0.388025822452937,"green"
"arteries_hc1_feat46",-0.483087588508662,"pink"
"glomeruli_hc1_feat24",-0.565906930856778,"green"
"glomeruli_hc3_feat12",-0.742334187174874,"blue"
"arteries_hc3_feat46",-1.06250371579209,"red"
"glomeruli_hc1_feat49",-1.34209126772303,"green"
