"feature_name","variable_importance","module_membership"
"Donor_age",25.4049493238636,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",19.8555948514275,"grey"
"tubules_hc2_feat58",12.890369913367,"turquoise"
"Donor_height",6.99339598756156,"grey"
"glomeruli_hc4_feat12",6.19184608896911,"purple"
"tubules_hc3_feat58",5.61974458548729,"turquoise"
"Donor_final_creatinine",4.03648280633626,"grey"
"glomeruli_hc4_feat18",3.69932462980189,"turquoise"
"tubules_hc2_feat16",3.37617019670293,"grey"
"arteries_hc3_feat57",3.18094418383454,"red"
"tubules_hc3_feat47",3.12358709824156,"turquoise"
"arteries_hc4_feat54",3.0591277940215,"midnightblue"
"arteries_hc3_feat10",2.95471856529959,"turquoise"
"tubules_hc2_feat18",2.94822347901586,"turquoise"
"Expanded_criteria_donor",2.92227307177456,"grey"
"tubules_hc3_feat14",2.92206524789178,"grey"
"glomeruli_hc2_feat5",2.79505145267215,"grey"
"arteries_hc4_feat46",2.69626537867059,"midnightblue"
"tubules_hc3_feat17",2.38203258395976,"grey"
"tubules_hc2_feat5",2.26686921123616,"grey"
"tubules_hc2_feat15",2.21304664191357,"turquoise"
"arteries_hc4_feat10",2.13115084624258,"turquoise"
"tubules_hc4_feat50",2.10860268524698,"grey60"
"glomeruli_hc1_feat23",2.06810110854868,"grey"
"tubules_hc2_feat12",2.03453769417234,"lightcyan"
"tubules_hc2_feat26",1.94267750117354,"grey"
"arteries_hc4_feat50",1.85625725848379,"midnightblue"
"glomeruli_hc2_feat8",1.81367195488323,"grey"
"glomeruli_hc2_feat4",1.7548000004249,"grey"
"tubules_hc2_feat23",1.75456201540182,"grey"
"glomeruli_hc4_feat10",1.66243552751632,"turquoise"
"arteries_hc3_feat48",1.58436097013098,"turquoise"
"glomeruli_hc1_feat59",1.58131499359531,"turquoise"
"tubules_hc2_feat11",1.56174711434595,"turquoise"
"tubules_hc2_feat10",1.50651179978206,"turquoise"
"tubules_hc3_feat15",1.48691972849046,"turquoise"
"tubules_hc1_feat14",1.38762215389721,"grey"
"scl_gloms_hc2_feat23",1.38452782623986,"grey"
"tubules_hc1_feat7",1.33494047994217,"grey"
