"feature_name","variable_importance","module_membership"
"Donor_age",20.866986146179,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",18.8796180018472,"grey"
"tubules_hc2_feat58",17.2423997498346,"turquoise"
"Donor_height",7.5074680651385,"grey"
"glomeruli_hc4_feat12",7.06694965972313,"red"
"tubules_hc2_feat16",7.04169749034344,"grey"
"tubules_hc3_feat58",6.47678514070199,"turquoise"
"tubules_hc2_feat10",6.28692277673279,"turquoise"
"glomeruli_hc2_feat52",3.7467903890129,"grey"
"glomeruli_hc2_feat4",3.73555090724728,"grey"
"glomeruli_hc4_feat18",3.70641202807719,"red"
"tubules_hc1_feat16",3.26336565828351,"grey"
"glomeruli_hc4_feat56",3.06615553130812,"red"
"glomeruli_hc2_feat21",2.81527746149595,"grey60"
"tubules_hc2_feat11",2.81278782371257,"turquoise"
"tubules_hc2_feat5",2.62543075600797,"grey"
"tubules_hc3_feat15",2.49625603347268,"turquoise"
"tubules_hc1_feat4",2.34157846429652,"grey"
"glomeruli_hc2_feat5",2.32614159092013,"grey"
"tubules_hc4_feat4",2.25162687077962,"grey"
"glomeruli_hc4_feat10",1.69316733971901,"red"
"tubules_hc2_feat15",1.6573650484524,"turquoise"
"glomeruli_hc2_feat7",1.63662327226225,"grey"
"glomeruli_hc1_feat23",1.61511872357141,"grey"
"tubules_hc1_feat7",1.58135772425009,"grey"
"tubules_hc4_feat50",1.52631930266399,"cyan"
"scl_gloms_hc1_feat53",1.4262587442622,"yellow"
"tubules_hc3_feat11",1.41453726033827,"turquoise"
"glomeruli_hc2_feat53",1.39636568222745,"greenyellow"
"glomeruli_hc4_feat6",1.34877861860288,"turquoise"
"glomeruli_hc3_feat18",1.27512709541523,"green"
"tubules_hc3_feat16",1.27449843878502,"grey"
"tubules_hc1_feat14",1.25174411231857,"grey"
"tubules_hc1_feat11",1.15163729446603,"salmon"
"glomeruli_hc4_feat53",1.13818087323169,"red"
"tubules_hc2_feat26",1.1370621660686,"grey"
"glomeruli_hc2_feat49",1.1263574389259,"grey60"
"tubules_hc4_feat55",0.923216452340321,"cyan"
"tubules_hc4_feat3",0.884318216644831,"cyan"
"scl_gloms_hc2_feat23",0.874214777478884,"grey"
"glomeruli_hc4_feat7",0.858681325171724,"grey"
"glomeruli_hc2_feat19",0.826066730900206,"grey60"
"tubules_hc4_feat6",0.79698281296841,"purple"
"tubules_hc2_feat13",0.781199213292953,"grey"
"glomeruli_hc4_feat49",0.761016781548698,"turquoise"
"tubules_hc3_feat46",0.746701932903716,"lightgreen"
"scl_gloms_hc1_feat59",0.731678281696944,"yellow"
"tubules_hc1_feat8",0.729206049024545,"grey"
"tubules_hc2_feat23",0.724689031659559,"grey"
"tubules_hc2_feat12",0.724574107999599,"tan"
"scl_gloms_hc2_feat26",0.699858353852739,"grey"
"scl_gloms_hc2_feat27",0.680018823622722,"brown"
"glomeruli_hc2_feat51",0.654221130123783,"greenyellow"
"tubules_hc4_feat1",0.640123216625652,"purple"
"scl_gloms_hc1_feat46",0.636316436969398,"yellow"
"tubules_hc4_feat2",0.593884150647221,"purple"
"tubules_hc1_feat5",0.590169400098772,"grey"
"scl_gloms_hc1_feat16",0.579712853114107,"grey"
"tubules_hc3_feat13",0.573787105684824,"grey"
"scl_gloms_hc2_feat14",0.573620101028179,"grey"
"glomeruli_hc4_feat17",0.554888717097289,"grey"
"tubules_hc2_feat4",0.489269069474958,"grey"
"scl_gloms_hc2_feat52",0.465455433704065,"blue"
"tubules_hc2_feat53",0.418879673628058,"tan"
"tubules_hc2_feat8",0.410378722168118,"grey"
"scl_gloms_hc3_feat13",0.387282096386128,"grey"
"scl_gloms_hc1_feat15",0.382456720252517,"yellow"
"tubules_hc3_feat19",0.356348201593127,"pink"
"glomeruli_hc4_feat2",0.337467405248678,"turquoise"
"scl_gloms_hc2_feat19",0.330561539544649,"brown"
"scl_gloms_hc1_feat58",0.312626520472364,"yellow"
"tubules_hc1_feat15",0.307253647534092,"salmon"
"scl_gloms_hc4_feat9",0.282716569884929,"blue"
"tubules_hc2_feat57",0.231497320947726,"midnightblue"
"scl_gloms_hc3_feat15",0.218736083628724,"lightcyan"
"scl_gloms_hc3_feat52",0.161836365490574,"blue"
"scl_gloms_hc2_feat10",0.157111193013956,"brown"
"scl_gloms_hc3_feat12",0.136168440004776,"magenta"
"scl_gloms_hc4_feat1",0.114860308445424,"blue"
"scl_gloms_hc1_feat10",0.0822624657179855,"yellow"
"scl_gloms_hc4_feat6",0.0563703206867676,"blue"
"scl_gloms_hc2_feat21",0.0109565711041524,"brown"
"scl_gloms_hc2_feat47",-0.00834545062838509,"brown"
"scl_gloms_hc2_feat24",-0.0182375488619798,"brown"
"glomeruli_hc1_feat24",-0.0641645036253535,"black"
"tubules_hc3_feat54",-0.0822755984987953,"lightgreen"
"scl_gloms_hc3_feat11",-0.113961582339507,"lightcyan"
"tubules_hc3_feat48",-0.115323671287766,"pink"
"tubules_hc1_feat18",-0.117627183214082,"salmon"
"glomeruli_hc3_feat10",-0.149559895620826,"green"
"glomeruli_hc4_feat1",-0.198852011151455,"turquoise"
"scl_gloms_hc2_feat59",-0.202642524637082,"brown"
"tubules_hc2_feat6",-0.205191030818237,"midnightblue"
"scl_gloms_hc3_feat59",-0.216118267938462,"lightcyan"
"scl_gloms_hc2_feat54",-0.235814821045774,"brown"
"tubules_hc3_feat50",-0.550708956947505,"lightgreen"
"tubules_hc2_feat2",-0.839292114359031,"midnightblue"
"glomeruli_hc3_feat48",-1.22316667268488,"green"
"tubules_hc2_feat21",-1.46075383663721,"tan"
"glomeruli_hc3_feat46",-1.80327954957372,"green"
