"feature_name","variable_importance","module_membership"
"Donor_age",23.1850513631139,"grey"
"tubules_hc2_feat58",14.7241201756654,"turquoise"
"Donor_eGFR_CKD_EPI_final_creatinine",13.1094145165989,"grey"
"tubules_hc2_feat16",8.25571098170254,"grey"
"Donor_height",5.41934163733458,"grey"
"glomeruli_hc4_feat18",5.01012572116093,"brown"
"glomeruli_hc4_feat12",4.9078911332712,"brown"
"tubules_hc1_feat10",4.90277655217058,"magenta"
"tubules_hc3_feat58",4.58670073585919,"turquoise"
"tubules_hc2_feat11",4.57640491524754,"turquoise"
"glomeruli_hc2_feat4",3.98395213661876,"grey"
"tubules_hc2_feat15",3.73558953850023,"turquoise"
"tubules_hc2_feat10",3.54334960073707,"turquoise"
"tubules_hc2_feat12",2.86818034152766,"pink"
"glomeruli_hc2_feat5",2.83800247402755,"grey"
"tubules_hc3_feat17",2.81675924930532,"grey"
"glomeruli_hc2_feat52",2.7987467601761,"grey"
"tubules_hc2_feat5",2.6884133022522,"grey"
"glomeruli_hc2_feat8",2.6611018977528,"grey"
"tubules_hc2_feat26",2.37816065382906,"grey"
"tubules_hc2_feat13",2.37397049538586,"grey"
"tubules_hc2_feat4",2.34793781702421,"grey"
"tubules_hc1_feat13",2.32255835730049,"grey"
"tubules_hc2_feat23",2.16371718753636,"grey"
"glomeruli_hc4_feat56",2.13117552386835,"brown"
"tubules_hc1_feat7",1.99061891472446,"grey"
"tubules_hc4_feat49",1.90082071509949,"red"
"glomeruli_hc4_feat53",1.85154710303792,"brown"
"tubules_hc1_feat16",1.8252343531268,"grey"
"tubules_hc3_feat14",1.63752165762284,"grey"
"glomeruli_hc4_feat59",1.57236437739678,"turquoise"
"tubules_hc1_feat15",1.53690149406915,"magenta"
"tubules_hc3_feat54",1.47609024004256,"tan"
"Expanded_criteria_donor",1.4542026904456,"grey"
"tubules_hc1_feat26",1.37476041633936,"grey"
"tubules_hc4_feat3",1.34212936490094,"purple"
"tubules_hc3_feat18",1.25780530824078,"turquoise"
"tubules_hc4_feat55",1.21148990531052,"purple"
"glomeruli_hc2_feat55",1.18035653463419,"black"
"glomeruli_hc2_feat53",1.1153717868588,"black"
"tubules_hc3_feat52",1.10105194549903,"grey"
"glomeruli_hc4_feat10",1.06201508154791,"brown"
"glomeruli_hc4_feat49",1.05521919426529,"turquoise"
"tubules_hc3_feat46",0.958063139523723,"tan"
"glomeruli_hc1_feat46",0.950562737943664,"yellow"
"glomeruli_hc1_feat55",0.894557706315749,"yellow"
"glomeruli_hc3_feat10",0.848144892746817,"blue"
"glomeruli_hc2_feat7",0.776453398587612,"grey"
"glomeruli_hc1_feat26",0.676367841232214,"grey"
"tubules_hc3_feat15",0.640735741622801,"turquoise"
"tubules_hc1_feat4",0.61257530816312,"grey"
"glomeruli_hc4_feat1",0.589262229891567,"turquoise"
"tubules_hc4_feat1",0.585976952056693,"red"
"tubules_hc2_feat2",0.583926825953946,"greenyellow"
"tubules_hc4_feat6",0.56015960788742,"red"
"tubules_hc3_feat48",0.444021598064363,"green"
"tubules_hc2_feat53",0.434571481834225,"pink"
"tubules_hc2_feat6",0.408737250531843,"greenyellow"
"tubules_hc3_feat50",0.347476715701134,"tan"
"tubules_hc1_feat18",0.321816736279719,"magenta"
"glomeruli_hc1_feat5",0.292361670916933,"grey"
"glomeruli_hc4_feat2",0.248896588426478,"turquoise"
"tubules_hc1_feat11",0.236254009112816,"magenta"
"glomeruli_hc2_feat20",0.218685602855673,"salmon"
"tubules_hc3_feat2",0.215225134763168,"green"
"tubules_hc4_feat2",0.20297374301683,"red"
"glomeruli_hc4_feat54",0.178919957169141,"brown"
"glomeruli_hc2_feat54",0.129112579053838,"black"
"glomeruli_hc3_feat55",-0.0335270195910349,"blue"
"glomeruli_hc2_feat56",-0.0427097733158628,"black"
"tubules_hc2_feat9",-0.0648593108687071,"greenyellow"
"glomeruli_hc1_feat24",-0.0823968242213041,"yellow"
"glomeruli_hc2_feat19",-0.101659497951829,"salmon"
"glomeruli_hc2_feat21",-0.133837406769656,"salmon"
"glomeruli_hc3_feat46",-0.245856221029642,"blue"
"glomeruli_hc1_feat49",-0.270826393275585,"yellow"
"tubules_hc3_feat13",-0.325714442491396,"grey"
"tubules_hc2_feat56",-0.390937427136854,"pink"
"glomeruli_hc3_feat48",-0.612509546319624,"blue"
"glomeruli_hc3_feat12",-0.662426597531072,"blue"
"glomeruli_hc4_feat6",-0.682301934950188,"turquoise"
"tubules_hc3_feat49",-0.734201593023203,"green"
"tubules_hc2_feat50",-0.981518975557404,"pink"
"glomeruli_hc3_feat3",-1.12624178875833,"blue"
