"feature_name","variable_importance","module_membership"
"Donor_age",32.703253309599,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",24.3988781893944,"grey"
"glomeruli_hc4_feat12",8.02529055848916,"red"
"glomeruli_hc2_feat52",7.95955039103122,"magenta"
"glomeruli_hc4_feat58",5.19178115935013,"red"
"glomeruli_hc4_feat56",5.12190662494542,"red"
"glomeruli_hc1_feat23",5.03835750821951,"cyan"
"glomeruli_hc1_feat59",3.81439322777732,"turquoise"
"glomeruli_hc2_feat4",3.50773217413648,"magenta"
"glomeruli_hc1_feat26",3.31476838311622,"cyan"
"Expanded_criteria_donor",3.05486800625475,"grey"
"glomeruli_hc4_feat53",2.83186432266205,"red"
"scl_gloms_hc1_feat59",2.75504000344629,"yellow"
"scl_gloms_hc2_feat23",2.53364622251047,"grey"
"scl_gloms_hc1_feat53",2.52338009442824,"yellow"
"glomeruli_hc2_feat19",2.39743842246579,"tan"
"glomeruli_hc4_feat6",2.2503282654445,"midnightblue"
"glomeruli_hc3_feat59",2.20432233993211,"grey"
"scl_gloms_hc2_feat26",1.9665839566074,"grey"
"glomeruli_hc1_feat4",1.82842614029694,"grey"
"glomeruli_hc4_feat2",1.80857986604603,"midnightblue"
"scl_gloms_hc1_feat13",1.70588478280713,"grey"
"glomeruli_hc1_feat2",1.6865514793136,"turquoise"
"glomeruli_hc1_feat10",1.50207338134393,"turquoise"
"glomeruli_hc4_feat17",1.48296340341433,"salmon"
"glomeruli_hc4_feat14",1.45662597072137,"salmon"
"glomeruli_hc1_feat8",1.40511790603277,"cyan"
"glomeruli_hc1_feat49",1.32179118491541,"turquoise"
"scl_gloms_hc1_feat58",1.30202953238535,"yellow"
"Donor_final_creatinine",1.28352696305501,"grey"
"glomeruli_hc1_feat13",1.21952671037586,"grey"
"scl_gloms_hc2_feat10",1.15424377028667,"brown"
"scl_gloms_hc2_feat52",1.08781232855431,"blue"
"scl_gloms_hc1_feat5",1.0827342765591,"grey"
"scl_gloms_hc2_feat13",1.08088969515207,"grey"
"scl_gloms_hc1_feat52",1.01739343678736,"grey"
"glomeruli_hc2_feat51",1.0169153009993,"pink"
"scl_gloms_hc1_feat10",0.984808692439131,"yellow"
"glomeruli_hc3_feat18",0.919720691113908,"green"
"scl_gloms_hc1_feat12",0.908964224512927,"yellow"
"glomeruli_hc1_feat58",0.892013243138763,"turquoise"
"glomeruli_hc2_feat56",0.831626553694153,"pink"
"scl_gloms_hc1_feat18",0.810398892979044,"yellow"
"glomeruli_hc2_feat54",0.799220851146672,"pink"
"glomeruli_hc2_feat53",0.782790847412998,"pink"
"glomeruli_hc2_feat22",0.667626492214493,"magenta"
"scl_gloms_hc2_feat59",0.665588379168402,"brown"
"glomeruli_hc2_feat21",0.659185001023534,"tan"
"scl_gloms_hc1_feat16",0.657316914525871,"grey"
"scl_gloms_hc2_feat58",0.621659804635404,"brown"
"scl_gloms_hc2_feat14",0.606450420823867,"grey"
"glomeruli_hc3_feat10",0.555952008691134,"green"
"scl_gloms_hc2_feat20",0.483010751300268,"brown"
"scl_gloms_hc2_feat19",0.42583537581322,"brown"
"glomeruli_hc1_feat24",0.409385113247636,"turquoise"
"scl_gloms_hc1_feat15",0.369516424631645,"yellow"
"scl_gloms_hc4_feat1",0.368820361228849,"blue"
"scl_gloms_hc2_feat27",0.336629826177499,"brown"
"scl_gloms_hc4_feat3",0.310615359784355,"blue"
"glomeruli_hc1_feat20",0.293241543666617,"turquoise"
"glomeruli_hc2_feat20",0.220338426579283,"tan"
"glomeruli_hc2_feat25",0.182267148543237,"magenta"
"scl_gloms_hc4_feat9",0.179698826914049,"blue"
"glomeruli_hc3_feat17",0.173383261852162,"greenyellow"
"scl_gloms_hc3_feat50",0.121997976746678,"black"
"scl_gloms_hc3_feat11",0.0940445669753916,"purple"
"scl_gloms_hc3_feat57",0.0715172603724484,"black"
"glomeruli_hc3_feat14",0.0671206930928708,"greenyellow"
"scl_gloms_hc3_feat10",-0.0122078251596544,"purple"
"scl_gloms_hc3_feat15",-0.0237459774408439,"purple"
"scl_gloms_hc3_feat59",-0.0357229658587624,"purple"
"scl_gloms_hc3_feat12",-0.0583048922410265,"black"
"scl_gloms_hc4_feat18",-0.0736545378351789,"blue"
"scl_gloms_hc2_feat53",-0.0956628266244954,"brown"
"scl_gloms_hc2_feat15",-0.13661605000176,"brown"
"scl_gloms_hc4_feat53",-0.183147323640135,"blue"
"scl_gloms_hc3_feat58",-0.20022276574201,"black"
"scl_gloms_hc4_feat12",-0.218709826921486,"blue"
"glomeruli_hc1_feat7",-0.222275320242659,"grey"
"scl_gloms_hc4_feat52",-0.237664846290565,"blue"
"glomeruli_hc3_feat51",-0.246456746225894,"green"
"glomeruli_hc3_feat48",-0.891344378087603,"green"
"glomeruli_hc4_feat24",-1.11994694600984,"midnightblue"
"glomeruli_hc3_feat46",-2.41410280721135,"green"
