"feature_name","variable_importance","module_membership"
"Donor_age",41.8911797109165,"grey"
"glomeruli_hc2_feat52",12.2451373815837,"green"
"glomeruli_hc4_feat56",11.7499791981924,"brown"
"glomeruli_hc4_feat12",9.07522388829082,"brown"
"glomeruli_hc4_feat10",8.2564360617508,"brown"
"glomeruli_hc1_feat59",7.75570368059899,"turquoise"
"glomeruli_hc4_feat59",6.34334262676175,"pink"
"glomeruli_hc1_feat23",5.8774286148033,"magenta"
"glomeruli_hc2_feat21",5.24081078244788,"pink"
"glomeruli_hc2_feat5",4.89845463652732,"green"
"glomeruli_hc2_feat19",4.80615491556667,"pink"
"glomeruli_hc1_feat4",4.15637691476166,"grey"
"glomeruli_hc2_feat8",4.07665287545844,"green"
"glomeruli_hc1_feat5",3.62765842734078,"magenta"
"glomeruli_hc4_feat6",3.2501699928919,"purple"
"glomeruli_hc2_feat54",2.82757788878042,"yellow"
"glomeruli_hc4_feat53",2.70449153245597,"brown"
"glomeruli_hc2_feat51",2.69553635613573,"yellow"
"glomeruli_hc2_feat53",2.37766599248283,"yellow"
"glomeruli_hc4_feat17",2.36249379111456,"black"
"glomeruli_hc1_feat49",2.32005943780239,"turquoise"
"glomeruli_hc2_feat56",2.18884420385436,"yellow"
"glomeruli_hc1_feat10",2.1178923689448,"turquoise"
"glomeruli_hc4_feat2",2.02553166533891,"purple"
"glomeruli_hc3_feat18",1.72614391745073,"blue"
"glomeruli_hc1_feat8",1.72062389836501,"magenta"
"glomeruli_hc3_feat8",1.51041166641475,"red"
"glomeruli_hc3_feat15",1.45397538770602,"blue"
"glomeruli_hc1_feat13",1.42584846152982,"grey"
"glomeruli_hc3_feat7",0.948179925859359,"red"
"glomeruli_hc3_feat4",0.824925085123649,"red"
"glomeruli_hc3_feat10",0.646303488890379,"blue"
"glomeruli_hc4_feat14",0.569973675472556,"black"
"glomeruli_hc3_feat52",0.41766985849705,"red"
"glomeruli_hc3_feat48",0.406388403926564,"blue"
"glomeruli_hc1_feat9",0.111545952804834,"turquoise"
"glomeruli_hc1_feat7",0.0436293157908713,"grey"
"glomeruli_hc4_feat7",-0.0444640144636741,"black"
"glomeruli_hc1_feat55",-0.217821993968013,"turquoise"
"glomeruli_hc3_feat46",-0.393194766465455,"blue"
"glomeruli_hc2_feat59",-0.772057770147731,"green"
"glomeruli_hc3_feat51",-1.04863096824413,"blue"
"glomeruli_hc1_feat24",-1.05257558086828,"turquoise"
