"feature_name","variable_importance","module_membership"
"Donor_age",24.9128143398263,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",21.9656292598165,"grey"
"tubules_hc2_feat58",12.8652996078661,"turquoise"
"tubules_hc3_feat58",9.30040537197098,"turquoise"
"Donor_height",5.85060325717849,"grey"
"tubules_hc2_feat18",5.432040884442,"turquoise"
"arteries_hc4_feat46",4.68148289799503,"purple"
"tubules_hc2_feat5",4.58221770223118,"grey"
"arteries_hc4_feat18",3.93714136041391,"turquoise"
"tubules_hc2_feat15",3.81458726112937,"turquoise"
"arteries_hc2_feat10",3.74985438481609,"turquoise"
"Expanded_criteria_donor",3.45602902218232,"grey"
"arteries_hc4_feat10",3.24506565139831,"turquoise"
"tubules_hc2_feat16",3.14967539937146,"grey"
"tubules_hc2_feat12",3.08213702489992,"salmon"
"tubules_hc1_feat7",3.00201362236387,"grey"
"tubules_hc2_feat26",2.92419509076532,"grey"
"arteries_hc4_feat56",2.83695138021327,"green"
"tubules_hc3_feat17",2.66458788236068,"grey"
"tubules_hc2_feat10",2.65220016253459,"turquoise"
"tubules_hc1_feat16",2.53837986311299,"grey"
"tubules_hc2_feat23",2.37018064712613,"grey"
"arteries_hc4_feat54",2.35590089946085,"purple"
"arteries_hc4_feat53",2.22435534419997,"purple"
"tubules_hc2_feat11",2.21699237381296,"turquoise"
"tubules_hc4_feat8",2.09599014961757,"red"
"arteries_hc2_feat15",2.08090343748333,"turquoise"
"tubules_hc1_feat4",1.89491607214693,"grey"
"arteries_hc4_feat16",1.8602456275386,"grey"
"tubules_hc4_feat50",1.84134764929667,"midnightblue"
"tubules_hc3_feat59",1.69370519588984,"turquoise"
"tubules_hc2_feat13",1.68810825791604,"grey"
"arteries_hc1_feat5",1.57374577419002,"grey"
"scl_gloms_hc2_feat13",1.54245420903371,"grey"
"tubules_hc3_feat14",1.51752976568991,"grey"
"tubules_hc4_feat3",1.37965742419823,"midnightblue"
"tubules_hc1_feat8",1.34325041013449,"grey"
"tubules_hc3_feat48",1.33489891207608,"turquoise"
"tubules_hc4_feat4",1.31867249023021,"grey"
"scl_gloms_hc1_feat59",1.31839945971487,"yellow"
"arteries_hc3_feat57",1.27799078255618,"green"
"tubules_hc1_feat10",1.2577672444844,"turquoise"
"arteries_hc1_feat48",1.24336528607805,"turquoise"
"arteries_hc1_feat3",1.21936159073747,"pink"
"tubules_hc3_feat15",1.18992901083404,"turquoise"
"tubules_hc4_feat49",1.1332907106986,"red"
"tubules_hc3_feat47",1.13212124708336,"turquoise"
"arteries_hc1_feat53",1.12395679618872,"pink"
"tubules_hc4_feat55",1.07830050894033,"midnightblue"
"scl_gloms_hc2_feat23",1.02330414931342,"grey"
"arteries_hc1_feat55",1.02167421894636,"pink"
"arteries_hc4_feat15",1.00671450616144,"turquoise"
"arteries_hc4_feat50",0.957256242519382,"purple"
"tubules_hc3_feat46",0.843139111414253,"cyan"
"arteries_hc3_feat10",0.840594087891909,"turquoise"
"arteries_hc1_feat50",0.838495554876028,"pink"
"arteries_hc3_feat51",0.81282041986286,"greenyellow"
"arteries_hc4_feat5",0.810220773511893,"grey"
"tubules_hc3_feat6",0.803869351293486,"turquoise"
"tubules_hc4_feat7",0.776931851292127,"grey"
"scl_gloms_hc2_feat27",0.687641098727796,"brown"
"tubules_hc1_feat17",0.668772955626793,"grey"
"arteries_hc2_feat23",0.648502988175849,"grey"
"scl_gloms_hc1_feat52",0.628491580970883,"grey"
"tubules_hc1_feat13",0.55833439572199,"grey"
"scl_gloms_hc2_feat47",0.496208001345023,"brown"
"scl_gloms_hc1_feat46",0.492086093735534,"yellow"
"scl_gloms_hc2_feat26",0.489096654203883,"grey"
"scl_gloms_hc4_feat9",0.479103494283462,"blue"
"tubules_hc1_feat5",0.451563305517687,"grey"
"scl_gloms_hc2_feat10",0.411497514363604,"brown"
"arteries_hc4_feat7",0.346135011296394,"grey"
"arteries_hc1_feat9",0.326904732690586,"turquoise"
"scl_gloms_hc1_feat10",0.254678303637574,"yellow"
"arteries_hc3_feat46",0.251709236727744,"greenyellow"
"scl_gloms_hc1_feat18",0.230048649915615,"yellow"
"scl_gloms_hc3_feat58",0.206972967912267,"black"
"scl_gloms_hc4_feat12",0.163736059476872,"blue"
"scl_gloms_hc4_feat3",0.156502924163828,"blue"
"scl_gloms_hc3_feat15",0.136219582691772,"tan"
"scl_gloms_hc2_feat58",0.136131167192917,"brown"
"scl_gloms_hc3_feat52",0.135264993102931,"blue"
"arteries_hc1_feat14",0.117723853262547,"grey"
"arteries_hc3_feat9",0.105807905113274,"turquoise"
"tubules_hc1_feat12",0.0988776699584994,"magenta"
"tubules_hc4_feat1",0.0907651988897457,"red"
"arteries_hc2_feat22",-0.0214108291028475,"grey"
"scl_gloms_hc2_feat11",-0.0252366038672084,"brown"
"scl_gloms_hc3_feat11",-0.0395732287026965,"tan"
"scl_gloms_hc3_feat10",-0.060060156871005,"tan"
"scl_gloms_hc4_feat11",-0.0952281356957565,"blue"
"tubules_hc4_feat52",-0.10161651862071,"turquoise"
"arteries_hc4_feat23",-0.112729698088217,"grey"
"arteries_hc3_feat12",-0.13922356162068,"greenyellow"
"arteries_hc3_feat53",-0.157456701673525,"greenyellow"
"tubules_hc3_feat9",-0.236700862521928,"turquoise"
"scl_gloms_hc1_feat11",-0.267550013464337,"yellow"
"tubules_hc4_feat47",-0.405821993854687,"turquoise"
"arteries_hc2_feat56",-0.698146114398611,"green"
"arteries_hc2_feat46",-0.887623959495495,"green"
