"feature_name","variable_importance","module_membership"
"Donor_age",25.9970235518622,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",21.8238088742682,"grey"
"tubules_hc2_feat58",11.8713866834749,"turquoise"
"tubules_hc3_feat58",9.60625092778877,"turquoise"
"Donor_height",8.56309510963272,"grey"
"tubules_hc2_feat16",7.02304931397919,"grey"
"tubules_hc2_feat18",5.61462630301833,"turquoise"
"tubules_hc2_feat26",4.79516490298176,"grey"
"tubules_hc2_feat4",4.76145817504025,"grey"
"arteries_hc2_feat10",4.30648276895636,"turquoise"
"arteries_hc4_feat46",3.74304181663247,"black"
"tubules_hc1_feat16",3.71212208976275,"grey"
"tubules_hc3_feat17",3.66512531030978,"grey"
"arteries_hc3_feat57",3.66070148168106,"blue"
"arteries_hc4_feat54",3.55511714474807,"black"
"arteries_hc4_feat56",3.27008183256859,"blue"
"tubules_hc2_feat13",3.13887987104244,"grey"
"arteries_hc4_feat11",3.12630296916712,"turquoise"
"arteries_hc4_feat18",3.10056364051975,"turquoise"
"tubules_hc3_feat47",2.72553084577608,"turquoise"
"arteries_hc4_feat16",2.72375091463085,"grey"
"tubules_hc1_feat4",2.68756811517335,"grey"
"arteries_hc4_feat50",2.62507440094012,"black"
"tubules_hc3_feat14",2.61965771584459,"grey"
"tubules_hc2_feat7",2.55998802454944,"grey"
"tubules_hc2_feat10",2.5037257004988,"turquoise"
"tubules_hc1_feat7",2.4751526210621,"grey"
"tubules_hc2_feat15",2.43439358424593,"turquoise"
"arteries_hc1_feat48",2.22316250786635,"turquoise"
"arteries_hc3_feat16",2.10885945975076,"grey"
"tubules_hc3_feat48",2.05101501695524,"turquoise"
"arteries_hc1_feat8",1.98894957359127,"grey"
"tubules_hc3_feat46",1.93923755281378,"purple"
"tubules_hc3_feat10",1.88358229138169,"turquoise"
"tubules_hc1_feat13",1.84551090362749,"grey"
"tubules_hc2_feat5",1.67791574276283,"grey"
"arteries_hc3_feat9",1.62535702260233,"turquoise"
"arteries_hc1_feat9",1.62289954092666,"turquoise"
"tubules_hc4_feat7",1.6187169299471,"grey"
"tubules_hc4_feat8",1.58019511588437,"brown"
"arteries_hc4_feat13",1.49827300140083,"grey"
"tubules_hc4_feat12",1.49111156021468,"magenta"
"tubules_hc4_feat6",1.44722630701801,"brown"
"tubules_hc3_feat11",1.43143663108201,"turquoise"
"arteries_hc4_feat26",1.34826072794215,"grey"
"arteries_hc3_feat10",1.26435298026104,"turquoise"
"tubules_hc1_feat8",1.19196525861352,"grey"
"tubules_hc3_feat19",1.17101701190608,"turquoise"
"arteries_hc4_feat53",1.15923197867657,"black"
"tubules_hc4_feat1",1.15821316234695,"brown"
"arteries_hc4_feat5",1.13322886018976,"grey"
"arteries_hc4_feat10",1.0445947695634,"turquoise"
"arteries_hc1_feat50",1.01825243126681,"yellow"
"tubules_hc4_feat52",0.974333868002704,"turquoise"
"tubules_hc2_feat11",0.912412812236946,"turquoise"
"arteries_hc2_feat2",0.814220710376154,"green"
"tubules_hc3_feat50",0.758228349928444,"purple"
"arteries_hc1_feat53",0.728268839526344,"yellow"
"arteries_hc4_feat23",0.718459807502848,"grey"
"arteries_hc3_feat51",0.692780255806967,"red"
"arteries_hc4_feat14",0.669211725908293,"grey"
"tubules_hc3_feat15",0.64376224004924,"turquoise"
"tubules_hc4_feat3",0.582098364637029,"magenta"
"tubules_hc4_feat49",0.57780690943777,"brown"
"arteries_hc2_feat56",0.538069932581727,"blue"
"tubules_hc3_feat18",0.525798266440478,"turquoise"
"arteries_hc1_feat55",0.517123290152524,"yellow"
"arteries_hc2_feat1",0.495858411331686,"green"
"arteries_hc1_feat16",0.473518910964268,"grey"
"tubules_hc4_feat47",0.419612484772364,"turquoise"
"arteries_hc4_feat15",0.410761828791706,"turquoise"
"tubules_hc3_feat6",0.358610631095464,"turquoise"
"tubules_hc2_feat12",0.337482725512518,"pink"
"arteries_hc1_feat3",0.310287745619731,"yellow"
"tubules_hc3_feat16",0.177382024888369,"grey"
"arteries_hc3_feat21",0.162121530583982,"red"
"tubules_hc3_feat54",0.108463777446962,"purple"
"tubules_hc4_feat50",0.012618950891477,"magenta"
"arteries_hc3_feat46",-0.00242673404073715,"red"
"tubules_hc1_feat10",-0.0661992398195448,"turquoise"
"arteries_hc2_feat55",-0.325308865768492,"blue"
"arteries_hc2_feat49",-0.496088283069962,"green"
"arteries_hc2_feat54",-0.498557190389747,"blue"
