"feature_name","variable_importance","module_membership"
"Donor_eGFR_CKD_EPI_final_creatinine",27.3833275763145,"grey"
"Donor_age",20.394144267024,"grey"
"tubules_hc2_feat58",13.8494262163191,"turquoise"
"tubules_hc2_feat16",9.42790123508658,"grey"
"tubules_hc3_feat58",9.29730187147551,"turquoise"
"Donor_height",8.32844088620832,"grey"
"tubules_hc2_feat18",6.36689584352518,"turquoise"
"tubules_hc2_feat10",6.01026719206133,"turquoise"
"tubules_hc2_feat4",5.66305955302731,"grey"
"tubules_hc2_feat15",5.45200631258836,"turquoise"
"tubules_hc2_feat13",5.08710397761554,"grey"
"tubules_hc3_feat14",5.00613501026988,"grey"
"tubules_hc1_feat16",4.96057166591428,"grey"
"tubules_hc2_feat5",4.59767656075233,"grey"
"tubules_hc3_feat52",4.33900813247451,"green"
"tubules_hc1_feat10",4.25020459998291,"turquoise"
"tubules_hc2_feat11",4.23557432985794,"turquoise"
"tubules_hc3_feat17",4.13399145266443,"grey"
"tubules_hc2_feat26",3.75776623347904,"grey"
"tubules_hc4_feat55",3.67716443423015,"magenta"
"tubules_hc2_feat23",3.66151184792627,"grey"
"tubules_hc4_feat4",3.0028930342144,"grey"
"scl_gloms_hc1_feat53",2.87550557312143,"yellow"
"tubules_hc1_feat4",2.71726448888236,"grey"
"tubules_hc3_feat47",2.66842166176032,"turquoise"
"tubules_hc3_feat11",2.63915225991445,"turquoise"
"tubules_hc3_feat22",2.5137009085578,"grey"
"scl_gloms_hc2_feat26",2.44588464430245,"grey"
"tubules_hc2_feat7",2.39572207870787,"grey"
"tubules_hc1_feat13",2.3702943863962,"grey"
"tubules_hc1_feat18",2.36151827555349,"turquoise"
"tubules_hc1_feat5",2.34601681763872,"grey"
"scl_gloms_hc1_feat59",2.3399359576425,"yellow"
"tubules_hc1_feat8",2.3239880004199,"grey"
"scl_gloms_hc2_feat23",2.26890953259638,"grey"
"tubules_hc2_feat12",1.80469256125389,"purple"
"tubules_hc4_feat50",1.79910912119679,"magenta"
"tubules_hc4_feat2",1.75297120044695,"green"
"scl_gloms_hc1_feat10",1.66262018296451,"yellow"
"tubules_hc4_feat49",1.63910620946195,"green"
"tubules_hc3_feat48",1.6253421314969,"red"
"tubules_hc2_feat1",1.57689176522259,"turquoise"
"tubules_hc3_feat16",1.46467597826622,"grey"
"tubules_hc1_feat11",1.33553655901742,"turquoise"
"tubules_hc3_feat46",1.21496793896735,"red"
"tubules_hc3_feat26",1.21001733646132,"green"
"tubules_hc4_feat19",1.17424510035301,"green"
"tubules_hc3_feat13",1.08867868651909,"grey"
"tubules_hc3_feat15",1.01196402523367,"turquoise"
"scl_gloms_hc1_feat12",0.969389555525989,"yellow"
"tubules_hc4_feat3",0.890849224939981,"magenta"
"scl_gloms_hc2_feat10",0.851132225929703,"brown"
"tubules_hc3_feat9",0.793130209747099,"red"
"scl_gloms_hc2_feat59",0.710813316208726,"brown"
"scl_gloms_hc3_feat57",0.664159893861608,"black"
"scl_gloms_hc4_feat9",0.554362594201985,"blue"
"tubules_hc3_feat54",0.535796622416717,"red"
"scl_gloms_hc4_feat53",0.528606244422955,"blue"
"tubules_hc3_feat10",0.521007185422288,"turquoise"
"scl_gloms_hc4_feat12",0.49934279829172,"blue"
"scl_gloms_hc1_feat13",0.474341896307715,"grey"
"scl_gloms_hc2_feat52",0.424245936892554,"blue"
"scl_gloms_hc4_feat51",0.414791779219295,"blue"
"scl_gloms_hc2_feat47",0.390148291862751,"brown"
"tubules_hc1_feat58",0.381891743354553,"turquoise"
"scl_gloms_hc1_feat11",0.376464464362325,"yellow"
"scl_gloms_hc1_feat16",0.372414234992509,"grey"
"scl_gloms_hc3_feat46",0.327654910295959,"black"
"scl_gloms_hc3_feat59",0.304621118003459,"pink"
"tubules_hc3_feat23",0.272760948493615,"green"
"scl_gloms_hc2_feat56",0.265620184019144,"brown"
"scl_gloms_hc2_feat19",0.265416171209204,"brown"
"scl_gloms_hc2_feat27",0.138014537657804,"brown"
"scl_gloms_hc2_feat55",0.11292835518384,"brown"
"scl_gloms_hc4_feat52",0.0774656458451495,"blue"
"scl_gloms_hc3_feat58",0.0673698315299195,"black"
"scl_gloms_hc3_feat11",0.0490609862760164,"pink"
"scl_gloms_hc1_feat18",0.0210637507211018,"yellow"
"scl_gloms_hc2_feat11",-0.0142887866957757,"brown"
"scl_gloms_hc3_feat15",-0.0652584171725626,"pink"
"scl_gloms_hc4_feat1",-0.0845506776951942,"blue"
"scl_gloms_hc3_feat52",-0.119449287249275,"blue"
"scl_gloms_hc3_feat12",-0.201078615404971,"black"
"tubules_hc3_feat12",-0.343629547913805,"red"
