"feature_name","variable_importance","module_membership"
"Donor_eGFR_CKD_EPI_final_creatinine",30.9737423721672,"grey"
"tubules_hc2_feat58",18.2060872965653,"turquoise"
"Donor_age",18.096743476902,"grey"
"tubules_hc3_feat58",12.0751297796622,"turquoise"
"tubules_hc2_feat16",9.6412995473051,"grey"
"tubules_hc2_feat4",7.64634753097784,"grey"
"tubules_hc2_feat10",7.33165023992354,"turquoise"
"tubules_hc1_feat16",6.54932578398332,"grey"
"tubules_hc2_feat18",6.13113433910842,"turquoise"
"tubules_hc2_feat5",5.93231924873215,"grey"
"tubules_hc2_feat15",5.62372991297371,"turquoise"
"tubules_hc2_feat23",5.16569028067849,"grey"
"tubules_hc1_feat4",4.38521192289038,"grey"
"tubules_hc2_feat11",4.15040947868533,"turquoise"
"tubules_hc1_feat13",4.06622907030041,"grey"
"tubules_hc3_feat14",3.93645797168313,"grey"
"tubules_hc4_feat55",3.82070977044524,"green"
"tubules_hc3_feat17",3.76518440275638,"grey"
"tubules_hc3_feat59",3.7524766000641,"brown"
"tubules_hc3_feat12",3.63368447596756,"brown"
"tubules_hc2_feat26",3.43125361599685,"grey"
"tubules_hc4_feat52",3.31390776408065,"turquoise"
"tubules_hc2_feat13",2.92952307111266,"grey"
"tubules_hc1_feat10",2.77965723934382,"turquoise"
"tubules_hc4_feat49",2.68013160596647,"blue"
"tubules_hc4_feat2",2.54980722791366,"blue"
"tubules_hc4_feat1",2.34448642779719,"blue"
"tubules_hc3_feat47",2.21351046392304,"turquoise"
"tubules_hc4_feat3",2.18149756479917,"green"
"tubules_hc3_feat15",1.9935389879226,"turquoise"
"tubules_hc1_feat58",1.75765859129327,"turquoise"
"tubules_hc1_feat15",1.74486058037599,"turquoise"
"tubules_hc3_feat23",1.4836376994631,"blue"
"tubules_hc3_feat54",1.38102538894487,"brown"
"tubules_hc3_feat11",1.19063420647546,"turquoise"
"tubules_hc3_feat48",1.13404816955649,"brown"
"tubules_hc2_feat12",1.07810667515828,"yellow"
"tubules_hc3_feat13",0.898558549360007,"grey"
"tubules_hc3_feat19",0.667924319828689,"brown"
"tubules_hc3_feat52",0.626912779896793,"blue"
"tubules_hc3_feat26",0.596838035530531,"blue"
"tubules_hc2_feat53",0.436599419311012,"yellow"
"tubules_hc2_feat51",-0.332172163148819,"yellow"
