"feature_name","variable_importance","module_membership"
"Donor_age",67.1044447805387,"grey"
"Donor_eGFR_CKD_EPI_final_creatinine",45.3923436782877,"grey"
"Donor_BMI",12.5396566077598,"grey"
"scl_gloms_hc1_feat59",12.2775151911352,"brown"
"Expanded_criteria_donor",10.8456770915495,"grey"
"Donor_weight_Kg",7.36557021884617,"grey"
"scl_gloms_hc2_feat26",7.35331528726724,"grey"
"scl_gloms_hc1_feat53",7.23663199312815,"brown"
"scl_gloms_hc1_feat16",6.39356039747065,"grey"
"scl_gloms_hc1_feat58",5.8339189018593,"brown"
"scl_gloms_hc1_feat52",5.82101416810328,"grey"
"scl_gloms_hc1_feat10",5.2431940868602,"brown"
"scl_gloms_hc1_feat13",4.47105779232875,"grey"
"scl_gloms_hc2_feat23",4.1617176772299,"grey"
"scl_gloms_hc1_feat12",3.41089470740621,"brown"
"scl_gloms_hc1_feat15",3.29140357166609,"brown"
"scl_gloms_hc1_feat46",2.82872636928164,"brown"
"scl_gloms_hc2_feat27",2.50534032857037,"blue"
"scl_gloms_hc2_feat52",2.16008747056146,"turquoise"
"scl_gloms_hc2_feat56",1.97175368795654,"blue"
"scl_gloms_hc2_feat59",1.49022495051384,"blue"
"scl_gloms_hc1_feat23",1.46383916974074,"grey"
"scl_gloms_hc4_feat3",1.3067075201978,"turquoise"
"scl_gloms_hc2_feat15",1.3055609690577,"blue"
"scl_gloms_hc2_feat14",1.21918044033915,"grey"
"scl_gloms_hc2_feat16",1.0365771314573,"grey"
"scl_gloms_hc2_feat10",0.899373985223145,"blue"
"scl_gloms_hc1_feat4",0.880895104066743,"grey"
"scl_gloms_hc2_feat19",0.837074351732621,"blue"
"scl_gloms_hc4_feat1",0.827786432106361,"turquoise"
"scl_gloms_hc3_feat57",0.641143605691879,"yellow"
"scl_gloms_hc3_feat10",0.533627620714894,"green"
"scl_gloms_hc3_feat55",0.483909648708682,"yellow"
"scl_gloms_hc3_feat15",0.469785319619473,"green"
"scl_gloms_hc4_feat9",0.412478378600244,"turquoise"
"scl_gloms_hc1_feat14",0.126557788888475,"grey"
"scl_gloms_hc4_feat2",0.0849498652364229,"turquoise"
"scl_gloms_hc3_feat58",0.0443646516078072,"yellow"
"scl_gloms_hc3_feat11",0.0393508263035425,"green"
"scl_gloms_hc4_feat6",0.0391469575778734,"turquoise"
"scl_gloms_hc4_feat52",-0.0172790820036411,"turquoise"
"scl_gloms_hc3_feat12",-0.108504719953696,"yellow"
"scl_gloms_hc3_feat18",-0.164686240545471,"green"
